_IM_OPERATOR,_IM_PROGRAM_GRAPH_NODE,_IM_PRIMITIVE_ARC,_IM_SOURCE_PRIMITIVE_ARC,_IM_TARGET_PRIMITIVE_ARC,_IM_DISTANCE_BEGIN_MIN,_IM_DISTANCE_BEGIN_MAX,_IM_DISTANCE_BEGIN_AVG,_IM_DISTANCE_END_MIN,_IM_DISTANCE_END_MAX,_IM_DISTANCE_END_AVG,_IM_COMPLEXITY,_IM_TYPE_STATEMENT,_IM_MINIMAL,_IM_EQUIVALENT
u-CCDL,4,1,1,0,2,2,2.0,4,5,4.5,57,If,0,0
u-Ccsr,2,0,0,0,1,1,1.0,1,6,4.0,48,For,0,0
u-Ccsr,2,0,0,0,1,1,1.0,1,6,4.0,48,For,0,0
u-Ccsr,4,1,1,0,2,2,2.0,4,5,4.5,57,If,0,0
u-Ccsr,4,1,1,0,2,2,2.0,4,5,4.5,57,If,0,0
u-Ccsr,5,1,0,1,3,3,3.0,4,4,4.0,31,Assignment,0,0
u-Ccsr,7,0,0,0,2,2,2.0,0,0,0.0,15,Return,0,0
u-CRCR,2,0,0,0,1,1,1.0,1,6,4.0,48,For,0,0
u-CRCR,2,0,0,0,1,1,1.0,1,6,4.0,48,For,0,0
u-CRCR,2,0,0,0,1,1,1.0,1,6,4.0,48,For,0,0
u-CRCR,2,0,0,0,1,1,1.0,1,6,4.0,48,For,0,0
u-CRCR,2,0,0,0,1,1,1.0,1,6,4.0,48,For,0,0
u-CRCR,2,0,0,0,1,1,1.0,1,6,4.0,48,For,0,0
u-CRCR,2,0,0,0,1,1,1.0,1,6,4.0,48,For,0,0
u-CRCR,2,0,0,0,1,1,1.0,1,6,4.0,48,For,0,0
u-CRCR,2,0,0,0,1,1,1.0,1,6,4.0,48,For,0,0
u-CRCR,2,0,0,0,1,1,1.0,1,6,4.0,48,For,0,0
u-CRCR,4,1,1,0,2,2,2.0,4,5,4.5,57,If,0,0
u-CRCR,4,1,1,0,2,2,2.0,4,5,4.5,57,If,0,0
u-CRCR,4,1,1,0,2,2,2.0,4,5,4.5,57,If,0,0
u-CRCR,4,1,1,0,2,2,2.0,4,5,4.5,57,If,0,0
u-CRCR,4,1,1,0,2,2,2.0,4,5,4.5,57,If,0,0
u-CRCR,4,1,1,0,2,2,2.0,4,5,4.5,57,If,0,0
u-CRCR,4,1,1,0,2,2,2.0,4,5,4.5,57,If,0,0
