SampleSplit;Accuracy;Precision;Recall;F1;TPR;FPR;TP;FN;FP;TN
5;77.9441117764471;77.51479289940828;78.60000000000001;78.05362462760675;78.60000000000001;22.709163346613543;393;107;114;388
15;78.84231536926147;77.90697674418605;80.4;79.13385826771653;80.4;22.709163346613543;402;98;114;388
25;77.7445109780439;77.97979797979798;77.2;77.58793969849248;77.2;21.713147410358566;386;114;109;393
35;78.1437125748503;78.96907216494846;76.6;77.76649746192894;76.6;20.318725099601593;383;117;102;400
45;77.7445109780439;78.91440501043841;75.6;77.22165474974464;75.6;20.119521912350596;378;122;101;401
55;77.14570858283433;78.76857749469215;74.2;76.41606591143152;74.2;19.9203187250996;371;129;100;402
65;76.74650698602794;78.83369330453563;73.0;75.80477673935619;73.0;19.52191235059761;365;135;98;404
75;76.64670658682635;77.94117647058823;74.2;76.02459016393442;74.2;20.916334661354583;371;129;105;397
85;76.24750499001996;78.72807017543859;71.8;75.10460251046025;71.8;19.322709163346612;359;141;97;405
95;76.54690618762476;78.13163481953292;73.6;75.79814624098869;73.6;20.51792828685259;368;132;103;399

Min;76.24750499001996;77.51479289940828;71.8;75.10460251046025
Max;78.84231536926147;78.96907216494846;80.4;79.13385826771653
Mean;77.375249500998;78.36881970635667;75.52;76.89117563716604
Median;77.44510978043911;78.42985249748575;74.9;76.81886033058808
