SampleSplit;Accuracy;Precision;Recall;F1;TPR;FPR;TP;FN;FP;TN
5;79.9037304452467;81.71296296296296;80.04535147392289;80.87056128293241;80.04535147392289;20.256410256410255;353;88;79;311
15;80.38507821901324;83.0952380952381;79.13832199546485;81.06852497096399;79.13832199546485;18.205128205128204;349;92;71;319
25;79.9037304452467;81.71296296296296;80.04535147392289;80.87056128293241;80.04535147392289;20.256410256410255;353;88;79;311
35;79.42238267148014;83.41584158415841;76.41723356009071;79.76331360946746;76.41723356009071;17.17948717948718;337;104;67;323
45;77.73766546329723;82.48730964467005;73.69614512471655;77.8443113772455;73.69614512471655;17.692307692307693;325;116;69;321
55;77.85800240673886;82.69720101781171;73.69614512471655;77.93764988009593;73.69614512471655;17.435897435897434;325;116;68;322
65;77.49699157641395;82.56410256410255;73.01587301587301;77.49699157641396;73.01587301587301;17.435897435897434;322;119;68;322
75;76.41395908543923;79.66101694915254;74.60317460317461;77.04918032786885;74.60317460317461;21.53846153846154;329;112;84;306
85;76.41395908543923;79.80535279805353;74.37641723356009;76.99530516431925;74.37641723356009;21.28205128205128;328;113;83;307
95;75.93261131167269;78.8968824940048;74.60317460317461;76.68997668997667;74.60317460317461;22.564102564102566;329;112;88;302

Min;75.93261131167269;78.8968824940048;73.01587301587301;76.68997668997667
Max;80.38507821901324;83.41584158415841;80.04535147392289;81.06852497096399
Mean;78.1468110709988;81.60488710731177;75.96371882086167;78.65863761622164
Median;77.79783393501805;82.1001363038165;74.60317460317461;77.89098062867072
