,_IM_PROGRAM,_IM_OPERATOR,_IM_SOURCE_PRIMITIVE_ARC,_IM_TARGET_PRIMITIVE_ARC,_IM_DISTANCE_BEGIN_MIN,_IM_DISTANCE_BEGIN_MAX,_IM_DISTANCE_BEGIN_AVG,_IM_DISTANCE_END_MIN,_IM_DISTANCE_END_MAX,_IM_DISTANCE_END_AVG,_IM_COMPLEXITY,_IM_TYPE_STATEMENT,_IM_MINIMAL,_IM_EQUIVALENT,PREDICTED,RESULT
0,LRS,u-Cccr,0,0,1,1,1.0,1,11,7.8,0.5168539325842697,For,0,1,0,0
1,LRS,u-Cccr,0,0,2,2,2.0,5,10,8.5,0.5842696629213483,For,0,1,1,1
2,LRS,u-Cccr,1,0,4,4,4.0,7,8,7.5,0.0,If,0,1,0,0
3,LRS,u-CCDL,0,0,1,1,1.0,1,11,7.8,0.5168539325842697,For,0,1,0,0
4,LRS,u-CCDL,0,0,2,2,2.0,5,10,8.5,0.5842696629213483,For,0,1,1,1
5,LRS,u-CCDL,1,0,4,4,4.0,7,8,7.5,0.0,If,0,0,0,1
6,LRS,u-Ccsr,0,0,1,1,1.0,1,11,7.8,0.5168539325842697,For,0,0,0,1
7,LRS,u-Ccsr,0,0,1,1,1.0,1,11,7.8,0.5168539325842697,For,0,0,0,1
8,LRS,u-Ccsr,0,0,1,1,1.0,1,11,7.8,0.5168539325842697,For,1,0,0,1
9,LRS,u-Ccsr,0,0,1,1,1.0,1,11,7.8,0.5168539325842697,For,1,0,0,1
10,LRS,u-Ccsr,0,0,2,2,2.0,5,10,8.5,0.5842696629213483,For,1,0,1,0
11,LRS,u-Ccsr,0,0,2,2,2.0,5,10,8.5,0.5842696629213483,For,0,0,1,0
12,LRS,u-Ccsr,0,0,3,3,3.0,4,9,7.5,0.34831460674157305,For,0,0,0,1
13,LRS,u-Ccsr,0,0,3,3,3.0,4,9,7.5,0.34831460674157305,For,0,0,0,1
14,LRS,u-Ccsr,0,0,3,3,3.0,4,9,7.5,0.34831460674157305,For,1,0,0,1
15,LRS,u-Ccsr,0,0,3,3,3.0,4,9,7.5,0.34831460674157305,For,1,0,0,1
16,LRS,u-Ccsr,1,0,4,4,4.0,7,8,7.5,0.0,If,1,0,0,1
17,LRS,u-Ccsr,1,0,4,4,4.0,7,8,7.5,0.0,If,1,0,0,1
18,LRS,u-Ccsr,1,0,4,4,4.0,7,8,7.5,0.0,If,0,0,0,1
19,LRS,u-Ccsr,1,0,4,4,4.0,7,8,7.5,0.0,If,1,0,0,1
20,LRS,u-Ccsr,0,1,5,5,5.0,7,7,7.0,1.0,Assignment,0,0,1,0
21,LRS,u-Ccsr,0,1,5,5,5.0,7,7,7.0,1.0,Assignment,0,0,1,0
22,LRS,u-Ccsr,0,1,5,5,5.0,7,7,7.0,1.0,Assignment,0,0,1,0
23,LRS,u-Ccsr,0,1,5,5,5.0,7,7,7.0,1.0,Assignment,0,0,1,0
24,LRS,u-Ccsr,0,1,5,5,5.0,7,7,7.0,1.0,Assignment,0,0,1,0
