,_IM_PROGRAM,_IM_OPERATOR,_IM_SOURCE_PRIMITIVE_ARC,_IM_TARGET_PRIMITIVE_ARC,_IM_DISTANCE_BEGIN_MIN,_IM_DISTANCE_BEGIN_MAX,_IM_DISTANCE_BEGIN_AVG,_IM_DISTANCE_END_MIN,_IM_DISTANCE_END_MAX,_IM_DISTANCE_END_AVG,_IM_COMPLEXITY,_IM_TYPE_STATEMENT,_IM_MINIMAL,_IM_EQUIVALENT,PREDICTED,RESULT
0,LRS,u-Cccr,0,0,0.0,0.0,0.0,0.2857142857142857,1.0,1.0,0.19101123595505615,For,0,0,1,0
1,LRS,u-Cccr,0,0,0.16666666666666666,0.14285714285714285,0.15384615384615385,0.14285714285714285,0.9166666666666666,0.8863636363636362,0.5168539325842697,For,0,1,1,1
2,LRS,u-Cccr,0,0,0.3333333333333333,0.2857142857142857,0.3076923076923077,0.7142857142857143,0.8333333333333334,0.9659090909090908,0.5842696629213483,For,0,1,1,1
3,LRS,u-Cccr,1,0,0.6666666666666666,0.5714285714285714,0.6153846153846154,1.0,0.6666666666666666,0.8522727272727272,0.0,If,0,1,1,1
4,LRS,u-CCDL,0,0,0.16666666666666666,0.14285714285714285,0.15384615384615385,0.14285714285714285,0.9166666666666666,0.8863636363636362,0.5168539325842697,For,0,1,1,1
5,LRS,u-CCDL,0,0,0.3333333333333333,0.2857142857142857,0.3076923076923077,0.7142857142857143,0.8333333333333334,0.9659090909090908,0.5842696629213483,For,0,1,1,1
6,LRS,u-CCDL,1,0,0.6666666666666666,0.5714285714285714,0.6153846153846154,1.0,0.6666666666666666,0.8522727272727272,0.0,If,0,0,1,0
7,LRS,u-Ccsr,0,0,0.16666666666666666,0.14285714285714285,0.15384615384615385,0.14285714285714285,0.9166666666666666,0.8863636363636362,0.5168539325842697,For,0,0,0,1
8,LRS,u-Ccsr,0,0,0.16666666666666666,0.14285714285714285,0.15384615384615385,0.14285714285714285,0.9166666666666666,0.8863636363636362,0.5168539325842697,For,0,0,0,1
9,LRS,u-Ccsr,0,0,0.16666666666666666,0.14285714285714285,0.15384615384615385,0.14285714285714285,0.9166666666666666,0.8863636363636362,0.5168539325842697,For,1,0,0,1
10,LRS,u-Ccsr,0,0,0.16666666666666666,0.14285714285714285,0.15384615384615385,0.14285714285714285,0.9166666666666666,0.8863636363636362,0.5168539325842697,For,1,0,0,1
11,LRS,u-Ccsr,0,0,0.3333333333333333,0.2857142857142857,0.3076923076923077,0.7142857142857143,0.8333333333333334,0.9659090909090908,0.5842696629213483,For,1,0,0,1
12,LRS,u-Ccsr,0,0,0.3333333333333333,0.2857142857142857,0.3076923076923077,0.7142857142857143,0.8333333333333334,0.9659090909090908,0.5842696629213483,For,0,0,0,1
13,LRS,u-Ccsr,0,0,0.5,0.42857142857142855,0.4615384615384616,0.5714285714285714,0.75,0.8522727272727272,0.34831460674157305,For,0,0,0,1
14,LRS,u-Ccsr,0,0,0.5,0.42857142857142855,0.4615384615384616,0.5714285714285714,0.75,0.8522727272727272,0.34831460674157305,For,0,0,0,1
15,LRS,u-Ccsr,0,0,0.5,0.42857142857142855,0.4615384615384616,0.5714285714285714,0.75,0.8522727272727272,0.34831460674157305,For,1,0,0,1
16,LRS,u-Ccsr,0,0,0.5,0.42857142857142855,0.4615384615384616,0.5714285714285714,0.75,0.8522727272727272,0.34831460674157305,For,1,0,0,1
17,LRS,u-Ccsr,1,0,0.6666666666666666,0.5714285714285714,0.6153846153846154,1.0,0.6666666666666666,0.8522727272727272,0.0,If,1,0,0,1
18,LRS,u-Ccsr,1,0,0.6666666666666666,0.5714285714285714,0.6153846153846154,1.0,0.6666666666666666,0.8522727272727272,0.0,If,1,0,0,1
19,LRS,u-Ccsr,1,0,0.6666666666666666,0.5714285714285714,0.6153846153846154,1.0,0.6666666666666666,0.8522727272727272,0.0,If,0,0,0,1
20,LRS,u-Ccsr,1,0,0.6666666666666666,0.5714285714285714,0.6153846153846154,1.0,0.6666666666666666,0.8522727272727272,0.0,If,1,0,0,1
21,LRS,u-Ccsr,0,1,0.8333333333333334,0.7142857142857143,0.7692307692307693,1.0,0.5833333333333334,0.7954545454545454,1.0,Assignment,0,0,0,1
22,LRS,u-Ccsr,0,1,0.8333333333333334,0.7142857142857143,0.7692307692307693,1.0,0.5833333333333334,0.7954545454545454,1.0,Assignment,0,0,0,1
23,LRS,u-Ccsr,0,1,0.8333333333333334,0.7142857142857143,0.7692307692307693,1.0,0.5833333333333334,0.7954545454545454,1.0,Assignment,0,0,0,1
24,LRS,u-Ccsr,0,1,0.8333333333333334,0.7142857142857143,0.7692307692307693,1.0,0.5833333333333334,0.7954545454545454,1.0,Assignment,0,0,0,1
25,LRS,u-Ccsr,0,1,0.8333333333333334,0.7142857142857143,0.7692307692307693,1.0,0.5833333333333334,0.7954545454545454,1.0,Assignment,0,0,0,1
26,LRS,u-Ccsr,0,1,0.8333333333333334,0.7142857142857143,0.7692307692307693,1.0,0.5833333333333334,0.7954545454545454,1.0,Assignment,0,0,0,1
27,LRS,u-Ccsr,0,1,0.8333333333333334,0.7142857142857143,0.7692307692307693,1.0,0.5833333333333334,0.7954545454545454,1.0,Assignment,0,0,0,1
28,LRS,u-Ccsr,0,1,0.8333333333333334,0.7142857142857143,0.7692307692307693,1.0,0.5833333333333334,0.7954545454545454,1.0,Assignment,0,0,0,1
29,LRS,u-CRCR,0,0,0.16666666666666666,0.14285714285714285,0.15384615384615385,0.14285714285714285,0.9166666666666666,0.8863636363636362,0.5168539325842697,For,0,0,0,1
30,LRS,u-CRCR,0,0,0.16666666666666666,0.14285714285714285,0.15384615384615385,0.14285714285714285,0.9166666666666666,0.8863636363636362,0.5168539325842697,For,0,0,0,1
31,LRS,u-CRCR,0,0,0.16666666666666666,0.14285714285714285,0.15384615384615385,0.14285714285714285,0.9166666666666666,0.8863636363636362,0.5168539325842697,For,0,0,0,1
32,LRS,u-CRCR,0,0,0.16666666666666666,0.14285714285714285,0.15384615384615385,0.14285714285714285,0.9166666666666666,0.8863636363636362,0.5168539325842697,For,1,0,0,1
33,LRS,u-CRCR,0,0,0.16666666666666666,0.14285714285714285,0.15384615384615385,0.14285714285714285,0.9166666666666666,0.8863636363636362,0.5168539325842697,For,0,0,0,1
34,LRS,u-CRCR,0,0,0.16666666666666666,0.14285714285714285,0.15384615384615385,0.14285714285714285,0.9166666666666666,0.8863636363636362,0.5168539325842697,For,1,0,0,1
35,LRS,u-CRCR,0,0,0.16666666666666666,0.14285714285714285,0.15384615384615385,0.14285714285714285,0.9166666666666666,0.8863636363636362,0.5168539325842697,For,1,0,0,1
36,LRS,u-CRCR,0,0,0.16666666666666666,0.14285714285714285,0.15384615384615385,0.14285714285714285,0.9166666666666666,0.8863636363636362,0.5168539325842697,For,1,0,0,1
37,LRS,u-CRCR,0,0,0.16666666666666666,0.14285714285714285,0.15384615384615385,0.14285714285714285,0.9166666666666666,0.8863636363636362,0.5168539325842697,For,0,0,0,1
