,ProgramName,Column,Classifier,Accuracy,Precision,Recall,F1
0,numZero,EQUIVALENT,SVM,0.5466666666666666,0.09722222222222222,0.7,0.17073170731707316
0,Calculation,EQUIVALENT,SVM,0.628385698808234,0.14560439560439561,0.6235294117647059,0.2360801781737194
0,jday-jdate,EQUIVALENT,LDA,0.8226950354609929,0.08384458077709611,0.44086021505376344,0.140893470790378
0,sum,EQUIVALENT,DT,0.8963414634146342,0.3125,0.45454545454545453,0.3703703703703703
0,trashAndTakeOut,EQUIVALENT,KNN,0.7090301003344481,0.09392265193370165,0.6296296296296297,0.16346153846153846
0,checkIt,EQUIVALENT,GNB,0.7087378640776699,0.09090909090909091,1.0,0.16666666666666669
0,tcas,EQUIVALENT,GNB,0.41895390989124803,0.21214574898785424,0.6374695863746959,0.3183475091130012
0,findLast,EQUIVALENT,LDA,0.5532994923857868,0.08333333333333333,1.0,0.15384615384615385
0,power,EQUIVALENT,LR,0.6142322097378277,0.05504587155963303,1.0,0.10434782608695652
0,LRS,EQUIVALENT,DT,0.7326388888888888,0.3130081300813008,0.5539568345323741,0.39999999999999997
0,twoPred,EQUIVALENT,LR,0.7020408163265306,0.12307692307692308,0.3333333333333333,0.1797752808988764
0,lastZero,EQUIVALENT,RF,0.7267441860465116,0.10416666666666667,0.5555555555555556,0.1754385964912281
0,date-plus,EQUIVALENT,LR,0.891746163417669,0.28837209302325584,0.36470588235294116,0.3220779220779221
0,countPositive,EQUIVALENT,SVM,0.6333333333333333,0.10344827586206896,0.6666666666666666,0.17910447761194032
0,DigitReverser,EQUIVALENT,RF,0.8727272727272727,0.3387096774193548,0.4883720930232558,0.4
0,oddOrPos,EQUIVALENT,GNB,0.4583333333333333,0.1951219512195122,0.5714285714285714,0.29090909090909095
0,quicksort,EQUIVALENT,DT,0.7414634146341463,0.09333333333333334,0.25609756097560976,0.13680781758957655
0,testPad,EQUIVALENT,KNN,0.5159235668789809,0.11285266457680251,0.631578947368421,0.19148936170212766
0,cal,EQUIVALENT,SVM,0.7471910112359551,0.19672131147540983,0.6233766233766234,0.2990654205607477
0,MergeSort,EQUIVALENT,LR,0.7313131313131314,0.07636363636363637,0.6363636363636364,0.13636363636363638
0,RecursiveSelectionSort,EQUIVALENT,SVM,0.6119133574007221,0.09417040358744394,0.6176470588235294,0.16342412451361865
0,findVal,EQUIVALENT,LDA,0.6349206349206349,0.07246376811594203,0.5,0.12658227848101267
0,Heap,EQUIVALENT,SVM,0.6483870967741936,0.16473988439306358,0.6,0.2585034013605442
0,UnixCal,EQUIVALENT,RF,0.7072517511330861,0.15876027830487033,0.7339181286549707,0.26105044201768074
0,CheckPalindrome,EQUIVALENT,RF,0.7878787878787878,0.2727272727272727,0.45,0.339622641509434
0,InversePermutation,EQUIVALENT,KNN,0.7217391304347827,0.17105263157894737,0.43333333333333335,0.24528301886792456
0,printPrimes,EQUIVALENT,LDA,0.7184873949579832,0.18226600985221675,0.5138888888888888,0.26909090909090905
