,_IM_PROGRAM,_IM_OPERATOR,_IM_SOURCE_PRIMITIVE_ARC,_IM_TARGET_PRIMITIVE_ARC,_IM_DISTANCE_BEGIN_MIN,_IM_DISTANCE_BEGIN_MAX,_IM_DISTANCE_BEGIN_AVG,_IM_DISTANCE_END_MIN,_IM_DISTANCE_END_MAX,_IM_DISTANCE_END_AVG,_IM_COMPLEXITY,_IM_TYPE_STATEMENT,_IM_MINIMAL,_IM_EQUIVALENT,PREDICTED,RESULT
0,RecursiveSelectionSort,u-CCDL,0,0,0.2,0.16666666666666666,0.18181818181818185,0.5,0.875,1.0,0.8571428571428571,For,0,1,1,1
1,RecursiveSelectionSort,u-CCDL,0,0,0.6,0.5,0.5454545454545454,0.0,0.0,0.0,1.0,Function Call,0,0,0,1
2,RecursiveSelectionSort,u-Ccsr,1,0,0.0,0.0,0.0,0.0,1.0,0.9,0.3831168831168831,If,0,0,0,1
3,RecursiveSelectionSort,u-Ccsr,1,0,0.0,0.0,0.0,0.0,1.0,0.9,0.3831168831168831,If,0,0,0,1
4,RecursiveSelectionSort,u-Ccsr,0,0,0.2,0.16666666666666666,0.18181818181818185,0.5,0.875,1.0,0.8571428571428571,Assignment,0,0,1,0
5,RecursiveSelectionSort,u-Ccsr,0,0,0.2,0.16666666666666666,0.18181818181818185,0.5,0.875,1.0,0.8571428571428571,Assignment,0,0,1,0
6,RecursiveSelectionSort,u-Ccsr,0,0,0.2,0.16666666666666666,0.18181818181818185,0.5,0.875,1.0,0.8571428571428571,For,0,0,1,0
7,RecursiveSelectionSort,u-Ccsr,0,0,0.4,0.3333333333333333,0.3636363636363637,0.25,0.75,0.8,0.3311688311688312,For,0,0,1,0
8,RecursiveSelectionSort,u-Ccsr,0,0,0.4,0.3333333333333333,0.3636363636363637,0.25,0.75,0.8,0.3311688311688312,For,0,0,1,0
9,RecursiveSelectionSort,u-Ccsr,1,0,0.6,0.5,0.5454545454545454,1.0,0.625,0.9,0.4545454545454545,If,0,0,1,0
10,RecursiveSelectionSort,u-Ccsr,1,0,0.6,0.5,0.5454545454545454,1.0,0.625,0.9,0.4545454545454545,If,0,0,1,0
11,RecursiveSelectionSort,u-Ccsr,0,1,0.8,0.6666666666666666,0.7272727272727273,1.0,0.5,0.8,0.5,Assignment,0,0,0,1
12,RecursiveSelectionSort,u-Ccsr,0,1,0.8,0.6666666666666666,0.7272727272727273,1.0,0.5,0.8,0.5,Assignment,0,0,0,1
13,RecursiveSelectionSort,u-Ccsr,0,0,0.6,0.5,0.5454545454545454,0.0,0.0,0.0,1.0,Assignment,0,0,0,1
14,RecursiveSelectionSort,u-Ccsr,0,0,0.6,0.5,0.5454545454545454,0.0,0.0,0.0,1.0,Assignment,0,0,0,1
15,RecursiveSelectionSort,u-Ccsr,0,0,0.6,0.5,0.5454545454545454,0.0,0.0,0.0,1.0,Assignment,0,0,0,1
16,RecursiveSelectionSort,u-Ccsr,0,0,0.6,0.5,0.5454545454545454,0.0,0.0,0.0,1.0,Assignment,0,0,0,1
17,RecursiveSelectionSort,u-Ccsr,0,0,0.6,0.5,0.5454545454545454,0.0,0.0,0.0,1.0,Function Call,0,0,0,1
18,RecursiveSelectionSort,u-Ccsr,0,0,0.6,0.5,0.5454545454545454,0.0,0.0,0.0,1.0,Function Call,0,0,0,1
19,RecursiveSelectionSort,u-CRCR,1,0,0.0,0.0,0.0,0.0,1.0,0.9,0.3831168831168831,If,0,0,0,1
20,RecursiveSelectionSort,u-CRCR,1,0,0.0,0.0,0.0,0.0,1.0,0.9,0.3831168831168831,If,0,0,0,1
21,RecursiveSelectionSort,u-CRCR,1,0,0.0,0.0,0.0,0.0,1.0,0.9,0.3831168831168831,If,0,0,0,1
22,RecursiveSelectionSort,u-CRCR,1,0,0.0,0.0,0.0,0.0,1.0,0.9,0.3831168831168831,If,0,0,0,1
23,RecursiveSelectionSort,u-CRCR,1,0,0.0,0.0,0.0,0.0,1.0,0.9,0.3831168831168831,If,0,0,0,1
24,RecursiveSelectionSort,u-CRCR,1,0,0.0,0.0,0.0,0.0,1.0,0.9,0.3831168831168831,If,0,0,0,1
25,RecursiveSelectionSort,u-CRCR,1,0,0.0,0.0,0.0,0.0,1.0,0.9,0.3831168831168831,If,0,0,0,1
26,RecursiveSelectionSort,u-CRCR,1,0,0.0,0.0,0.0,0.0,1.0,0.9,0.3831168831168831,If,0,0,0,1
27,RecursiveSelectionSort,u-CRCR,1,0,0.0,0.0,0.0,0.0,1.0,0.9,0.3831168831168831,If,0,0,0,1
28,RecursiveSelectionSort,u-CRCR,1,0,0.0,0.0,0.0,0.0,1.0,0.9,0.3831168831168831,If,0,0,0,1
29,RecursiveSelectionSort,u-CRCR,0,0,0.2,0.16666666666666666,0.18181818181818185,0.5,0.875,1.0,0.8571428571428571,Assignment,0,0,1,0
30,RecursiveSelectionSort,u-CRCR,0,0,0.2,0.16666666666666666,0.18181818181818185,0.5,0.875,1.0,0.8571428571428571,Assignment,0,0,1,0
31,RecursiveSelectionSort,u-CRCR,0,0,0.2,0.16666666666666666,0.18181818181818185,0.5,0.875,1.0,0.8571428571428571,Assignment,0,0,1,0
32,RecursiveSelectionSort,u-CRCR,0,0,0.2,0.16666666666666666,0.18181818181818185,0.5,0.875,1.0,0.8571428571428571,Assignment,0,0,1,0
33,RecursiveSelectionSort,u-CRCR,0,0,0.2,0.16666666666666666,0.18181818181818185,0.5,0.875,1.0,0.8571428571428571,Assignment,0,0,1,0
34,RecursiveSelectionSort,u-CRCR,0,0,0.2,0.16666666666666666,0.18181818181818185,0.5,0.875,1.0,0.8571428571428571,Assignment,0,0,1,0
35,RecursiveSelectionSort,u-CRCR,0,0,0.2,0.16666666666666666,0.18181818181818185,0.5,0.875,1.0,0.8571428571428571,Assignment,0,0,1,0
36,RecursiveSelectionSort,u-CRCR,0,0,0.2,0.16666666666666666,0.18181818181818185,0.5,0.875,1.0,0.8571428571428571,Assignment,0,0,1,0
37,RecursiveSelectionSort,u-CRCR,0,0,0.2,0.16666666666666666,0.18181818181818185,0.5,0.875,1.0,0.8571428571428571,Assignment,0,0,1,0
38,RecursiveSelectionSort,u-CRCR,0,0,0.2,0.16666666666666666,0.18181818181818185,0.5,0.875,1.0,0.8571428571428571,Assignment,0,0,1,0
39,RecursiveSelectionSort,u-CRCR,0,0,0.2,0.16666666666666666,0.18181818181818185,0.5,0.875,1.0,0.8571428571428571,Assignment,0,0,1,0
