,_IM_PROGRAM,_IM_OPERATOR,_IM_SOURCE_PRIMITIVE_ARC,_IM_TARGET_PRIMITIVE_ARC,_IM_DISTANCE_BEGIN_MIN,_IM_DISTANCE_BEGIN_MAX,_IM_DISTANCE_BEGIN_AVG,_IM_DISTANCE_END_MIN,_IM_DISTANCE_END_MAX,_IM_DISTANCE_END_AVG,_IM_COMPLEXITY,_IM_TYPE_STATEMENT,_IM_MINIMAL,_IM_EQUIVALENT,PREDICTED,RESULT
0,date-plus,u-Cccr,1,1,0,0,0.0,2,44,34.22053571428572,0.4424778761061947,Assignment,0,0,1,0
1,date-plus,u-Cccr,1,1,0,0,0.0,2,44,34.22053571428572,0.4424778761061947,Assignment,0,0,1,0
2,date-plus,u-Cccr,1,1,0,0,0.0,2,44,34.22053571428572,0.4424778761061947,Assignment,0,0,1,0
3,date-plus,u-Cccr,1,1,0,0,0.0,2,44,34.22053571428572,0.4424778761061947,Assignment,0,0,1,0
4,date-plus,u-Cccr,1,1,0,0,0.0,2,44,34.22053571428572,0.4424778761061947,Assignment,0,0,1,0
5,date-plus,u-Cccr,1,1,0,0,0.0,2,44,34.22053571428572,0.4424778761061947,Assignment,0,0,1,0
6,date-plus,u-Cccr,1,1,0,0,0.0,2,44,34.22053571428572,0.4424778761061947,Assignment,0,0,1,0
7,date-plus,u-Cccr,1,1,0,0,0.0,2,44,34.22053571428572,0.4424778761061947,Assignment,0,0,1,0
8,date-plus,u-Cccr,0,0,1,15,11.181818181818182,1,43,33.22053571428572,0.1415929203539823,Block,0,0,0,1
9,date-plus,u-Cccr,0,0,1,15,11.181818181818182,1,43,33.22053571428572,0.1415929203539823,Block,0,0,0,1
10,date-plus,u-Cccr,0,0,1,15,11.181818181818182,1,43,33.22053571428572,0.1415929203539823,Block,0,0,0,1
11,date-plus,u-Cccr,0,0,1,15,11.181818181818182,1,43,33.22053571428572,0.1415929203539823,Block,0,0,0,1
12,date-plus,u-Cccr,0,0,1,15,11.181818181818182,1,43,33.22053571428572,0.1415929203539823,Block,0,0,0,1
13,date-plus,u-Cccr,0,0,1,15,11.181818181818182,1,43,33.22053571428572,0.1415929203539823,Block,0,0,0,1
14,date-plus,u-Cccr,0,0,1,15,11.181818181818182,1,43,33.22053571428572,0.1415929203539823,Block,0,0,0,1
15,date-plus,u-Cccr,0,0,1,15,11.181818181818182,1,43,33.22053571428572,0.1415929203539823,Block,0,0,0,1
16,date-plus,u-Cccr,0,0,1,15,11.181818181818182,1,43,33.22053571428572,0.1415929203539823,Block,0,0,0,1
17,date-plus,u-Cccr,0,0,1,15,11.181818181818182,1,43,33.22053571428572,0.1415929203539823,Block,0,0,0,1
18,date-plus,u-Cccr,0,0,1,15,11.181818181818182,1,43,33.22053571428572,0.1415929203539823,Block,0,0,0,1
19,date-plus,u-Cccr,0,0,1,15,11.181818181818182,1,43,33.22053571428572,0.1415929203539823,Block,0,0,0,1
20,date-plus,u-Cccr,0,0,1,15,11.181818181818182,1,43,33.22053571428572,0.1415929203539823,Block,0,0,0,1
21,date-plus,u-Cccr,0,0,1,15,11.181818181818182,1,43,33.22053571428572,0.1415929203539823,Block,0,0,0,1
22,date-plus,u-Cccr,0,0,1,15,11.181818181818182,1,43,33.22053571428572,0.1415929203539823,Block,0,0,0,1
23,date-plus,u-Cccr,0,0,1,15,11.181818181818182,1,43,33.22053571428572,0.1415929203539823,Block,0,0,0,1
24,date-plus,u-Cccr,0,0,1,15,11.181818181818182,1,43,33.22053571428572,0.1415929203539823,Block,0,0,0,1
25,date-plus,u-Cccr,0,0,1,15,11.181818181818182,1,43,33.22053571428572,0.1415929203539823,Block,0,0,0,1
26,date-plus,u-Cccr,0,0,1,15,11.181818181818182,1,43,33.22053571428572,0.1415929203539823,Block,0,0,0,1
27,date-plus,u-Cccr,0,0,1,15,11.181818181818182,1,43,33.22053571428572,0.1415929203539823,Block,0,0,0,1
28,date-plus,u-Cccr,0,0,1,15,11.181818181818182,1,43,33.22053571428572,0.1415929203539823,Block,0,0,0,1
29,date-plus,u-Cccr,0,0,1,15,11.181818181818182,1,43,33.22053571428572,0.1415929203539823,Block,0,0,0,1
30,date-plus,u-Cccr,0,0,1,15,11.181818181818182,1,43,33.22053571428572,0.1415929203539823,Block,0,0,0,1
31,date-plus,u-Cccr,0,0,1,15,11.181818181818182,1,43,33.22053571428572,0.1415929203539823,Block,0,0,0,1
32,date-plus,u-Cccr,0,0,1,15,11.181818181818182,1,43,33.22053571428572,0.1415929203539823,Block,0,0,0,1
33,date-plus,u-Cccr,0,0,1,15,11.181818181818182,1,43,33.22053571428572,0.1415929203539823,Block,0,0,0,1
34,date-plus,u-Cccr,0,0,1,15,11.181818181818182,1,43,33.22053571428572,0.1415929203539823,Block,0,0,0,1
35,date-plus,u-Cccr,0,0,1,15,11.181818181818182,1,43,33.22053571428572,0.1415929203539823,Block,0,0,0,1
36,date-plus,u-Cccr,0,0,1,15,11.181818181818182,1,43,33.22053571428572,0.1415929203539823,Block,1,0,0,1
37,date-plus,u-Cccr,0,0,1,15,11.181818181818182,1,43,33.22053571428572,0.1415929203539823,Block,1,0,0,1
38,date-plus,u-Cccr,0,0,1,15,11.181818181818182,1,43,33.22053571428572,0.1415929203539823,Block,1,0,0,1
39,date-plus,u-Cccr,0,0,1,15,11.181818181818182,1,43,33.22053571428572,0.1415929203539823,Block,0,0,0,1
40,date-plus,u-Cccr,0,0,1,15,11.181818181818182,1,43,33.22053571428572,0.1415929203539823,Block,0,0,0,1
41,date-plus,u-Cccr,0,0,1,15,11.181818181818182,1,43,33.22053571428572,0.1415929203539823,Block,0,0,0,1
42,date-plus,u-Cccr,0,0,1,15,11.181818181818182,1,43,33.22053571428572,0.1415929203539823,Block,0,0,0,1
43,date-plus,u-Cccr,0,0,1,15,11.181818181818182,1,43,33.22053571428572,0.1415929203539823,Block,0,0,0,1
44,date-plus,u-Cccr,0,0,1,15,11.181818181818182,1,43,33.22053571428572,0.1415929203539823,Block,0,0,0,1
45,date-plus,u-Cccr,0,0,1,15,11.181818181818182,1,43,33.22053571428572,0.1415929203539823,Block,0,0,0,1
46,date-plus,u-Cccr,0,0,1,15,11.181818181818182,1,43,33.22053571428572,0.1415929203539823,Block,0,0,0,1
47,date-plus,u-Cccr,0,0,1,15,11.181818181818182,1,43,33.22053571428572,0.1415929203539823,Block,0,0,0,1
48,date-plus,u-Cccr,0,0,1,15,11.181818181818182,1,43,33.22053571428572,0.1415929203539823,Block,0,0,0,1
49,date-plus,u-Cccr,0,0,1,15,11.181818181818182,1,43,33.22053571428572,0.1415929203539823,Block,0,0,0,1
50,date-plus,u-Cccr,0,0,1,15,11.181818181818182,1,43,33.22053571428572,0.1415929203539823,Block,0,0,0,1
51,date-plus,u-Cccr,0,0,1,15,11.181818181818182,1,43,33.22053571428572,0.1415929203539823,Block,0,0,0,1
52,date-plus,u-Cccr,0,0,1,15,11.181818181818182,1,43,33.22053571428572,0.1415929203539823,Block,0,0,0,1
53,date-plus,u-Cccr,1,0,2,16,12.181818181818182,4,42,32.24932975871314,0.04424778761061947,Assignment,0,0,0,1
54,date-plus,u-Cccr,1,0,2,16,12.181818181818182,4,42,32.24932975871314,0.04424778761061947,Assignment,0,0,0,1
55,date-plus,u-Cccr,1,0,2,16,12.181818181818182,4,42,32.24932975871314,0.04424778761061947,Assignment,0,0,0,1
56,date-plus,u-Cccr,1,0,2,16,12.181818181818182,4,42,32.24932975871314,0.04424778761061947,Assignment,0,0,0,1
57,date-plus,u-Cccr,1,0,2,16,12.181818181818182,4,42,32.24932975871314,0.04424778761061947,Assignment,0,0,0,1
