,_IM_PROGRAM,_IM_OPERATOR,_IM_SOURCE_PRIMITIVE_ARC,_IM_TARGET_PRIMITIVE_ARC,_IM_DISTANCE_BEGIN_MIN,_IM_DISTANCE_BEGIN_MAX,_IM_DISTANCE_BEGIN_AVG,_IM_DISTANCE_END_MIN,_IM_DISTANCE_END_MAX,_IM_DISTANCE_END_AVG,_IM_COMPLEXITY,_IM_TYPE_STATEMENT,_IM_MINIMAL,_IM_EQUIVALENT,PREDICTED,RESULT
0,jday-jdate,u-Cccr,1,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,If,1,0,0,1
1,jday-jdate,u-Cccr,1,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,If,0,0,0,1
2,jday-jdate,u-Cccr,1,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,If,0,0,0,1
3,jday-jdate,u-Cccr,1,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,If,0,0,0,1
4,jday-jdate,u-Cccr,1,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,If,1,0,0,1
5,jday-jdate,u-Cccr,1,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,If,0,0,0,1
6,jday-jdate,u-Cccr,1,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,If,0,0,0,1
7,jday-jdate,u-Cccr,1,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,If,0,1,0,0
8,jday-jdate,u-Cccr,1,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,If,0,0,0,1
9,jday-jdate,u-Cccr,1,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,If,0,0,0,1
10,jday-jdate,u-Cccr,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.0,If,0,0,0,1
11,jday-jdate,u-Cccr,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.0,If,0,0,0,1
12,jday-jdate,u-Cccr,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.0,If,0,0,0,1
13,jday-jdate,u-Cccr,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.0,If,0,0,0,1
14,jday-jdate,u-Cccr,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.0,If,0,0,0,1
15,jday-jdate,u-Cccr,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.0,If,0,0,0,1
16,jday-jdate,u-Cccr,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.0,If,0,0,0,1
17,jday-jdate,u-Cccr,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.0,If,0,0,0,1
18,jday-jdate,u-Cccr,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.0,If,0,0,0,1
19,jday-jdate,u-Cccr,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.0,If,0,0,0,1
20,jday-jdate,u-Cccr,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.006470588235294118,Assignment,0,0,1,0
21,jday-jdate,u-Cccr,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.006470588235294118,Assignment,0,0,1,0
22,jday-jdate,u-Cccr,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.006470588235294118,Assignment,0,0,1,0
23,jday-jdate,u-Cccr,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.006470588235294118,Assignment,0,0,1,0
24,jday-jdate,u-Cccr,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.006470588235294118,Assignment,0,0,1,0
25,jday-jdate,u-Cccr,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.006470588235294118,Assignment,0,0,1,0
26,jday-jdate,u-Cccr,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.006470588235294118,Assignment,0,0,1,0
27,jday-jdate,u-Cccr,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.006470588235294118,Assignment,0,0,1,0
28,jday-jdate,u-Cccr,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.006470588235294118,Assignment,0,0,1,0
29,jday-jdate,u-Cccr,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.006470588235294118,Assignment,0,0,1,0
30,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
31,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
32,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
33,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
34,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
35,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
36,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
37,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
38,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
39,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
40,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
41,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
42,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
43,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
44,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
45,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
46,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
47,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
48,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
49,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
50,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
51,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
52,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
53,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
54,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
55,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
56,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
57,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
58,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
59,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
60,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
61,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
62,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
63,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
64,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
65,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
66,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
67,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
68,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
69,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
70,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
71,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
72,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
73,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
74,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
75,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
76,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
77,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
78,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
79,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
80,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
81,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
82,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
83,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
84,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
85,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
86,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
87,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,1,0
