,_IM_PROGRAM,_IM_OPERATOR,_IM_SOURCE_PRIMITIVE_ARC,_IM_TARGET_PRIMITIVE_ARC,_IM_DISTANCE_BEGIN_MIN,_IM_DISTANCE_BEGIN_MAX,_IM_DISTANCE_BEGIN_AVG,_IM_DISTANCE_END_MIN,_IM_DISTANCE_END_MAX,_IM_DISTANCE_END_AVG,_IM_COMPLEXITY,_IM_TYPE_STATEMENT,_IM_MINIMAL,_IM_EQUIVALENT,PREDICTED,RESULT
0,jday-jdate,u-Cccr,1,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,If,1,0,0,1
1,jday-jdate,u-Cccr,1,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,If,0,0,0,1
2,jday-jdate,u-Cccr,1,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,If,0,0,0,1
3,jday-jdate,u-Cccr,1,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,If,0,0,0,1
4,jday-jdate,u-Cccr,1,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,If,1,0,0,1
5,jday-jdate,u-Cccr,1,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,If,0,0,0,1
6,jday-jdate,u-Cccr,1,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,If,0,0,0,1
7,jday-jdate,u-Cccr,1,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,If,0,1,0,0
8,jday-jdate,u-Cccr,1,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,If,0,0,0,1
9,jday-jdate,u-Cccr,1,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,If,0,0,0,1
10,jday-jdate,u-Cccr,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.0,If,0,0,0,1
11,jday-jdate,u-Cccr,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.0,If,0,0,0,1
12,jday-jdate,u-Cccr,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.0,If,0,0,0,1
13,jday-jdate,u-Cccr,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.0,If,0,0,0,1
14,jday-jdate,u-Cccr,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.0,If,0,0,0,1
15,jday-jdate,u-Cccr,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.0,If,0,0,0,1
16,jday-jdate,u-Cccr,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.0,If,0,0,0,1
17,jday-jdate,u-Cccr,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.0,If,0,0,0,1
18,jday-jdate,u-Cccr,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.0,If,0,0,0,1
19,jday-jdate,u-Cccr,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.0,If,0,0,0,1
20,jday-jdate,u-Cccr,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.006470588235294118,Assignment,0,0,0,1
21,jday-jdate,u-Cccr,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.006470588235294118,Assignment,0,0,0,1
22,jday-jdate,u-Cccr,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.006470588235294118,Assignment,0,0,0,1
23,jday-jdate,u-Cccr,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.006470588235294118,Assignment,0,0,0,1
24,jday-jdate,u-Cccr,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.006470588235294118,Assignment,0,0,0,1
25,jday-jdate,u-Cccr,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.006470588235294118,Assignment,0,0,0,1
26,jday-jdate,u-Cccr,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.006470588235294118,Assignment,0,0,0,1
27,jday-jdate,u-Cccr,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.006470588235294118,Assignment,0,0,0,1
28,jday-jdate,u-Cccr,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.006470588235294118,Assignment,0,0,0,1
29,jday-jdate,u-Cccr,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.006470588235294118,Assignment,0,0,0,1
30,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
31,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
32,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
33,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
34,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
35,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
36,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
37,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
38,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
39,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
40,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
41,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
42,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
43,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
44,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
45,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
46,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
47,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
48,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
49,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
50,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
51,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
52,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
53,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
54,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
55,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
56,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
57,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
58,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
59,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
60,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
61,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
62,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
63,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
64,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
65,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
66,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
67,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
68,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
69,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
70,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
71,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
72,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
73,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
74,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
75,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
76,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
77,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
78,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
79,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
80,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
81,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
82,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
83,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
84,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
85,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
86,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
87,jday-jdate,u-Cccr,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.09,Assignment,0,0,0,1
