,_IM_PROGRAM,_IM_OPERATOR,_IM_SOURCE_PRIMITIVE_ARC,_IM_TARGET_PRIMITIVE_ARC,_IM_DISTANCE_BEGIN_MIN,_IM_DISTANCE_BEGIN_MAX,_IM_DISTANCE_BEGIN_AVG,_IM_DISTANCE_END_MIN,_IM_DISTANCE_END_MAX,_IM_DISTANCE_END_AVG,_IM_COMPLEXITY,_IM_TYPE_STATEMENT,_IM_MINIMAL,_IM_EQUIVALENT,PREDICTED,RESULT
0,power,u-Cccr,1,0,0,0,0.0,2,7,4.333333333333333,1.0,If,0,0,0,1
1,power,u-Cccr,0,1,1,1,1.0,1,1,1.0,0.2297297297297297,Assignment,0,0,1,0
2,power,u-Cccr,0,1,1,1,1.0,1,1,1.0,0.2297297297297297,Assignment,0,0,1,0
3,power,u-Cccr,0,0,1,1,1.0,3,6,4.5,0.25675675675675674,For,0,0,1,0
4,power,u-Cccr,0,0,1,1,1.0,3,6,4.5,0.25675675675675674,For,0,0,1,0
5,power,u-CCDL,1,0,0,0,0.0,2,7,4.333333333333333,1.0,If,0,0,0,1
6,power,u-Ccsr,1,0,0,0,0.0,2,7,4.333333333333333,1.0,Assignment,0,0,0,1
7,power,u-Ccsr,1,0,0,0,0.0,2,7,4.333333333333333,1.0,Assignment,0,0,0,1
8,power,u-Ccsr,1,0,0,0,0.0,2,7,4.333333333333333,1.0,Assignment,0,0,0,1
9,power,u-Ccsr,1,0,0,0,0.0,2,7,4.333333333333333,1.0,If,0,0,0,1
10,power,u-Ccsr,1,0,0,0,0.0,2,7,4.333333333333333,1.0,If,0,0,0,1
11,power,u-Ccsr,1,0,0,0,0.0,2,7,4.333333333333333,1.0,If,0,0,0,1
12,power,u-Ccsr,1,0,2,2,2.0,2,5,3.5,0.6756756756756757,For,0,0,0,1
13,power,u-Ccsr,1,0,2,2,2.0,2,5,3.5,0.6756756756756757,For,0,0,0,1
14,power,u-Ccsr,1,0,2,2,2.0,2,5,3.5,0.6756756756756757,For,0,0,0,1
15,power,u-Ccsr,1,0,2,2,2.0,2,5,3.5,0.6756756756756757,For,0,0,0,1
16,power,u-Ccsr,1,0,2,2,2.0,2,5,3.5,0.6756756756756757,For,0,0,0,1
17,power,u-Ccsr,1,0,2,2,2.0,2,5,3.5,0.6756756756756757,For,0,0,0,1
18,power,u-Ccsr,0,1,3,3,3.0,4,4,4.0,0.8783783783783784,Assignment,0,0,0,1
19,power,u-Ccsr,0,1,3,3,3.0,4,4,4.0,0.8783783783783784,Assignment,0,0,0,1
20,power,u-Ccsr,0,1,3,3,3.0,4,4,4.0,0.8783783783783784,Assignment,0,0,0,1
21,power,u-Ccsr,0,1,3,3,3.0,4,4,4.0,0.8783783783783784,Assignment,0,0,0,1
22,power,u-Ccsr,0,1,3,3,3.0,4,4,4.0,0.8783783783783784,Assignment,0,0,0,1
23,power,u-Ccsr,0,1,3,3,3.0,4,4,4.0,0.8783783783783784,Assignment,1,0,0,1
24,power,u-Ccsr,0,0,2,4,3.0,0,0,0.0,0.1891891891891892,Return,0,0,1,0
25,power,u-Ccsr,0,0,2,4,3.0,0,0,0.0,0.1891891891891892,Return,0,0,1,0
26,power,u-Ccsr,0,0,2,4,3.0,0,0,0.0,0.1891891891891892,Return,0,0,1,0
27,power,u-CRCR,1,0,0,0,0.0,2,7,4.333333333333333,1.0,Assignment,0,0,0,1
28,power,u-CRCR,1,0,0,0,0.0,2,7,4.333333333333333,1.0,Assignment,0,0,0,1
29,power,u-CRCR,1,0,0,0,0.0,2,7,4.333333333333333,1.0,Assignment,0,0,0,1
30,power,u-CRCR,1,0,0,0,0.0,2,7,4.333333333333333,1.0,Assignment,0,0,0,1
31,power,u-CRCR,1,0,0,0,0.0,2,7,4.333333333333333,1.0,Assignment,0,0,0,1
32,power,u-CRCR,1,0,0,0,0.0,2,7,4.333333333333333,1.0,If,0,0,0,1
33,power,u-CRCR,1,0,0,0,0.0,2,7,4.333333333333333,1.0,If,0,0,0,1
34,power,u-CRCR,1,0,0,0,0.0,2,7,4.333333333333333,1.0,If,0,0,0,1
35,power,u-CRCR,1,0,0,0,0.0,2,7,4.333333333333333,1.0,If,0,0,0,1
36,power,u-CRCR,1,0,0,0,0.0,2,7,4.333333333333333,1.0,If,0,0,0,1
37,power,u-CRCR,1,0,2,2,2.0,2,5,3.5,0.6756756756756757,For,0,0,0,1
38,power,u-CRCR,1,0,2,2,2.0,2,5,3.5,0.6756756756756757,For,0,0,0,1
39,power,u-CRCR,1,0,2,2,2.0,2,5,3.5,0.6756756756756757,For,0,0,0,1
40,power,u-CRCR,1,0,2,2,2.0,2,5,3.5,0.6756756756756757,For,0,0,0,1
41,power,u-CRCR,1,0,2,2,2.0,2,5,3.5,0.6756756756756757,For,0,0,0,1
42,power,u-CRCR,1,0,2,2,2.0,2,5,3.5,0.6756756756756757,For,0,0,0,1
43,power,u-CRCR,1,0,2,2,2.0,2,5,3.5,0.6756756756756757,For,0,0,0,1
44,power,u-CRCR,1,0,2,2,2.0,2,5,3.5,0.6756756756756757,For,0,0,0,1
45,power,u-CRCR,1,0,2,2,2.0,2,5,3.5,0.6756756756756757,For,0,0,0,1
46,power,u-CRCR,1,0,2,2,2.0,2,5,3.5,0.6756756756756757,For,0,0,0,1
47,power,u-CRCR,0,1,3,3,3.0,4,4,4.0,0.8783783783783784,Assignment,0,0,0,1
48,power,u-CRCR,0,1,3,3,3.0,4,4,4.0,0.8783783783783784,Assignment,0,0,0,1
49,power,u-CRCR,0,1,3,3,3.0,4,4,4.0,0.8783783783783784,Assignment,0,0,0,1
50,power,u-CRCR,0,1,3,3,3.0,4,4,4.0,0.8783783783783784,Assignment,0,0,0,1
51,power,u-CRCR,0,1,3,3,3.0,4,4,4.0,0.8783783783783784,Assignment,0,0,0,1
52,power,u-CRCR,0,1,3,3,3.0,4,4,4.0,0.8783783783783784,Assignment,0,0,0,1
53,power,u-CRCR,0,1,3,3,3.0,4,4,4.0,0.8783783783783784,Assignment,0,0,0,1
54,power,u-CRCR,0,1,3,3,3.0,4,4,4.0,0.8783783783783784,Assignment,0,0,0,1
55,power,u-CRCR,0,1,3,3,3.0,4,4,4.0,0.8783783783783784,Assignment,0,0,0,1
56,power,u-CRCR,0,1,3,3,3.0,4,4,4.0,0.8783783783783784,Assignment,0,0,0,1
57,power,u-CRCR,0,0,2,4,3.0,0,0,0.0,0.1891891891891892,Return,0,0,1,0
58,power,u-CRCR,0,0,2,4,3.0,0,0,0.0,0.1891891891891892,Return,0,0,1,0
59,power,u-CRCR,0,0,2,4,3.0,0,0,0.0,0.1891891891891892,Return,0,0,1,0
60,power,u-CRCR,0,0,2,4,3.0,0,0,0.0,0.1891891891891892,Return,0,0,1,0
61,power,u-CRCR,0,0,2,4,3.0,0,0,0.0,0.1891891891891892,Return,0,0,1,0
62,power,u-OAAN,0,1,3,3,3.0,4,4,4.0,0.8783783783783784,Assignment,0,0,0,1
63,power,u-OAAN,0,1,3,3,3.0,4,4,4.0,0.8783783783783784,Assignment,0,0,0,1
64,power,u-OAAN,0,1,3,3,3.0,4,4,4.0,0.8783783783783784,Assignment,0,0,0,1
65,power,u-OAAN,0,1,3,3,3.0,4,4,4.0,0.8783783783783784,Assignment,0,0,0,1
66,power,u-OABN,0,1,3,3,3.0,4,4,4.0,0.8783783783783784,Assignment,0,0,0,1
67,power,u-OABN,0,1,3,3,3.0,4,4,4.0,0.8783783783783784,Assignment,0,0,0,1
68,power,u-OABN,0,1,3,3,3.0,4,4,4.0,0.8783783783783784,Assignment,0,0,0,1
69,power,u-OALN,0,1,3,3,3.0,4,4,4.0,0.8783783783783784,Assignment,0,0,0,1
70,power,u-OALN,0,1,3,3,3.0,4,4,4.0,0.8783783783783784,Assignment,0,0,0,1
71,power,u-OARN,0,1,3,3,3.0,4,4,4.0,0.8783783783783784,Assignment,0,0,0,1
72,power,u-OARN,0,1,3,3,3.0,4,4,4.0,0.8783783783783784,Assignment,0,0,0,1
73,power,u-OARN,0,1,3,3,3.0,4,4,4.0,0.8783783783783784,Assignment,0,0,0,1
74,power,u-OARN,0,1,3,3,3.0,4,4,4.0,0.8783783783783784,Assignment,0,0,0,1
75,power,u-OARN,0,1,3,3,3.0,4,4,4.0,0.8783783783783784,Assignment,0,0,0,1
76,power,u-OARN,0,1,3,3,3.0,4,4,4.0,0.8783783783783784,Assignment,0,0,0,1
77,power,u-OASN,0,1,3,3,3.0,4,4,4.0,0.8783783783783784,Assignment,0,0,0,1
78,power,u-OASN,0,1,3,3,3.0,4,4,4.0,0.8783783783783784,Assignment,0,0,0,1
79,power,u-OCNG,1,0,0,0,0.0,2,7,4.333333333333333,1.0,If,0,0,0,1
80,power,u-OCNG,1,0,2,2,2.0,2,5,3.5,0.6756756756756757,For,0,0,0,1
81,power,u-OEAA,1,0,0,0,0.0,2,7,4.333333333333333,1.0,Assignment,0,0,0,1
82,power,u-OEAA,1,0,0,0,0.0,2,7,4.333333333333333,1.0,Assignment,0,0,0,1
83,power,u-OEAA,1,0,0,0,0.0,2,7,4.333333333333333,1.0,Assignment,0,0,0,1
84,power,u-OEAA,1,0,0,0,0.0,2,7,4.333333333333333,1.0,Assignment,0,0,0,1
85,power,u-OEAA,1,0,0,0,0.0,2,7,4.333333333333333,1.0,Assignment,0,0,0,1
86,power,u-OEAA,0,1,1,1,1.0,1,1,1.0,0.2297297297297297,Assignment,0,0,1,0
87,power,u-OEAA,0,1,1,1,1.0,1,1,1.0,0.2297297297297297,Assignment,0,0,1,0
88,power,u-OEAA,0,1,1,1,1.0,1,1,1.0,0.2297297297297297,Assignment,0,0,1,0
89,power,u-OEAA,0,1,1,1,1.0,1,1,1.0,0.2297297297297297,Assignment,1,0,0,1
90,power,u-OEAA,0,1,1,1,1.0,1,1,1.0,0.2297297297297297,Assignment,0,0,1,0
91,power,u-OEAA,0,0,1,1,1.0,3,6,4.5,0.25675675675675674,For,0,0,1,0
92,power,u-OEAA,0,0,1,1,1.0,3,6,4.5,0.25675675675675674,For,0,0,1,0
93,power,u-OEAA,0,0,1,1,1.0,3,6,4.5,0.25675675675675674,For,0,0,1,0
94,power,u-OEAA,0,0,1,1,1.0,3,6,4.5,0.25675675675675674,For,0,0,1,0
95,power,u-OEAA,0,0,1,1,1.0,3,6,4.5,0.25675675675675674,For,0,0,1,0
96,power,u-OEAA,0,1,3,3,3.0,4,4,4.0,0.8783783783783784,Assignment,0,0,0,1
97,power,u-OEAA,0,1,3,3,3.0,4,4,4.0,0.8783783783783784,Assignment,0,0,0,1
98,power,u-OEAA,0,1,3,3,3.0,4,4,4.0,0.8783783783783784,Assignment,0,0,0,1
99,power,u-OEAA,0,1,3,3,3.0,4,4,4.0,0.8783783783783784,Assignment,0,0,0,1
100,power,u-OEAA,0,1,3,3,3.0,4,4,4.0,0.8783783783783784,Assignment,0,0,0,1
101,power,u-OEBA,1,0,0,0,0.0,2,7,4.333333333333333,1.0,Assignment,0,0,0,1
102,power,u-OEBA,1,0,0,0,0.0,2,7,4.333333333333333,1.0,Assignment,0,0,0,1
103,power,u-OEBA,1,0,0,0,0.0,2,7,4.333333333333333,1.0,Assignment,0,0,0,1
104,power,u-OEBA,0,1,1,1,1.0,1,1,1.0,0.2297297297297297,Assignment,1,0,0,1
105,power,u-OEBA,0,1,1,1,1.0,1,1,1.0,0.2297297297297297,Assignment,1,0,0,1
106,power,u-OEBA,0,1,1,1,1.0,1,1,1.0,0.2297297297297297,Assignment,1,0,0,1
107,power,u-OEBA,0,0,1,1,1.0,3,6,4.5,0.25675675675675674,For,0,0,1,0
108,power,u-OEBA,0,0,1,1,1.0,3,6,4.5,0.25675675675675674,For,0,0,1,0
109,power,u-OEBA,0,0,1,1,1.0,3,6,4.5,0.25675675675675674,For,0,0,1,0
110,power,u-OEBA,0,1,3,3,3.0,4,4,4.0,0.8783783783783784,Assignment,0,0,0,1
111,power,u-OEBA,0,1,3,3,3.0,4,4,4.0,0.8783783783783784,Assignment,0,0,0,1
112,power,u-OEBA,0,1,3,3,3.0,4,4,4.0,0.8783783783783784,Assignment,0,0,0,1
113,power,u-OESA,1,0,0,0,0.0,2,7,4.333333333333333,1.0,Assignment,0,0,0,1
114,power,u-OESA,1,0,0,0,0.0,2,7,4.333333333333333,1.0,Assignment,0,0,0,1
115,power,u-OESA,0,1,1,1,1.0,1,1,1.0,0.2297297297297297,Assignment,0,0,1,0
116,power,u-OESA,0,1,1,1,1.0,1,1,1.0,0.2297297297297297,Assignment,0,0,1,0
117,power,u-OESA,0,0,1,1,1.0,3,6,4.5,0.25675675675675674,For,0,0,1,0
118,power,u-OESA,0,0,1,1,1.0,3,6,4.5,0.25675675675675674,For,0,0,1,0
119,power,u-OESA,0,1,3,3,3.0,4,4,4.0,0.8783783783783784,Assignment,0,0,0,1
120,power,u-OESA,0,1,3,3,3.0,4,4,4.0,0.8783783783783784,Assignment,0,0,0,1
121,power,u-Oido,0,0,4,4,4.0,3,3,3.0,0.0,For,0,0,0,1
122,power,u-OODL,1,0,0,0,0.0,2,7,4.333333333333333,1.0,If,0,0,0,1
123,power,u-OODL,1,0,0,0,0.0,2,7,4.333333333333333,1.0,If,0,0,0,1
124,power,u-OODL,1,0,2,2,2.0,2,5,3.5,0.6756756756756757,For,0,0,0,1
125,power,u-OODL,1,0,2,2,2.0,2,5,3.5,0.6756756756756757,For,0,0,0,1
126,power,u-OODL,0,1,3,3,3.0,4,4,4.0,0.8783783783783784,Assignment,0,0,0,1
127,power,u-OODL,0,1,3,3,3.0,4,4,4.0,0.8783783783783784,Assignment,0,0,0,1
128,power,u-ORAN,1,0,0,0,0.0,2,7,4.333333333333333,1.0,If,0,0,1,0
129,power,u-ORAN,1,0,0,0,0.0,2,7,4.333333333333333,1.0,If,0,0,1,0
130,power,u-ORAN,1,0,0,0,0.0,2,7,4.333333333333333,1.0,If,0,0,1,0
131,power,u-ORAN,1,0,0,0,0.0,2,7,4.333333333333333,1.0,If,0,0,1,0
132,power,u-ORAN,1,0,0,0,0.0,2,7,4.333333333333333,1.0,If,0,0,1,0
133,power,u-ORAN,1,0,2,2,2.0,2,5,3.5,0.6756756756756757,For,0,0,0,1
134,power,u-ORAN,1,0,2,2,2.0,2,5,3.5,0.6756756756756757,For,0,0,0,1
135,power,u-ORAN,1,0,2,2,2.0,2,5,3.5,0.6756756756756757,For,0,0,0,1
