,_IM_PROGRAM,_IM_OPERATOR,_IM_SOURCE_PRIMITIVE_ARC,_IM_TARGET_PRIMITIVE_ARC,_IM_DISTANCE_BEGIN_MIN,_IM_DISTANCE_BEGIN_MAX,_IM_DISTANCE_BEGIN_AVG,_IM_DISTANCE_END_MIN,_IM_DISTANCE_END_MAX,_IM_DISTANCE_END_AVG,_IM_COMPLEXITY,_IM_TYPE_STATEMENT,_IM_MINIMAL,_IM_EQUIVALENT,PREDICTED,RESULT
0,quicksort,u-CCDL,0,0,3,11,8.0,1,1,1.0,1.0,Function Call,0,0,1,0
1,quicksort,u-Ccsr,1,1,0,0,0.0,1,20,13.166666666666664,0.2178571428571429,If,0,0,0,1
2,quicksort,u-Ccsr,1,1,0,0,0.0,1,20,13.166666666666664,0.2178571428571429,If,0,0,0,1
3,quicksort,u-Ccsr,0,1,1,1,1.0,3,19,13.272727272727273,0.3928571428571429,Assignment,0,0,0,1
4,quicksort,u-Ccsr,0,1,1,1,1.0,3,19,13.272727272727273,0.3928571428571429,Assignment,1,0,0,1
5,quicksort,u-Ccsr,0,1,1,1,1.0,3,19,13.272727272727273,0.3928571428571429,Assignment,0,0,0,1
6,quicksort,u-Ccsr,0,0,2,10,7.0,2,18,12.272727272727273,0.18928571428571428,While,0,0,1,0
7,quicksort,u-Ccsr,0,0,2,10,7.0,2,18,12.272727272727273,0.18928571428571428,While,0,0,1,0
8,quicksort,u-Ccsr,1,0,4,12,8.25,7,16,11.3,0.5785714285714286,While,0,0,0,1
9,quicksort,u-Ccsr,1,0,4,12,8.25,7,16,11.3,0.5785714285714286,While,0,0,0,1
10,quicksort,u-Ccsr,1,0,4,12,8.25,7,16,11.3,0.5785714285714286,While,0,0,0,1
11,quicksort,u-Ccsr,1,0,4,12,8.25,7,16,11.3,0.5785714285714286,While,0,0,0,1
12,quicksort,u-Ccsr,1,0,4,12,8.25,7,16,11.3,0.5785714285714286,While,0,0,0,1
13,quicksort,u-Ccsr,1,0,4,12,8.25,7,16,11.3,0.5785714285714286,While,0,0,0,1
14,quicksort,u-Ccsr,1,0,6,14,9.8,5,14,9.75,0.3107142857142857,While,0,0,1,0
15,quicksort,u-Ccsr,1,0,6,14,9.8,5,14,9.75,0.3107142857142857,While,0,0,1,0
16,quicksort,u-Ccsr,1,0,6,14,9.8,5,14,9.75,0.3107142857142857,While,0,0,1,0
17,quicksort,u-Ccsr,1,0,6,14,9.8,5,14,9.75,0.3107142857142857,While,0,0,1,0
18,quicksort,u-Ccsr,1,0,7,15,10.8,4,13,9.5,0.2071428571428572,If,0,0,0,1
19,quicksort,u-Ccsr,1,0,7,15,10.8,4,13,9.5,0.2071428571428572,If,0,0,0,1
20,quicksort,u-Ccsr,0,1,8,16,11.8,4,12,9.0,0.6142857142857143,Assignment,0,0,0,1
21,quicksort,u-Ccsr,0,1,8,16,11.8,4,12,9.0,0.6142857142857143,Assignment,0,0,0,1
22,quicksort,u-Ccsr,0,1,8,16,11.8,4,12,9.0,0.6142857142857143,Assignment,0,0,0,1
23,quicksort,u-Ccsr,0,1,8,16,11.8,4,12,9.0,0.6142857142857143,Assignment,0,0,0,1
24,quicksort,u-Ccsr,0,1,8,16,11.8,4,12,9.0,0.6142857142857143,Assignment,0,0,0,1
25,quicksort,u-Ccsr,0,1,8,16,11.8,4,12,9.0,0.6142857142857143,Assignment,0,0,0,1
26,quicksort,u-Ccsr,0,1,8,16,11.8,4,12,9.0,0.6142857142857143,Assignment,0,0,0,1
27,quicksort,u-Ccsr,0,0,3,11,8.0,1,1,1.0,1.0,Assignment,0,0,0,1
28,quicksort,u-Ccsr,0,0,3,11,8.0,1,1,1.0,1.0,Assignment,0,0,0,1
29,quicksort,u-Ccsr,0,0,3,11,8.0,1,1,1.0,1.0,Assignment,0,0,0,1
30,quicksort,u-Ccsr,0,0,3,11,8.0,1,1,1.0,1.0,Assignment,0,0,0,1
31,quicksort,u-Ccsr,0,0,3,11,8.0,1,1,1.0,1.0,Assignment,0,0,0,1
32,quicksort,u-Ccsr,0,0,3,11,8.0,1,1,1.0,1.0,Assignment,0,0,0,1
33,quicksort,u-Ccsr,0,0,3,11,8.0,1,1,1.0,1.0,Assignment,0,0,0,1
34,quicksort,u-Ccsr,0,0,3,11,8.0,1,1,1.0,1.0,Function Call,0,0,1,0
35,quicksort,u-Ccsr,0,0,3,11,8.0,1,1,1.0,1.0,Function Call,0,0,1,0
36,quicksort,u-Ccsr,0,0,3,11,8.0,1,1,1.0,1.0,Function Call,0,0,1,0
37,quicksort,u-Ccsr,0,0,3,11,8.0,1,1,1.0,1.0,Function Call,0,0,1,0
38,quicksort,u-CRCR,1,1,0,0,0.0,1,20,13.166666666666664,0.2178571428571429,If,0,0,0,1
39,quicksort,u-CRCR,1,1,0,0,0.0,1,20,13.166666666666664,0.2178571428571429,If,0,0,0,1
40,quicksort,u-CRCR,1,1,0,0,0.0,1,20,13.166666666666664,0.2178571428571429,If,0,0,0,1
41,quicksort,u-CRCR,1,1,0,0,0.0,1,20,13.166666666666664,0.2178571428571429,If,0,0,0,1
42,quicksort,u-CRCR,1,1,0,0,0.0,1,20,13.166666666666664,0.2178571428571429,If,0,0,0,1
43,quicksort,u-CRCR,1,1,0,0,0.0,1,20,13.166666666666664,0.2178571428571429,If,0,0,0,1
44,quicksort,u-CRCR,1,1,0,0,0.0,1,20,13.166666666666664,0.2178571428571429,If,0,0,0,1
45,quicksort,u-CRCR,1,1,0,0,0.0,1,20,13.166666666666664,0.2178571428571429,If,0,0,0,1
