,_IM_PROGRAM,_IM_OPERATOR,_IM_SOURCE_PRIMITIVE_ARC,_IM_TARGET_PRIMITIVE_ARC,_IM_DISTANCE_BEGIN_MIN,_IM_DISTANCE_BEGIN_MAX,_IM_DISTANCE_BEGIN_AVG,_IM_DISTANCE_END_MIN,_IM_DISTANCE_END_MAX,_IM_DISTANCE_END_AVG,_IM_COMPLEXITY,_IM_TYPE_STATEMENT,_IM_MINIMAL,_IM_EQUIVALENT,PREDICTED,RESULT
0,trashAndTakeOut,u-Cccr,0,0,0,0,0.0,3,4,3.5,1.0,Assignment,0,0,0,1
1,trashAndTakeOut,u-Cccr,0,0,0,0,0.0,3,4,3.5,1.0,Assignment,0,0,0,1
2,trashAndTakeOut,u-Cccr,0,0,0,0,0.0,3,4,3.5,1.0,If,0,0,0,1
3,trashAndTakeOut,u-Cccr,0,0,0,0,0.0,3,4,3.5,1.0,If,0,0,0,1
4,trashAndTakeOut,u-Cccr,0,0,0,0,0.0,3,4,3.5,1.0,If,1,0,0,1
5,trashAndTakeOut,u-Cccr,0,0,1,1,1.0,3,3,3.0,0.9019607843137256,Assignment,0,0,0,1
6,trashAndTakeOut,u-Cccr,0,0,1,1,1.0,3,3,3.0,0.9019607843137256,Assignment,0,0,0,1
7,trashAndTakeOut,u-Cccr,0,0,1,1,1.0,3,3,3.0,0.9019607843137256,Assignment,0,0,0,1
8,trashAndTakeOut,u-Cccr,1,0,1,2,1.5,2,2,2.0,0.6862745098039216,If,0,0,0,1
9,trashAndTakeOut,u-Cccr,1,0,1,2,1.5,2,2,2.0,0.6862745098039216,If,1,0,0,1
10,trashAndTakeOut,u-Cccr,1,0,1,2,1.5,2,2,2.0,0.6862745098039216,If,0,0,0,1
11,trashAndTakeOut,u-Cccr,0,1,2,3,2.5,1,1,1.0,0.1862745098039216,Assignment,1,0,0,1
12,trashAndTakeOut,u-Cccr,0,1,2,3,2.5,1,1,1.0,0.1862745098039216,Assignment,1,0,0,1
13,trashAndTakeOut,u-Cccr,0,1,2,3,2.5,1,1,1.0,0.1862745098039216,Assignment,1,0,0,1
14,trashAndTakeOut,u-Cccr,0,1,2,3,2.5,1,1,1.0,0.0,Assignment,0,0,1,0
15,trashAndTakeOut,u-Cccr,0,1,2,3,2.5,1,1,1.0,0.0,Assignment,0,0,1,0
16,trashAndTakeOut,u-Cccr,0,1,2,3,2.5,1,1,1.0,0.0,Assignment,0,0,1,0
17,trashAndTakeOut,u-CCDL,0,0,0,0,0.0,3,4,3.5,1.0,If,1,0,0,1
18,trashAndTakeOut,u-CCDL,1,0,1,2,1.5,2,2,2.0,0.6862745098039216,If,0,0,0,1
19,trashAndTakeOut,u-CCDL,0,1,2,3,2.5,1,1,1.0,0.1862745098039216,Assignment,1,0,0,1
20,trashAndTakeOut,u-CCDL,0,1,2,3,2.5,1,1,1.0,0.0,Assignment,0,0,1,0
21,trashAndTakeOut,u-Ccsr,0,0,0,0,0.0,3,4,3.5,1.0,If,0,0,0,1
22,trashAndTakeOut,u-Ccsr,0,0,0,0,0.0,3,4,3.5,1.0,If,0,0,0,1
23,trashAndTakeOut,u-Ccsr,0,0,0,0,0.0,3,4,3.5,1.0,If,0,0,0,1
24,trashAndTakeOut,u-Ccsr,0,0,0,0,0.0,3,4,3.5,1.0,If,0,0,0,1
25,trashAndTakeOut,u-Ccsr,1,0,1,2,1.5,2,2,2.0,0.6862745098039216,If,1,0,0,1
26,trashAndTakeOut,u-Ccsr,1,0,1,2,1.5,2,2,2.0,0.6862745098039216,If,1,0,0,1
27,trashAndTakeOut,u-Ccsr,1,0,1,2,1.5,2,2,2.0,0.6862745098039216,If,1,0,0,1
