,_IM_PROGRAM,_IM_OPERATOR,_IM_SOURCE_PRIMITIVE_ARC,_IM_TARGET_PRIMITIVE_ARC,_IM_DISTANCE_BEGIN_MIN,_IM_DISTANCE_BEGIN_MAX,_IM_DISTANCE_BEGIN_AVG,_IM_DISTANCE_END_MIN,_IM_DISTANCE_END_MAX,_IM_DISTANCE_END_AVG,_IM_COMPLEXITY,_IM_TYPE_STATEMENT,_IM_MINIMAL,_IM_EQUIVALENT,PREDICTED,RESULT
0,twoPred,u-Cccr,0,0,1,1,1.0,3,3,3.0,0.10084033613445377,Assignment,0,1,0,0
1,twoPred,u-Cccr,0,0,1,1,1.0,3,3,3.0,0.10084033613445377,Assignment,0,1,0,0
2,twoPred,u-Cccr,0,0,1,1,1.0,3,3,3.0,0.10084033613445377,Assignment,0,1,0,0
3,twoPred,u-Cccr,0,0,1,1,1.0,3,3,3.0,0.1092436974789916,Assignment,0,0,0,1
4,twoPred,u-Cccr,0,0,1,1,1.0,3,3,3.0,0.1092436974789916,Assignment,0,0,0,1
5,twoPred,u-Cccr,0,0,1,1,1.0,3,3,3.0,0.1092436974789916,Assignment,0,0,0,1
6,twoPred,u-Cccr,0,0,1,1,1.0,3,3,3.0,0.1092436974789916,Assignment,0,0,0,1
7,twoPred,u-Cccr,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
8,twoPred,u-Cccr,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
9,twoPred,u-Cccr,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
10,twoPred,u-Cccr,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
11,twoPred,u-Cccr,0,1,3,3,3.0,1,1,1.0,0.0,Return,0,0,0,1
12,twoPred,u-Cccr,0,1,3,3,3.0,1,1,1.0,0.0,Return,0,0,0,1
13,twoPred,u-Cccr,0,1,3,3,3.0,1,1,1.0,0.0,Return,0,0,0,1
14,twoPred,u-Cccr,0,1,3,3,3.0,1,1,1.0,0.0,Return,0,0,0,1
15,twoPred,u-Cccr,0,1,3,3,3.0,1,1,1.0,0.0,Return,0,0,0,1
16,twoPred,u-Cccr,0,1,3,3,3.0,1,1,1.0,0.0,Return,0,0,0,1
17,twoPred,u-Cccr,0,1,3,3,3.0,1,1,1.0,0.0,Return,0,0,0,1
18,twoPred,u-Cccr,0,1,3,3,3.0,1,1,1.0,0.0,Return,0,0,0,1
19,twoPred,u-CCDL,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
20,twoPred,u-Ccsr,0,0,0,0,0.0,4,4,4.0,0.4957983193277311,If,0,0,0,1
21,twoPred,u-Ccsr,0,0,0,0,0.0,4,4,4.0,0.4957983193277311,If,0,0,0,1
22,twoPred,u-Ccsr,0,0,0,0,0.0,4,4,4.0,0.4957983193277311,If,0,0,0,1
23,twoPred,u-Ccsr,0,0,0,0,0.0,4,4,4.0,0.4957983193277311,If,0,0,0,1
24,twoPred,u-Ccsr,0,0,0,0,0.0,4,4,4.0,0.4957983193277311,If,0,0,0,1
25,twoPred,u-Ccsr,0,0,0,0,0.0,4,4,4.0,0.4957983193277311,If,1,0,0,1
26,twoPred,u-Ccsr,0,0,0,0,0.0,4,4,4.0,0.4957983193277311,If,0,0,0,1
27,twoPred,u-Ccsr,0,0,0,0,0.0,4,4,4.0,0.4957983193277311,If,0,0,0,1
28,twoPred,u-Ccsr,0,0,0,0,0.0,4,4,4.0,0.4957983193277311,If,0,0,0,1
29,twoPred,u-Ccsr,0,0,0,0,0.0,4,4,4.0,0.4957983193277311,If,0,0,0,1
30,twoPred,u-Ccsr,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
31,twoPred,u-Ccsr,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
32,twoPred,u-Ccsr,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
33,twoPred,u-Ccsr,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
34,twoPred,u-Ccsr,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
35,twoPred,u-Ccsr,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
36,twoPred,u-Ccsr,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
37,twoPred,u-Ccsr,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
38,twoPred,u-Ccsr,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
39,twoPred,u-Ccsr,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
40,twoPred,u-Ccsr,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
41,twoPred,u-Ccsr,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
42,twoPred,u-Ccsr,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
43,twoPred,u-Ccsr,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
44,twoPred,u-Ccsr,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
45,twoPred,u-CRCR,0,0,0,0,0.0,4,4,4.0,0.4957983193277311,If,0,0,0,1
46,twoPred,u-CRCR,0,0,0,0,0.0,4,4,4.0,0.4957983193277311,If,0,0,0,1
47,twoPred,u-CRCR,0,0,0,0,0.0,4,4,4.0,0.4957983193277311,If,0,0,0,1
48,twoPred,u-CRCR,0,0,0,0,0.0,4,4,4.0,0.4957983193277311,If,0,0,0,1
49,twoPred,u-CRCR,0,0,0,0,0.0,4,4,4.0,0.4957983193277311,If,0,0,0,1
50,twoPred,u-CRCR,0,0,0,0,0.0,4,4,4.0,0.4957983193277311,If,0,0,0,1
51,twoPred,u-CRCR,0,0,0,0,0.0,4,4,4.0,0.4957983193277311,If,1,0,0,1
52,twoPred,u-CRCR,0,0,0,0,0.0,4,4,4.0,0.4957983193277311,If,0,0,0,1
53,twoPred,u-CRCR,0,0,0,0,0.0,4,4,4.0,0.4957983193277311,If,0,0,0,1
54,twoPred,u-CRCR,0,0,0,0,0.0,4,4,4.0,0.4957983193277311,If,0,0,0,1
55,twoPred,u-CRCR,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
56,twoPred,u-CRCR,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
57,twoPred,u-CRCR,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
58,twoPred,u-CRCR,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
59,twoPred,u-CRCR,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
60,twoPred,u-CRCR,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
61,twoPred,u-CRCR,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
62,twoPred,u-CRCR,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
63,twoPred,u-CRCR,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
64,twoPred,u-CRCR,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
65,twoPred,u-CRCR,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
66,twoPred,u-CRCR,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
67,twoPred,u-CRCR,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
68,twoPred,u-CRCR,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
69,twoPred,u-CRCR,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
70,twoPred,u-OAAN,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
71,twoPred,u-OAAN,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
72,twoPred,u-OAAN,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
73,twoPred,u-OAAN,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
74,twoPred,u-OABN,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
75,twoPred,u-OABN,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
76,twoPred,u-OABN,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
77,twoPred,u-OALN,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
78,twoPred,u-OALN,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
79,twoPred,u-OARN,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
80,twoPred,u-OARN,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
81,twoPred,u-OARN,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
82,twoPred,u-OARN,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
83,twoPred,u-OARN,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
84,twoPred,u-OARN,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
85,twoPred,u-OASN,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
86,twoPred,u-OASN,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
87,twoPred,u-OCNG,0,0,0,0,0.0,4,4,4.0,0.4957983193277311,If,0,0,0,1
88,twoPred,u-OCNG,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
89,twoPred,u-OEAA,0,0,1,1,1.0,3,3,3.0,0.10084033613445377,Assignment,0,0,0,1
90,twoPred,u-OEAA,0,0,1,1,1.0,3,3,3.0,0.10084033613445377,Assignment,0,0,0,1
91,twoPred,u-OEAA,0,0,1,1,1.0,3,3,3.0,0.10084033613445377,Assignment,0,0,0,1
92,twoPred,u-OEAA,0,0,1,1,1.0,3,3,3.0,0.10084033613445377,Assignment,0,1,0,0
93,twoPred,u-OEAA,0,0,1,1,1.0,3,3,3.0,0.10084033613445377,Assignment,0,1,0,0
94,twoPred,u-OEAA,0,0,1,1,1.0,3,3,3.0,0.1092436974789916,Assignment,0,1,0,0
95,twoPred,u-OEAA,0,0,1,1,1.0,3,3,3.0,0.1092436974789916,Assignment,0,0,0,1
96,twoPred,u-OEAA,0,0,1,1,1.0,3,3,3.0,0.1092436974789916,Assignment,0,0,0,1
97,twoPred,u-OEAA,0,0,1,1,1.0,3,3,3.0,0.1092436974789916,Assignment,0,1,0,0
98,twoPred,u-OEAA,0,0,1,1,1.0,3,3,3.0,0.1092436974789916,Assignment,0,1,0,0
99,twoPred,u-OEBA,0,0,1,1,1.0,3,3,3.0,0.10084033613445377,Assignment,0,0,0,1
100,twoPred,u-OEBA,0,0,1,1,1.0,3,3,3.0,0.10084033613445377,Assignment,0,1,0,0
101,twoPred,u-OEBA,0,0,1,1,1.0,3,3,3.0,0.10084033613445377,Assignment,0,1,0,0
102,twoPred,u-OEBA,0,0,1,1,1.0,3,3,3.0,0.1092436974789916,Assignment,0,1,0,0
103,twoPred,u-OEBA,0,0,1,1,1.0,3,3,3.0,0.1092436974789916,Assignment,0,1,0,0
104,twoPred,u-OEBA,0,0,1,1,1.0,3,3,3.0,0.1092436974789916,Assignment,0,1,0,0
105,twoPred,u-OESA,0,0,1,1,1.0,3,3,3.0,0.10084033613445377,Assignment,0,0,0,1
106,twoPred,u-OESA,0,0,1,1,1.0,3,3,3.0,0.10084033613445377,Assignment,0,0,0,1
107,twoPred,u-OESA,0,0,1,1,1.0,3,3,3.0,0.1092436974789916,Assignment,0,1,0,0
108,twoPred,u-OESA,0,0,1,1,1.0,3,3,3.0,0.1092436974789916,Assignment,0,1,0,0
109,twoPred,u-OLAN,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
110,twoPred,u-OLAN,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
111,twoPred,u-OLAN,1,0,2,2,2.0,2,2,2.0,1.0,If,0,1,0,0
112,twoPred,u-OLAN,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
113,twoPred,u-OLAN,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
114,twoPred,u-OLBN,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
115,twoPred,u-OLBN,1,0,2,2,2.0,2,2,2.0,1.0,If,0,1,0,0
116,twoPred,u-OLBN,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
117,twoPred,u-OLLN,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
118,twoPred,u-OLNG,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
119,twoPred,u-OLNG,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
120,twoPred,u-OLNG,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
121,twoPred,u-OLRN,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
122,twoPred,u-OLRN,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
123,twoPred,u-OLRN,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
124,twoPred,u-OLRN,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
125,twoPred,u-OLRN,1,0,2,2,2.0,2,2,2.0,1.0,If,1,0,0,1
126,twoPred,u-OLRN,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,0,1
127,twoPred,u-OLSN,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,1,0
128,twoPred,u-OLSN,1,0,2,2,2.0,2,2,2.0,1.0,If,0,0,1,0
129,twoPred,u-OODL,0,0,0,0,0.0,4,4,4.0,0.4957983193277311,If,0,0,1,0
130,twoPred,u-OODL,0,0,0,0,0.0,4,4,4.0,0.4957983193277311,If,0,0,1,0
