Min;50.0;15.0;20.0;26.666666666666668
Max;70.0;65.0;90.0;80.0
Mean;53.0;31.0;48.0;40.33333333333333
Median;50.0;25.0;45.0;36.666666666666664

SampleSplit;Accuracy;Precision;Recall;F1
5;70.0;65.0;90.0;80.0
15;60.0;40.0;70.0;43.33333333333333
25;50.0;40.0;50.0;33.33333333333333
35;50.0;25.0;50.0;33.33333333333333
45;50.0;15.0;40.0;46.666666666666664
55;50.0;20.0;40.0;40.0
65;50.0;25.0;50.0;33.33333333333333
75;50.0;25.0;30.0;40.0
85;50.0;35.0;40.0;26.666666666666668
95;50.0;20.0;20.0;26.666666666666668
