,_IM_PROGRAM,_IM_OPERATOR,_IM_SOURCE_PRIMITIVE_ARC,_IM_TARGET_PRIMITIVE_ARC,_IM_DISTANCE_BEGIN_MIN,_IM_DISTANCE_BEGIN_MAX,_IM_DISTANCE_BEGIN_AVG,_IM_DISTANCE_END_MIN,_IM_DISTANCE_END_MAX,_IM_DISTANCE_END_AVG,_IM_COMPLEXITY,_IM_TYPE_STATEMENT,_IM_EQUIVALENT,_IM_MINIMAL,PREDICTED,RESULT
0,numZero,u-Ccsr,0,0,1,1,1.0,1,6,4.0,0.8333333333333334,For,0,0,0,1
1,numZero,u-Ccsr,0,0,1,1,1.0,1,6,4.0,0.8333333333333334,For,0,0,0,1
2,numZero,u-Ccsr,1,0,2,2,2.0,4,5,4.5,1.0,If,0,0,0,1
3,numZero,u-Ccsr,1,0,2,2,2.0,4,5,4.5,1.0,If,0,0,0,1
4,numZero,u-Ccsr,0,0,2,2,2.0,0,0,0.0,0.2222222222222222,Return,0,0,0,1
5,numZero,u-CRCR,0,0,1,1,1.0,1,6,4.0,0.8333333333333334,For,0,0,0,1
6,numZero,u-CRCR,0,0,1,1,1.0,1,6,4.0,0.8333333333333334,For,0,0,0,1
7,numZero,u-CRCR,0,0,1,1,1.0,1,6,4.0,0.8333333333333334,For,0,0,0,1
8,numZero,u-CRCR,0,0,1,1,1.0,1,6,4.0,0.8333333333333334,For,0,0,0,1
9,numZero,u-CRCR,0,0,1,1,1.0,1,6,4.0,0.8333333333333334,For,0,0,0,1
10,numZero,u-CRCR,0,0,1,1,1.0,1,6,4.0,0.8333333333333334,For,0,0,0,1
11,numZero,u-CRCR,0,0,1,1,1.0,1,6,4.0,0.8333333333333334,For,0,0,0,1
12,numZero,u-CRCR,0,0,1,1,1.0,1,6,4.0,0.8333333333333334,For,0,0,0,1
13,numZero,u-CRCR,0,0,1,1,1.0,1,6,4.0,0.8333333333333334,For,0,0,0,1
14,numZero,u-CRCR,0,0,1,1,1.0,1,6,4.0,0.8333333333333334,For,0,0,0,1
15,numZero,u-CRCR,1,0,2,2,2.0,4,5,4.5,1.0,If,0,0,0,1
16,numZero,u-CRCR,1,0,2,2,2.0,4,5,4.5,1.0,If,0,0,0,1
17,numZero,u-CRCR,1,0,2,2,2.0,4,5,4.5,1.0,If,0,0,0,1
18,numZero,u-CRCR,1,0,2,2,2.0,4,5,4.5,1.0,If,0,0,0,1
19,numZero,u-CRCR,1,0,2,2,2.0,4,5,4.5,1.0,If,0,0,0,1
20,numZero,u-CRCR,1,0,2,2,2.0,4,5,4.5,1.0,If,0,0,0,1
21,numZero,u-CRCR,1,0,2,2,2.0,4,5,4.5,1.0,If,0,0,0,1
22,numZero,u-CRCR,1,0,2,2,2.0,4,5,4.5,1.0,If,0,0,0,1
23,numZero,u-CRCR,1,0,2,2,2.0,4,5,4.5,1.0,If,0,0,0,1
24,numZero,u-CRCR,1,0,2,2,2.0,4,5,4.5,1.0,If,0,0,0,1
25,numZero,u-CRCR,0,0,2,2,2.0,0,0,0.0,0.2222222222222222,Return,0,0,0,1
26,numZero,u-CRCR,0,0,2,2,2.0,0,0,0.0,0.2222222222222222,Return,0,0,0,1
27,numZero,u-CRCR,0,0,2,2,2.0,0,0,0.0,0.2222222222222222,Return,0,0,0,1
28,numZero,u-CRCR,0,0,2,2,2.0,0,0,0.0,0.2222222222222222,Return,0,0,0,1
29,numZero,u-CRCR,0,0,2,2,2.0,0,0,0.0,0.2222222222222222,Return,0,0,0,1
30,numZero,u-OCNG,0,0,1,1,1.0,1,6,4.0,0.8333333333333334,For,0,0,0,1
31,numZero,u-OCNG,1,0,2,2,2.0,4,5,4.5,1.0,If,0,0,0,1
32,numZero,u-OEAA,0,0,0,0,0.0,2,7,5.0,0.2962962962962963,For,1,0,0,1
33,numZero,u-OEAA,0,0,0,0,0.0,2,7,5.0,0.2962962962962963,For,0,0,0,1
34,numZero,u-OEAA,0,0,0,0,0.0,2,7,5.0,0.2962962962962963,For,0,0,0,1
35,numZero,u-OEAA,0,0,0,0,0.0,2,7,5.0,0.2962962962962963,For,0,0,0,1
36,numZero,u-OEAA,0,0,0,0,0.0,2,7,5.0,0.2962962962962963,For,0,0,0,1
37,numZero,u-OEBA,0,0,0,0,0.0,2,7,5.0,0.2962962962962963,For,1,0,0,1
38,numZero,u-OEBA,0,0,0,0,0.0,2,7,5.0,0.2962962962962963,For,0,0,0,1
39,numZero,u-OEBA,0,0,0,0,0.0,2,7,5.0,0.2962962962962963,For,0,0,0,1
40,numZero,u-OESA,0,0,0,0,0.0,2,7,5.0,0.2962962962962963,For,0,0,0,1
41,numZero,u-OESA,0,0,0,0,0.0,2,7,5.0,0.2962962962962963,For,0,0,0,1
42,numZero,u-Oido,0,0,4,5,4.5,2,2,2.0,0.0,For,0,0,0,1
43,numZero,u-Oido,0,1,3,3,3.0,4,4,4.0,0.1111111111111111,Assignment,0,0,0,1
44,numZero,u-OODL,0,0,1,1,1.0,1,6,4.0,0.8333333333333334,For,0,0,0,1
45,numZero,u-OODL,0,0,1,1,1.0,1,6,4.0,0.8333333333333334,For,0,0,0,1
46,numZero,u-OODL,1,0,2,2,2.0,4,5,4.5,1.0,If,0,0,0,1
47,numZero,u-OODL,1,0,2,2,2.0,4,5,4.5,1.0,If,0,0,0,1
48,numZero,u-ORAN,0,0,1,1,1.0,1,6,4.0,0.8333333333333334,For,0,0,1,0
49,numZero,u-ORAN,0,0,1,1,1.0,1,6,4.0,0.8333333333333334,For,1,0,0,1
50,numZero,u-ORAN,0,0,1,1,1.0,1,6,4.0,0.8333333333333334,For,0,0,1,0
51,numZero,u-ORAN,0,0,1,1,1.0,1,6,4.0,0.8333333333333334,For,0,0,1,0
52,numZero,u-ORAN,0,0,1,1,1.0,1,6,4.0,0.8333333333333334,For,0,0,1,0
53,numZero,u-ORAN,1,0,2,2,2.0,4,5,4.5,1.0,If,0,0,0,1
54,numZero,u-ORAN,1,0,2,2,2.0,4,5,4.5,1.0,If,0,0,0,1
55,numZero,u-ORAN,1,0,2,2,2.0,4,5,4.5,1.0,If,0,0,0,1
56,numZero,u-ORAN,1,0,2,2,2.0,4,5,4.5,1.0,If,0,0,0,1
57,numZero,u-ORAN,1,0,2,2,2.0,4,5,4.5,1.0,If,0,0,0,1
58,numZero,u-ORBN,0,0,1,1,1.0,1,6,4.0,0.8333333333333334,For,0,0,1,0
59,numZero,u-ORBN,0,0,1,1,1.0,1,6,4.0,0.8333333333333334,For,0,0,1,0
60,numZero,u-ORBN,0,0,1,1,1.0,1,6,4.0,0.8333333333333334,For,1,0,0,1
61,numZero,u-ORBN,1,0,2,2,2.0,4,5,4.5,1.0,If,0,0,1,0
62,numZero,u-ORBN,1,0,2,2,2.0,4,5,4.5,1.0,If,0,0,1,0
63,numZero,u-ORBN,1,0,2,2,2.0,4,5,4.5,1.0,If,0,0,1,0
64,numZero,u-ORLN,0,0,1,1,1.0,1,6,4.0,0.8333333333333334,For,0,0,0,1
65,numZero,u-ORLN,0,0,1,1,1.0,1,6,4.0,0.8333333333333334,For,0,0,0,1
66,numZero,u-ORLN,1,0,2,2,2.0,4,5,4.5,1.0,If,0,0,0,1
67,numZero,u-ORLN,1,0,2,2,2.0,4,5,4.5,1.0,If,0,0,0,1
68,numZero,u-ORRN,0,0,1,1,1.0,1,6,4.0,0.8333333333333334,For,0,0,0,1
69,numZero,u-ORRN,0,0,1,1,1.0,1,6,4.0,0.8333333333333334,For,0,0,0,1
70,numZero,u-ORRN,0,0,1,1,1.0,1,6,4.0,0.8333333333333334,For,0,0,0,1
71,numZero,u-ORRN,0,0,1,1,1.0,1,6,4.0,0.8333333333333334,For,0,0,0,1
72,numZero,u-ORRN,0,0,1,1,1.0,1,6,4.0,0.8333333333333334,For,1,0,0,1
73,numZero,u-ORRN,1,0,2,2,2.0,4,5,4.5,1.0,If,0,0,0,1
74,numZero,u-ORRN,1,0,2,2,2.0,4,5,4.5,1.0,If,0,0,0,1
75,numZero,u-ORRN,1,0,2,2,2.0,4,5,4.5,1.0,If,0,1,0,0
76,numZero,u-ORRN,1,0,2,2,2.0,4,5,4.5,1.0,If,0,0,0,1
77,numZero,u-ORRN,1,0,2,2,2.0,4,5,4.5,1.0,If,0,0,0,1
78,numZero,u-ORSN,0,0,1,1,1.0,1,6,4.0,0.8333333333333334,For,0,0,0,1
79,numZero,u-ORSN,0,0,1,1,1.0,1,6,4.0,0.8333333333333334,For,0,0,0,1
80,numZero,u-ORSN,1,0,2,2,2.0,4,5,4.5,1.0,If,0,0,0,1
81,numZero,u-ORSN,1,0,2,2,2.0,4,5,4.5,1.0,If,0,0,0,1
82,numZero,u-SMTC,0,0,0,0,0.0,2,7,5.0,0.2962962962962963,Declaration,0,0,0,1
83,numZero,u-SMTT,0,0,0,0,0.0,2,7,5.0,0.2962962962962963,Declaration,0,0,1,0
84,numZero,u-SRSR,0,1,3,3,3.0,4,4,4.0,0.1111111111111111,Assignment,0,0,0,1
85,numZero,u-SRSR,0,1,3,3,3.0,4,4,4.0,0.1111111111111111,Assignment,0,0,0,1
86,numZero,u-SRSR,1,0,2,2,2.0,4,5,4.5,1.0,Block,0,0,0,1
87,numZero,u-SRSR,1,0,2,2,2.0,4,5,4.5,1.0,Block,0,0,0,1
88,numZero,u-SRSR,0,0,0,0,0.0,2,7,5.0,0.2962962962962963,Block,0,0,0,1
89,numZero,u-SSDL,0,1,3,3,3.0,4,4,4.0,0.1111111111111111,Assignment,0,0,1,0
90,numZero,u-SSDL,0,1,3,3,3.0,4,4,4.0,0.1111111111111111,Assignment,0,0,1,0
91,numZero,u-SSDL,1,0,2,2,2.0,4,5,4.5,1.0,Block,0,0,1,0
