,_IM_PROGRAM,_IM_OPERATOR,_IM_SOURCE_PRIMITIVE_ARC,_IM_TARGET_PRIMITIVE_ARC,_IM_DISTANCE_BEGIN_MIN,_IM_DISTANCE_BEGIN_MAX,_IM_DISTANCE_BEGIN_AVG,_IM_DISTANCE_END_MIN,_IM_DISTANCE_END_MAX,_IM_DISTANCE_END_AVG,_IM_COMPLEXITY,_IM_TYPE_STATEMENT,_IM_EQUIVALENT,_IM_MINIMAL,PREDICTED,RESULT
0,checkIt,u-CRCR,1,0,0,0,0.0,2,2,2.0,1.0,If,0,1,0,0
1,checkIt,u-CRCR,1,0,0,0,0.0,2,2,2.0,1.0,If,0,1,0,0
2,checkIt,u-CRCR,1,0,0,0,0.0,2,2,2.0,1.0,If,0,1,0,0
3,checkIt,u-CRCR,1,0,0,0,0.0,2,2,2.0,1.0,If,0,1,0,0
4,checkIt,u-CRCR,1,0,0,0,0.0,2,2,2.0,1.0,If,0,1,0,0
5,checkIt,u-CRCR,1,0,0,0,0.0,2,2,2.0,1.0,If,0,1,0,0
6,checkIt,u-CRCR,1,0,0,0,0.0,2,2,2.0,1.0,If,0,1,0,0
7,checkIt,u-CRCR,1,0,0,0,0.0,2,2,2.0,1.0,If,0,1,0,0
8,checkIt,u-CRCR,1,0,0,0,0.0,2,2,2.0,1.0,If,0,1,0,0
9,checkIt,u-CRCR,1,0,0,0,0.0,2,2,2.0,1.0,If,0,0,0,1
10,checkIt,u-CRCR,1,0,0,0,0.0,2,2,2.0,1.0,If,0,1,0,0
11,checkIt,u-CRCR,1,0,0,0,0.0,2,2,2.0,1.0,If,0,1,0,0
12,checkIt,u-CRCR,1,0,0,0,0.0,2,2,2.0,1.0,If,0,1,0,0
13,checkIt,u-CRCR,1,0,0,0,0.0,2,2,2.0,1.0,If,0,1,0,0
14,checkIt,u-OCNG,1,0,0,0,0.0,2,2,2.0,1.0,If,0,0,1,0
15,checkIt,u-OLAN,1,0,0,0,0.0,2,2,2.0,1.0,If,0,1,1,1
16,checkIt,u-OLAN,1,0,0,0,0.0,2,2,2.0,1.0,If,0,1,1,1
17,checkIt,u-OLAN,1,0,0,0,0.0,2,2,2.0,1.0,If,0,0,1,0
18,checkIt,u-OLAN,1,0,0,0,0.0,2,2,2.0,1.0,If,0,0,1,0
19,checkIt,u-OLAN,1,0,0,0,0.0,2,2,2.0,1.0,If,0,0,1,0
20,checkIt,u-OLAN,1,0,0,0,0.0,2,2,2.0,1.0,If,0,0,1,0
21,checkIt,u-OLAN,1,0,0,0,0.0,2,2,2.0,1.0,If,0,0,1,0
22,checkIt,u-OLAN,1,0,0,0,0.0,2,2,2.0,1.0,If,1,0,0,1
