,_IM_PROGRAM,_IM_OPERATOR,_IM_SOURCE_PRIMITIVE_ARC,_IM_TARGET_PRIMITIVE_ARC,_IM_DISTANCE_BEGIN_MIN,_IM_DISTANCE_BEGIN_MAX,_IM_DISTANCE_BEGIN_AVG,_IM_DISTANCE_END_MIN,_IM_DISTANCE_END_MAX,_IM_DISTANCE_END_AVG,_IM_COMPLEXITY,_IM_TYPE_STATEMENT,_IM_EQUIVALENT,_IM_MINIMAL,PREDICTED,RESULT
0,findLast,u-Cccr,1,0,1,1,1.0,1,8,4.5,0.4722222222222222,For,0,0,1,0
1,findLast,u-Cccr,0,0,4,4,4.0,1,1,1.0,0.027777777777777776,Return,0,0,0,1
2,findLast,u-CCDL,0,0,0,0,0.0,2,9,5.5,0.75,For,0,1,1,1
3,findLast,u-CCDL,1,0,1,1,1.0,1,8,4.5,0.4722222222222222,For,0,0,1,0
4,findLast,u-Ccsr,0,0,0,0,0.0,2,9,5.5,0.75,For,0,0,1,0
5,findLast,u-Ccsr,0,0,0,0,0.0,2,9,5.5,0.75,For,0,0,1,0
6,findLast,u-Ccsr,1,0,1,1,1.0,1,8,4.5,0.4722222222222222,For,0,1,1,1
7,findLast,u-Ccsr,1,0,1,1,1.0,1,8,4.5,0.4722222222222222,For,0,1,1,1
8,findLast,u-Ccsr,1,0,2,2,2.0,3,7,4.666666666666667,1.0,If,0,0,0,1
9,findLast,u-Ccsr,1,0,2,2,2.0,3,7,4.666666666666667,1.0,If,0,0,0,1
10,findLast,u-Ccsr,1,0,2,2,2.0,3,7,4.666666666666667,1.0,If,0,0,0,1
11,findLast,u-Ccsr,1,0,2,2,2.0,3,7,4.666666666666667,1.0,If,0,0,0,1
12,findLast,u-Ccsr,1,0,2,2,2.0,3,7,4.666666666666667,1.0,If,0,0,0,1
13,findLast,u-Ccsr,1,0,2,2,2.0,3,7,4.666666666666667,1.0,If,0,0,0,1
14,findLast,u-Ccsr,0,1,3,3,3.0,2,2,2.0,0.25,Return,0,0,0,1
15,findLast,u-Ccsr,0,1,3,3,3.0,2,2,2.0,0.25,Return,0,0,0,1
16,findLast,u-CRCR,0,0,0,0,0.0,2,9,5.5,0.75,For,0,0,1,0
17,findLast,u-CRCR,0,0,0,0,0.0,2,9,5.5,0.75,For,0,0,1,0
18,findLast,u-CRCR,0,0,0,0,0.0,2,9,5.5,0.75,For,0,0,1,0
19,findLast,u-CRCR,0,0,0,0,0.0,2,9,5.5,0.75,For,0,0,1,0
20,findLast,u-CRCR,0,0,0,0,0.0,2,9,5.5,0.75,For,0,0,1,0
21,findLast,u-CRCR,1,0,1,1,1.0,1,8,4.5,0.4722222222222222,For,0,1,1,1
22,findLast,u-CRCR,1,0,1,1,1.0,1,8,4.5,0.4722222222222222,For,0,1,1,1
23,findLast,u-CRCR,1,0,1,1,1.0,1,8,4.5,0.4722222222222222,For,0,0,1,0
24,findLast,u-CRCR,1,0,1,1,1.0,1,8,4.5,0.4722222222222222,For,0,1,1,1
25,findLast,u-CRCR,1,0,1,1,1.0,1,8,4.5,0.4722222222222222,For,0,0,1,0
26,findLast,u-CRCR,1,0,2,2,2.0,3,7,4.666666666666667,1.0,If,0,0,0,1
27,findLast,u-CRCR,1,0,2,2,2.0,3,7,4.666666666666667,1.0,If,0,0,0,1
28,findLast,u-CRCR,1,0,2,2,2.0,3,7,4.666666666666667,1.0,If,0,0,0,1
