Min;50.0;30.0;40.0;35.0
Max;82.5;76.66666666666666;100.0;78.0
Mean;62.083333333333336;48.7962962962963;64.44444444444444;53.925925925925924
Median;62.5;45.0;60.0;49.833333333333336

SampleSplit;Accuracy;Precision;Recall;F1
1;80.0;76.66666666666666;85.0;78.0
2;82.5;66.66666666666666;70.0;68.0
3;67.5;55.00000000000001;70.0;60.0
4;65.0;36.666666666666664;40.0;38.0
5;65.0;36.666666666666664;40.0;38.0
6;67.5;36.666666666666664;40.0;38.0
7;52.5;41.666666666666664;70.0;51.33333333333334
8;65.0;41.666666666666664;50.0;44.666666666666664
9;50.0;45.0;55.00000000000001;48.33333333333333
10;55.00000000000001;45.0;55.00000000000001;48.33333333333333
11;50.0;50.0;95.0;65.0
12;57.49999999999999;55.00000000000001;65.0;56.666666666666664
13;67.5;66.66666666666666;100.0;78.0
14;62.5;60.0;85.0;68.33333333333333
15;62.5;60.0;85.0;68.33333333333333
16;52.5;30.0;45.0;35.0
17;55.00000000000001;35.0;55.00000000000001;41.666666666666664
18;60.0;40.0;55.00000000000001;45.0
