neighbors;accuracy;precision;recall;f1
1;68,63253319713995;67,19579805528684;73,35546475995913;70,05308420665564
2;65,13023493360572;71,61994577489025;50,344739530132784;59,053473785562296
3;69,07175689479061;67,59010073208461;73,59295199182839;70,34713054770286
4;65,9167517875383;69,93051448846835;56,20786516853933;62,044650258309034
5;67,05311542390193;64,83436563436564;74,5097037793667;69,26474302730585
6;65,25153217568949;66,97928541398468;60,513278855975486;63,393553989876224
7;66,94075587334014;65,37798092744046;72,23953013278856;68,55816375002772
8;64,45863125638407;64,93364149864213;62,98263534218591;63,88263523990108
9;64,68845760980592;63,092390960177646;71,34065372829419;66,89273325412097
10;63,90194075587334;64,17892998227369;63,00306435137897;63,49729768894087
11;64,11772216547497;62,66026097388462;70,66138917262514;66,31610852562298
12;62,30592441266598;63,17352962418889;59,581205311542384;61,10983808911008
13;63,77808988764044;62,55798588582094;68,84831460674157;65,50783145829404
14;63,100102145045966;63,62687596992741;61,841164453524;62,62935454040189
15;65,01659856996935;63,46712961755123;71,32533197139938;67,0917788112765
16;64,33222676200204;64,2317671037791;65,21961184882534;64,57804468566731
17;64,90040858018385;63,336549586428546;71,317671092952;67,0206465735624
18;63,990040858018396;63,59885465925057;66,11593462717057;64,67521930257935
19;64,5582226762002;63,069261052380575;70,86312563840653;66,6535034122948
20;64,33861082737488;63,8885644665103;66,58835546475996;65,13418706886708
21;64,56077630234932;63,28038874346388;69,96424923391216;66,36358988081275
22;62,986465781409606;63,43593831486706;62,52808988764045;62,74978974421206
23;63,432073544433095;62,85911253694759;66,81307456588355;64,61081341646369
24;61,96884576098059;62,71501130045063;59,82379979570991;61,08581383522844
25;62,639172625127685;62,37981210213527;64,54800817160368;63,24028993976142
26;62,643003064351376;63,2600104416556;60,70990806945863;61,78316657240899
27;62,75536261491318;62,41833759497981;65,44433094994893;63,689281188835714
28;61,17977528089889;61,840295219531406;59,58375893769151;60,49116568288462
29;62,07992849846783;61,74381054059766;64,9923391215526;63,07704421010871
30;61,5155771195097;61,85114351741176;61,161899897854944;61,30008199796186
31;60,84014300306435;60,468493532038;64,32073544433095;62,10942261422028
32;60,61670071501533;61,633709141607376;57,78345250255364;59,330412433511846
33;60,961440245148104;60,8010485960243;63,20735444330949;61,78453614214473
34;60,95760980592442;61,323263515932695;60,94739530132789;60,89564487467658
35;61,75561797752809;61,245847542390905;65,70480081716038;63,13737980069219
36;60,508171603677226;61,366024366735935;59,371807967313586;59,97494207485149
37;61,4108784473953;61,6347087047681;62,763023493360556;61,8531517059693
38;59,941266598569975;60,757020757020754;58,92236976506639;59,4547570012018
39;59,8314606741573;59,87361236123612;62,76302349336057;60,93714468259517
40;59,72037793667007;60,15040200129979;59,37946884576098;59,392190355116924
