neighbors;accuracy;precision;recall;f1
1;53,716802860061286;54,02341010961701;52,37742594484167;53,075531427798964
2;53,83043922369766;58,42734881591157;30,268130745658837;39,102821442232376
3;55,534984678243106;55,83488089027995;54,20326864147089;54,64686029849525
4;55,873340143003055;59,437504994129085;37,95199182839632;45,526824693188885
5;57,44765066394281;58,355649091411344;56,664964249233904;57,14074074074074
6;57,90347293156282;61,63089795410646;43,81767109295199;50,77277748455282
7;56,66113381001021;58,69669606955237;49,45863125638407;53,04784474801571
8;57,000766087844745;60,36297526762644;42,69407558733402;49,55515356992593
9;57,664708886618996;59,20920451147301;50,57456588355465;54,38511046023906
10;58,00817160367722;60,520651912266544;46,287027579162405;52,33876602590143
11;57,33656792645557;57,920963307170915;54,41266598569969;55,93944502000294
12;57,45020429009193;59,92448593954618;47,196118488253326;52,36382971854622
13;57,114402451481105;58,26622937576285;51,716036772216555;54,482747213011926
14;58,47165474974464;60,96455029079142;50,36006128702758;54,545963118225934
15;58,581460674157306;59,716009864239;55,99591419816139;57,37398640291946
16;57,677477017364666;59,73865438235858;48,54698672114402;53,30256148365395
17;59,48161389172626;59,84736417513459;60,27068437180796;59,79700475800578
18;59,24795709908069;60,40895913113087;55,52093973442288;57,68793007444859
19;59,36797752808989;59,470074883650895;61,197650663942795;60,05713986006387
20;58,808733401430025;60,028218492849916;54,177732379979574;56,71805361988319
21;58,91726251276813;59,27154109488819;58,25076608784474;58,56080342558877
22;58,01327885597549;58,91189890178582;53,94279877425945;56,20128799854726
23;57,90347293156282;58,22393909139172;57,106741573033716;57,54662155235852
24;58,69126659856997;59,6272889594845;55,30643513789582;57,143836795890444
25;59,2556179775281;59,74483414843505;57,788559754851896;58,586874432097126
26;58,12819203268642;59,19485916324364;52,382533197139935;55,4754684288415
27;58,125638406537284;58,44984879449289;57,57916241062308;57,68169829548757
28;57,45275791624106;58,63297609253492;50,57201225740552;54,18558101400046
29;57,90347293156282;58,98740949942771;51,925434116445345;55,05457233996379
30;58,124361593462716;59,61862726436345;50,79417773237998;54,741938823282396
31;57,78600612870276;58,71112474720939;52,81920326864148;55,46465063459696
32;58,236721144024514;60,04470266575529;49,89274770173647;54,41600519348746
33;56,99693564862104;57,966592385197046;51,2461695607763;54,26014512737651
34;56,65091930541368;58,112068431007444;47,61491317671093;52,22248019737592
35;57,10546475995913;58,11646103987829;50,78140960163433;53,99033920270975
36;56,87946884576098;58,93083026441705;45,59499489274771;51,32771116638652
37;56,31511746680287;57,39863698931028;48,304392236976504;52,369120234631694
38;55,74693564862103;57,40059576679295;44,91573033707866;50,32540998765318
39;56,42620020429009;57,59413694241376;50,33197139938712;53,45528724837917
40;56,430030643513795;58,08980509246025;48,299284984678245;52,449989035354896
