neighbors;accuracy;precision;recall;f1
1;70,55111555111554;69,43331077966292;73,8961038961039;71,54485218658803
2;70,41625041625042;77,00604838709677;58,4015984015984;66,3688946087034
3;73,66133866133866;71,87344391036375;78,05194805194805;74,76842285767765
4;72,35597735597736;74,93663813745594;67,43922743922745;70,92007618716067
5;75,06660006660006;73,64437859938852;78,03529803529804;75,77118786580094
6;72,4925074925075;74,08289180166697;69,27072927072928;71,55773858123491
7;72,23609723609724;71,27388871291309;74,68864468864469;72,92778034916398
8;71,71162171162172;72,97441107967424;69,51381951381951;71,12411806849741
9;71,58508158508158;70,3125672129737;74,68864468864469;72,42660985771995
10;71,84648684648684;72,31414013059583;70,81918081918081;71,53592052041103
11;72,10456210456209;70,72071517636832;75,46453546453546;73,00137267039301
12;72,87046287046287;73,28479478256313;72,09790209790211;72,63275175321752
13;72,86879786879787;70,89285714285715;77,51248751248751;74,02890089865073
14;71,96470196470196;71,83000950069257;72,34765234765234;72,06645988420183
15;73,51315351315351;71,56511299367071;78,02530802530804;74,63877491775898
16;70,94405594405593;71,04213185594242;70,55944055944056;70,75880830578816
17;72,10289710289709;70,6217546820995;75,46120546120547;72,91815424152813
18;70,03330003330002;69,93174216618432;70,03330003330002;69,90586828199152
19;68,73792873792874;67,92388617341774;70,55278055278056;69,09401940165749
20;68,74125874125873;68,10197708455897;70,03996003996005;68,95810954958262
21;69,38561438561437;68,12508430345856;72,35764235764235;70,11542052718524
22;68,991008991009;68,11013344310659;71,05894105894104;69,46516607216043
23;68,22177822177822;66,37410470125505;73,64302364302364;69,72607408012858
24;67,57409257409257;66,61639553155713;70,53280053280054;68,37935744664362
25;67,82717282717283;66,29816422727421;72,85714285714285;69,32706766917292
26;67,05294705294705;66,40069156571904;69,49383949383949;67,79748746994088
27;67,70729270729271;65,6268369040312;74,41891441891443;69,73169689856972
28;67,83050283050282;66,89230195249347;70,79254079254079;68,75768811867292
29;69,12587412587413;67,17420872303065;74,92840492840493;70,7988204716066
30;67,82883782883783;66,64993148369106;71,56177156177156;68,95541238109233
31;70,02997002997003;67,68074695020279;76,73992673992673;71,89868873262523
32;69,78021978021978;68,80384653125307;72,61405261405261;70,64376264232187
33;70,93906093906092;68,55478189376065;77,26273726273728;72,61251201504511
34;69,52214452214453;68,61830044338258;71,59507159507159;70,03538454742294
35;69,3956043956044;67,76848415447215;73,4065934065934;70,42174334391206
36;68,47652347652348;69,13837858242152;67,18614718614718;68,07850391601262
37;68,48318348318348;68,66536736159424;68,22843822843822;68,42456413873317
38;68,996003996004;69,90585818794594;66,93306693306693;68,35832303267448
39;69,25407925407924;69,75822313541612;68,22510822510823;68,95462692478131
40;69,12753912753912;70,16224776209341;66,67665667665668;68,36082836082836
