neighbors;accuracy;precision;recall;f1
1;67,45254745254746;68,71372737488603;64,9017649017649;66,43473652839698
2;64,74358974358975;72,83951491385726;46,03063603063603;55,99584870668707
3;67,46087246087245;67,92813187318585;66,44688644688645;66,95620946311242
4;66,28871128871128;71,7213232488048;53,786213786213786;61,013432431577705
5;70,03496503496504;69,5097002008427;71,34199134199135;70,30766051746605
6;68,87445887445887;73,11330712302262;59,46386946386946;65,4191862887515
7;71,96303696303697;71,51091148740115;72,87046287046287;72,16725855480686
8;68,997668997669;72,20137614068693;61,76490176490177;66,56880247819352
9;70,02664002664002;70,77142857142859;68,47818847818849;69,54412640323882
10;69,38061938061936;72,99148070944263;62,27772227772228;67,0890145531897
11;69,64035964035963;71,03506778795717;66,93972693972694;68,78442382606504
12;68,47652347652348;71,90807517280636;61,005661005661004;65,8559512649597
13;68,60639360639361;69,3904985497525;66,67665667665668;67,92180698180246
14;67,83549783549783;69,90753184014054;62,540792540792545;65,96249060424306
15;67,83882783882784;68,73536534940044;65,3879453879454;66,93225243525043
16;67,44089244089244;69,74092068670498;61,75824175824175;65,45965088496249
17;67,83216783216784;68,81642006642006;65,37462537462537;66,9723986459456
18;67,1928071928072;69,7037077037077;60,98568098568099;64,91065127308809
19;66,80319680319681;68,13953609432485;62,7972027972028;65,2309532995682
20;66,41691641691641;68,60039311711617;60,21645021645021;63,95075201272385
21;68,997668997669;69,7496084162751;67,18947718947719;68,34453858971598
22;66,92973692973693;69,80068893695426;59,95004995004996;64,37905053356549
23;67,96869796869798;69,22930181126902;64,86180486180486;66,84508731781055
24;67,18781218781218;69,43799337916985;61,75158175158175;65,27532193017257
25;68,21178821178822;68,99246794605445;66,13053613053613;67,35686157863955
26;68,09024309024309;69,76117681547501;64,07592407592408;66,6352169691406
27;69,25241425241424;69,05824976711054;70,27972027972028;69,3620822316205
28;69,64035964035963;70,09751313381993;68,46486846486847;69,01420410451195
29;70,01665001665002;69,21237109296875;72,06793206793208;70,35820557162748
30;69,75690975690976;69,67491365990209;69,99333999333999;69,55339863744781
31;69,89343989343989;68,9435419712634;72,6007326007326;70,51041874211904
32;70,54445554445554;70,35821455494144;71,56510156510156;70,60565526428265
33;69,63869463869463;67,95305688105364;74,68198468198469;71,02996390258166
34;69,64535464535464;69,5397342595485;70,29304029304029;69,76293565069213
35;68,22177822177822;67,615339986474;70,54612054612053;68,77185995317252
36;68,35164835164835;68,35535143701176;69,000999000999;68,35818795594902
37;68,6063936063936;67,63152705735202;72,0945720945721;69,54549985845418
38;68,21012321012321;67,77905767959255;70,00999000999;68,50775431845292
39;69,1142191142191;67,63017984678547;73,62970362970363;70,25591342331532
40;68,2167832167832;67,74767076015064;70,27972027972028;68,74684468696974
