neighbors;accuracy;precision;recall;f1
1;69,25407925407924;72,15002272012303;63,290043290043286;67,15718036717112
2;68,48318348318348;75,80390323558376;54,51881451881453;63,35205005550463
3;70,8025308025308;72,4605939419262;67,44255744255744;69,77476037134187
4;69,37895437895438;76,21870816101871;57,36263736263736;64,97227303232765
5;71,18381618381619;73,49840729780898;66,65334665334666;69,6988522737273
6;70,91408591408592;75,29182391399172;62,76390276390277;67,98229354807697
7;73,24675324675324;73,90714143685281;72,34765234765236;72,89900968761086
8;72,72893772893771;76,00614455966569;66,90975690975691;70,68777675979325
9;74,53546453546454;74,36386866196665;75,17149517149517;74,55986706952056
10;74,53046953046953;76,6392017017017;71,04229104229105;73,46441455944228
11;75,56443556443557;75,11560076846804;76,46686646686646;75,72746491861041
12;73,8894438894439;75,60061610188193;71,03896103896103;73,08613823792192
13;75,3113553113553;74,35594207682563;77,50582750582751;75,8371767791258
14;75,44122544122544;76,41583176825011;74,3956043956044;75,06087776547704
15;75,3113553113553;74,30856474149158;77,76889776889776;75,91497699375479
16;75,57276057276057;75,36619150595054;76,21378621378622;75,7275160246917
17;74,02597402597402;72,95228866740494;76,72993672993672;74,7170816450244
18;74,92174492174493;74,7717858130033;75,43123543123544;75,02536741192203
19;73,88944388944388;72,94734272964153;76,2071262071262;74,44827082476681
20;74,79686979686979;75,86766805323062;72,86047286047285;74,26193218888403
21;73,24508824508824;73,0094401334;74,14918414918415;73,50852614232795
22;73,11854811854812;74,62596694796062;70,28305028305029;72,17492575902911
23;72,21778221778222;72,1666045940622;72,35764235764236;72,19897149634875
24;71,30869130869131;72,6580134219679;68,20512820512819;70,27739430284751
25;71,43856143856144;71,62638569915566;70,7958707958708;71,1515961438781
26;71,30869130869131;72,38547360625599;68,98101898101898;70,55162360933254
27;70,92074592074592;70,98869966068125;70,53946053946053;70,72953025273469
28;71,05061605061604;72,09288754756375;68,72460872460871;70,31101361243485
29;70,14818514818515;69,80317804261466;70,7992007992008;70,2413799298379
30;70,53613053613054;70,77671922699922;69,76023976023976;70,20824525023627
31;70,27639027639027;70,35664547359215;70,01998001998003;70,1194732627301
32;70,92407592407592;71,91724320455664;68,991008991009;70,33995696950288
33;70,53613053613053;70,44373322386753;71,06893106893108;70,68022807466481
34;71,18381618381618;72,34955054401937;68,73459873459873;70,44270233860772
35;70,28471528471528;71,13211140003003;68,47485847485848;69,68682090757949
36;68,85114885114885;71,60601088359097;63,53979353979354;66,82275283709315
37;68,07525807525808;70,11143596071132;64,31901431901433;66,57165434182947
38;68,2051282051282;70,9719804622399;63,290043290043286;66,25711553364333
39;68,20679320679321;70,41931216931218;64,83849483849484;66,85932080635686
40;67,43589743589745;69,99839433098111;63,29670329670329;65,82875998555868
