neighbors;accuracy;precision;recall;f1
1;71,07892107892108;71,12264652696523;71,58841158841159;71,19430734454208
2;67,72227772227772;74,527711760669;54,03263403263403;62,52039635825866
3;73,14185814185814;72,74976243311494;74,6853146853147;73,59505736397998
4;72,88045288045288;75,91001196558244;67,45254745254745;71,29819242118674
5;75,1931401931402;73,65290644405987;79,57042957042957;76,21926610625195
6;73,50982350982352;76,414313473137;68,47152847152846;72,12978632579359
7;74,54545454545453;75,20713474782471;73,89277389277389;74,30499008476323
8;72,99700299700301;75,56120029978241;68,46819846819847;71,63369505602762
9;74,02430902430902;73,99076724159575;74,91508491508492;74,10313496682393
10;72,0945720945721;75,66383529652013;65,36463536463536;69,6751319029779
11;72,48085248085249;73,20414327872396;71,04895104895105;71,88319686159058
12;72,74059274059275;75,35957364881463;67,43589743589745;70,98137330051925
13;73,12687312687312;74,55446072125852;70,27639027639027;72,16201848438374
14;72,22277722277722;75,59908607261387;65,89410589410589;70,10081981843885
15;73,25507825507826;75,24867737930646;69,50382950382951;72,00491339327122
16;72,0912420912421;76,02375845570037;64,5987345987346;69,62973472126751
17;70,53946053946053;72,51263465216954;66,14052614052615;68,84447761728023
18;72,47419247419249;77,14891092465463;63,56310356310356;69,50578117079964
19;71,57342657342657;73,79388619215702;66,91641691641692;70,03516056904895
20;70,67266067266067;73,94366221558938;63,56976356976356;68,0476158991642
21;71,96470196470196;74,23763860068331;67,44921744921746;70,34815284495289
22;71,44189144189144;74,99954030788946;64,07592407592408;68,90440862185957
23;71,44189144189144;73,31111884635916;67,44921744921744;70,0366494632512
24;70,66433566433565;73,66545720017564;64,07592407592408;68,333190659087
25;70,27805527805529;72,41138455341517;65,37462537462537;68,50339488331632
26;69,76689976689975;73,67825525527856;61,49850149850149;66,88567284956652
27;70,024975024975;72,53465573423284;64,08258408258408;67,93817535852479
28;70,8008658008658;75,3078369905956;61,74492174492174;67,69369609267308
29;70,54279054279053;72,55479538998244;65,88411588411589;68,81835764792477
30;69,8934398934399;72,28333949080915;64,32567432567431;67,8071711872181
31;69,25074925074925;70,26421817211181;66,66333666333666;68,19965647543799
32;70,03163503163503;70,87113003095975;67,7056277056277;69,11089385731395
33;68,994338994339;69,51275289408201;67,69896769896769;68,30779549089408
34;69,63869463869463;70,82950771582584;66,66333666333666;68,45114279237666
35;69,50882450882449;69,95504384160598;68,48151848151849;68,9378466361225
36;69,89843489843489;70,53950692147723;68,22177822177822;69,13220584099949
37;69,5121545121545;69,32585962424672;69,77688977688977;69,29627499778121
38;68,991008991009;69,54519336793527;67,18281718281719;68,10334106493563
39;69,25574425574425;68,91308869525093;69,52047952047951;69,02468083895043
40;68,22177822177822;68,37557407910013;66,93639693639693;67,32238822894516
