TargetColumn,Classifier,Parameter,Accuracy,Precision,Recall,F1,StdDevF1
MINIMAL,KNN,1,73.30442728999832,73.20422220299923,73.68881514080273,73.38881127903096,0.8437980769882605
MINIMAL,DT,15,80.71254478993819,81.15910095741717,80.18713176057524,80.57513988196135,0.6365931222153157
MINIMAL,RF,5,82.124401798812,82.06631747406148,82.40089700117838,82.21739888316733,0.6505883485028501
MINIMAL,SVM,0,67.21546665704734,65.81262097518588,72.00265733593054,68.69539863075843,0.4923669924647226
MINIMAL,LDA,0,68.51710434552582,68.56417999411757,68.5953514657432,68.526167547662,0.8889891151546325
MINIMAL,LR,0,68.23056297044464,68.44174260121278,67.81837529759758,68.0727754151874,0.6199296564364399
MINIMAL,GNB,0,54.790401125459915,63.907392025728576,41.157083423514415,39.2478304713536,19.208539654914112
EQUIVALENT,KNN,11,77.13308043117745,75.16025873184718,81.18092039800995,78.01530288261185,0.6130736169430759
EQUIVALENT,DT,35,78.044315920398,77.6291653312547,78.94614427860695,78.2515693674748,0.664248884930357
EQUIVALENT,RF,15,80.4182711442786,79.83678228921242,81.7907960199005,80.745503717465,0.49678429408435887
EQUIVALENT,SVM,0,72.87656301824214,74.92933512299489,68.8770895522388,71.71321436744353,0.4720061251906434
EQUIVALENT,LDA,0,73.76579187396351,73.09145347427739,75.34786069651742,74.16021377315673,0.5825449801749275
EQUIVALENT,LR,0,73.52120646766167,73.30647075225369,74.08344112769485,73.65250543832198,0.5208137701267388
EQUIVALENT,GNB,0,56.571961028192376,53.57342000737553,98.77353233830846,69.46481752678093,0.22854293809857684
