TargetColumn,Classifier,SampleSplit,Accuracy,Precision,Recall,F1
MINIMAL,KNN,2,70.66354038910131,78.2461283462128,57.343145035230755,66.09493762135627
MINIMAL,KNN,3,71.72490561046583,70.75212639539323,74.22429839116947,72.39551116705366
MINIMAL,KNN,4,70.7776615443811,74.78423748888781,62.81718490729386,68.20481089558245
MINIMAL,KNN,5,70.56898852896617,69.71185392558202,72.9056465382488,71.22760371566841
MINIMAL,KNN,6,69.96271914003319,72.82807458009246,63.79825890387898,67.94534865649936
MINIMAL,KNN,7,70.03124473943679,69.30117517016994,72.04072577736093,70.59517671216874
MINIMAL,KNN,8,70.32030517278695,72.4362158131505,65.71958492653248,68.84490214324723
MINIMAL,KNN,9,70.40943414376066,69.54861099738075,72.75321645864895,71.05977880096272
MINIMAL,KNN,10,70.47486352596012,71.90613847067767,67.33917706755166,69.47646740499462
MINIMAL,KNN,11,70.60432147752687,69.60226098855146,73.32738138181467,71.3605665967857
MINIMAL,KNN,12,70.88404516268666,71.84708930252562,68.82400259721521,70.2376794465062
MINIMAL,KNN,13,71.00230863574056,69.8037739544401,74.18401750715437,71.87549826235944
MINIMAL,KNN,14,70.72843469687132,71.37057638868846,69.37160618521992,70.29461287415454
MINIMAL,KNN,15,70.77150518240629,69.57011896896165,74.00321044657673,71.66382799284794
MINIMAL,KNN,16,70.33293052449318,70.98454372868781,68.9298511410913,69.87877392917899
MINIMAL,KNN,17,70.59075824255106,69.54959288722992,73.4232017891927,71.37697718532348
MINIMAL,KNN,18,70.46751677368157,71.11026222642901,69.11682658778827,70.03328154892185
MINIMAL,KNN,19,70.63405117475892,69.67180455221506,73.26890796719815,71.36947924805771
MINIMAL,KNN,20,70.75348098982755,71.36017277724221,69.49788375057115,70.350736084175
MINIMAL,KNN,21,70.67125988985885,69.81653448671838,73.00002404828896,71.31440063086026
MINIMAL,KNN,22,70.5979847533848,71.1708732910913,69.40571868311571,70.21034672626554
MINIMAL,KNN,23,70.61212514729577,69.8402318690349,72.73317220979726,71.19585665048969
MINIMAL,KNN,24,70.76567347233245,71.30537435033828,69.6547387153404,70.39964666362091
MINIMAL,KNN,25,70.7334848375538,70.01832442218357,72.68894740639205,71.26923035122293
MINIMAL,KNN,26,70.89605127095207,71.32981009648412,70.04804848135056,70.62055142484392
MINIMAL,KNN,27,70.89099511819735,70.17428104970614,72.85142967077893,71.42897030165595
MINIMAL,KNN,28,71.16384099271338,71.4994915278068,70.55563571651876,70.96050286116946
