SampleSplit;Accuracy;Precision;Recall;F1;TPR;FPR;TP;FN;FP;TN
1;76.64670658682635;76.18110236220473;77.4;76.78571428571429;77.4;24.10358565737052;387;113;121;381
2;72.45508982035929;67.83439490445859;85.2;75.53191489361701;85.2;40.23904382470119;426;74;202;300
3;76.84630738522954;78.15126050420169;74.4;76.22950819672131;74.4;20.717131474103585;372;128;104;398
4;75.44910179640718;73.43173431734317;79.60000000000001;76.39155470249521;79.60000000000001;28.68525896414343;398;102;144;358
5;77.7445109780439;80.70953436807096;72.8;76.5509989484753;72.8;17.330677290836654;364;136;87;415
6;76.54690618762476;75.43186180422265;78.60000000000001;76.98334965719883;78.60000000000001;25.49800796812749;393;107;128;374
7;76.74650698602794;78.95878524945769;72.8;75.75442247658688;72.8;19.322709163346612;364;136;97;405
8;76.44710578842316;76.08695652173914;77.0;76.54075546719682;77.0;24.10358565737052;385;115;121;381
9;76.44710578842316;79.20353982300885;71.6;75.21008403361344;71.6;18.725099601593627;358;142;94;408
10;76.54690618762476;77.31958762886599;75.0;76.14213197969544;75.0;21.91235059760956;375;125;110;392
11;76.94610778443113;79.82261640798227;72.0;75.70977917981074;72.0;18.127490039840637;360;140;91;411
12;76.54690618762476;77.4327122153209;74.8;76.09359104781281;74.8;21.713147410358566;374;126;109;393
13;76.44710578842316;80.69767441860465;69.39999999999999;74.62365591397848;69.39999999999999;16.533864541832667;347;153;83;419
14;75.0499001996008;75.51020408163265;74.0;74.74747474747474;74.0;23.904382470119522;370;130;120;382
15;74.8502994011976;78.97196261682244;67.60000000000001;72.84482758620689;67.60000000000001;17.928286852589643;338;162;90;412
16;74.750499001996;77.2626931567329;70.0;73.45225603357817;70.0;20.51792828685259;350;150;103;399
17;74.55089820359282;78.82352941176471;67.0;72.43243243243244;67.0;17.928286852589643;335;165;90;412
18;73.85229540918164;74.79166666666667;71.8;73.26530612244898;71.8;24.10358565737052;359;141;121;381
19;73.75249500998004;77.62237762237763;66.60000000000001;71.68998923573736;66.60000000000001;19.12350597609562;333;167;96;406
20;73.55289421157684;75.59912854030502;69.39999999999999;72.36704900938477;69.39999999999999;22.31075697211155;347;153;112;390
21;73.15369261477046;77.17647058823529;65.60000000000001;70.91891891891892;65.60000000000001;19.322709163346612;328;172;97;405
22;73.45309381237524;76.5909090909091;67.4;71.70212765957447;67.4;20.51792828685259;337;163;103;399
23;73.55289421157684;78.04295942720763;65.4;71.16430903155604;65.4;18.326693227091635;327;173;92;410
24;73.65269461077844;76.45739910313901;68.2;72.09302325581395;68.2;20.916334661354583;341;159;105;397
25;73.15369261477046;77.56563245823389;65.0;70.72905331882482;65.0;18.725099601593627;325;175;94;408
26;72.15568862275448;74.94356659142211;66.4;70.41357370095439;66.4;22.111553784860558;332;168;111;391
27;72.15568862275448;76.37231503579952;64.0;69.64091403699673;64.0;19.721115537848604;320;180;99;403
28;72.35528942115769;75.28344671201815;66.4;70.56323060573858;66.4;21.713147410358566;332;168;109;393
29;73.15369261477046;77.43467933491686;65.2;70.79261672095548;65.2;18.92430278884462;326;174;95;407
30;72.2554890219561;74.66666666666667;67.2;70.73684210526316;67.2;22.709163346613543;336;164;114;388
31;72.35528942115769;75.51487414187643;66.0;70.4375667022412;66.0;21.314741035856574;330;170;107;395
32;72.65469061876247;75.79908675799086;66.4;70.78891257995737;66.4;21.115537848605577;332;168;106;396
33;72.45508982035929;76.41509433962264;64.8;70.12987012987013;64.8;19.9203187250996;324;176;100;402
34;72.75449101796407;76.70588235294117;65.2;70.48648648648648;65.2;19.721115537848604;326;174;99;403
35;73.05389221556887;77.77777777777779;64.4;70.45951859956236;64.4;18.326693227091635;322;178;92;410
36;72.95409181636727;76.94117647058823;65.4;70.70270270270271;65.4;19.52191235059761;327;173;98;404
37;72.65469061876247;78.25;62.6;69.55555555555554;62.6;17.330677290836654;313;187;87;415
38;72.65469061876247;76.4018691588785;65.4;70.47413793103449;65.4;20.119521912350596;327;173;101;401
39;72.55489021956087;77.50611246943765;63.4;69.74697469746974;63.4;18.326693227091635;317;183;92;410
40;73.05389221556887;76.74418604651163;66.0;70.96774193548386;66.0;19.9203187250996;330;170;100;402

Min;72.15568862275448;67.83439490445859;62.6;69.55555555555554
Max;77.7445109780439;80.70953436807096;85.2;76.98334965719883
Mean;74.20908183632734;76.81083567864891;69.435;72.79627181562851
Median;73.55289421157684;76.84268125854993;67.30000000000001;71.89757545769422
