SampleSplit;Accuracy;Precision;Recall;F1;TPR;FPR;TP;FN;FP;TN
1;72.6835138387485;77.15736040609137;68.93424036281179;72.81437125748504;68.93424036281179;23.076923076923077;304;137;90;300
2;73.28519855595668;71.59763313609467;82.31292517006803;76.58227848101265;82.31292517006803;36.92307692307693;363;78;144;246
3;72.44283995186522;78.49462365591397;66.21315192743764;71.83271832718327;66.21315192743764;20.51282051282051;292;149;80;310
4;69.31407942238266;69.95708154506438;73.92290249433107;71.88533627342889;73.92290249433107;35.8974358974359;326;115;140;250
5;69.4344163658243;75.06702412868633;63.49206349206349;68.7960687960688;63.49206349206349;23.846153846153847;280;161;93;297
6;68.47172081829122;69.41431670281996;72.56235827664399;70.95343680709534;72.56235827664399;36.15384615384615;320;121;141;249
7;69.19374247894103;73.65728900255755;65.3061224489796;69.23076923076923;65.3061224489796;26.410256410256412;288;153;103;287
8;68.71239470517449;70.06651884700665;71.65532879818595;70.85201793721974;71.65532879818595;34.61538461538461;316;125;135;255
9;68.47172081829122;73.00771208226222;64.39909297052154;68.43373493975903;64.39909297052154;26.923076923076923;284;157;105;285
10;69.0734055354994;71.19815668202764;70.06802721088435;70.62857142857143;70.06802721088435;32.05128205128205;309;132;125;265
11;66.66666666666666;71.6931216931217;61.451247165532884;66.17826617826618;61.451247165532884;27.435897435897438;271;170;107;283
12;66.78700361010831;70.17114914425427;65.07936507936508;67.52941176470588;65.07936507936508;31.28205128205128;287;154;122;268
13;67.02767749699157;73.00275482093664;60.090702947845806;65.92039800995025;60.090702947845806;25.128205128205128;265;176;98;292
14;67.02767749699157;70.51597051597052;65.07936507936508;67.68867924528301;65.07936507936508;30.76923076923077;287;154;120;270
15;66.18531889290013;71.85792349726776;59.63718820861678;65.17967781908301;59.63718820861678;26.410256410256412;263;178;103;287
16;66.90734055354994;70.95959595959596;63.718820861678005;67.14456391875746;63.718820861678005;29.48717948717949;281;160;115;275
17;66.4259927797834;73.41040462427746;57.596371882086174;64.54891994917409;57.596371882086174;23.589743589743588;254;187;92;298
18;66.78700361010831;71.0997442455243;63.038548752834465;66.82692307692307;63.038548752834465;28.974358974358978;278;163;113;277
19;65.22262334536703;71.34831460674157;57.596371882086174;63.73902132998745;57.596371882086174;26.153846153846157;254;187;102;288
20;65.46329723225031;69.54314720812182;62.131519274376416;65.62874251497006;62.131519274376416;30.76923076923077;274;167;120;270
21;64.25992779783394;69.14893617021278;58.95691609977324;63.647490820073436;58.95691609977324;29.743589743589745;260;181;116;274
22;64.74127557160048;68.68686868686868;61.67800453514739;64.99402628434886;61.67800453514739;31.794871794871792;272;169;124;266
23;63.77858002406739;69.33701657458563;56.916099773242635;62.51556662515567;56.916099773242635;28.46153846153846;251;190;111;279
24;65.22262334536703;69.38775510204081;61.67800453514739;65.3061224489796;61.67800453514739;30.76923076923077;272;169;120;270
25;64.74127557160048;70.55555555555556;57.596371882086174;63.4207240948814;57.596371882086174;27.17948717948718;254;187;106;284
26;64.98194945848375;69.23076923076923;61.224489795918366;64.98194945848375;61.224489795918366;30.76923076923077;270;171;120;270
27;63.537906137184116;69.16666666666667;56.4625850340136;62.172284644194754;56.4625850340136;28.46153846153846;249;192;111;279
28;64.50060168471721;68.43434343434343;61.451247165532884;64.75507765830348;61.451247165532884;32.05128205128205;271;170;125;265
29;64.50060168471721;70.27777777777777;57.36961451247166;63.17103620474407;57.36961451247166;27.435897435897438;253;188;107;283
30;65.34296028880865;69.56521739130434;61.67800453514739;65.38461538461537;61.67800453514739;30.512820512820515;272;169;119;271
31;64.50060168471721;70.05494505494505;57.82312925170068;63.35403726708074;57.82312925170068;27.94871794871795;255;186;109;281
32;63.898916967509024;68.12339331619538;60.090702947845806;63.85542168674698;60.090702947845806;31.794871794871792;265;176;124;266
33;63.65824308062575;69.04109589041096;57.14285714285714;62.531017369727046;57.14285714285714;28.974358974358978;252;189;113;277
34;64.13959085439231;68.01007556675063;61.224489795918366;64.43914081145584;61.224489795918366;32.56410256410256;270;171;127;263
35;63.898916967509024;68.31168831168831;59.63718820861678;63.68038740920097;59.63718820861678;31.28205128205128;263;178;122;268
36;64.01925391095065;68.11224489795919;60.544217687074834;64.10564225690275;60.544217687074834;32.05128205128205;267;174;125;265
37;63.898916967509024;69.20980926430518;57.596371882086174;62.87128712871287;57.596371882086174;28.974358974358978;254;187;113;277
38;63.77858002406739;68.13471502590673;59.63718820861678;63.60338573155985;59.63718820861678;31.538461538461537;263;178;123;267
39;62.936221419975936;68.02168021680217;56.916099773242635;61.97530864197531;56.916099773242635;30.256410256410255;251;190;118;272
40;64.38026474127557;68.35443037974683;61.224489795918366;64.5933014354067;61.224489795918366;32.05128205128205;270;171;125;265

Min;62.936221419975936;68.01007556675063;56.4625850340136;61.97530864197531
Max;73.28519855595668;78.49462365591397;82.31292517006803;76.58227848101265
Mean;66.2575210589651;70.55962067547931;62.528344671201815;66.19379326620609
Median;65.28279181708784;70.00601330000472;61.337868480725625;65.08685205171594
