Neighbors;Accuracy;Precision;Recall;F1;TPR;FPR
1;76.94610778443113;77.70833333333333;75.0503018108652;76.35619242579325;75.0503018108652;21.18811881188119
2;72.65469061876247;68.24877250409165;83.90342052313883;75.27075812274367;83.90342052313883;38.415841584158414
3;75.3493013972056;78.4090909090909;69.41649899396378;73.63927427961579;69.41649899396378;18.81188118811881
4;75.64870259481037;74.18738049713193;78.06841046277665;76.07843137254902;78.06841046277665;26.732673267326735
5;73.65269461077844;76.7816091954023;67.20321931589537;71.67381974248926;67.20321931589537;20.0
6;74.45109780439122;74.14829659318637;74.44668008048289;74.29718875502009;74.44668008048289;25.544554455445546
7;73.85229540918164;78.86977886977887;64.58752515090544;71.01769911504424;64.58752515090544;17.02970297029703
8;74.15169660678643;76.09649122807018;69.81891348088531;72.82266526757607;69.81891348088531;21.584158415841586
9;74.25149700598801;78.38479809976246;66.39839034205231;71.8954248366013;66.39839034205231;18.019801980198018
10;74.05189620758483;75.37473233404711;70.82494969818913;73.02904564315354;70.82494969818913;22.772277227722775
11;74.25149700598801;78.25059101654847;66.59959758551308;71.95652173913044;66.59959758551308;18.217821782178216
12;72.85429141716567;74.72527472527473;68.41046277665997;71.42857142857143;68.41046277665997;22.772277227722775
13;72.75449101796407;76.16822429906543;65.59356136820925;70.48648648648648;65.59356136820925;20.198019801980198
14;73.35329341317365;74.46808510638297;70.4225352112676;72.38883143743536;70.4225352112676;23.762376237623762
15;74.9500998003992;78.47222222222221;68.2092555331992;72.98170075349839;68.2092555331992;18.415841584158414
16;73.85229540918164;74.84143763213531;71.22736418511066;72.9896907216495;71.22736418511066;23.564356435643564
17;73.85229540918164;77.3892773892774;66.80080482897385;71.70626349892008;66.80080482897385;19.207920792079207
18;73.45309381237524;75.16339869281046;69.41649899396378;72.17573221757321;69.41649899396378;22.574257425742577
19;73.15369261477046;77.40384615384616;64.7887323943662;70.53669222343922;64.7887323943662;18.613861386138613
20;72.65469061876247;75.39863325740319;66.59959758551308;70.72649572649573;66.59959758551308;21.386138613861387
21;72.45508982035929;77.28395061728395;62.97786720321932;69.40133037694014;62.97786720321932;18.217821782178216
22;72.95409181636727;76.1574074074074;66.19718309859155;70.82884822389668;66.19718309859155;20.396039603960396
23;72.35528942115769;78.64583333333334;60.7645875251509;68.55845629965948;60.7645875251509;16.237623762376238
24;72.55489021956087;76.30331753554502;64.7887323943662;70.07616974972797;64.7887323943662;19.801980198019802
25;73.15369261477046;79.08163265306123;62.37424547283702;69.74128233970754;62.37424547283702;16.237623762376238
26;72.0558882235529;75.52941176470588;64.58752515090544;69.63123644251627;64.58752515090544;20.594059405940595
27;72.35528942115769;77.363184079602;62.57545271629779;69.18798665183537;62.57545271629779;18.019801980198018
28;72.15568862275448;75.34883720930232;65.19114688128774;69.90291262135922;65.19114688128774;20.99009900990099
29;71.35728542914171;75.86206896551724;61.97183098591549;68.21705426356588;61.97183098591549;19.405940594059405
30;71.7564870259481;74.88372093023256;64.7887323943662;69.47141316073355;64.7887323943662;21.386138613861387
31;71.8562874251497;76.5432098765432;62.37424547283702;68.7361419068736;62.37424547283702;18.81188118811881
32;72.35528942115769;75.82159624413146;64.98993963782696;69.98916576381365;64.98993963782696;20.396039603960396
33;71.6566866267465;76.9620253164557;61.16700201207244;68.16143497757847;61.16700201207244;18.019801980198018
34;71.6566866267465;76.03911980440098;62.57545271629779;68.65342163355407;62.57545271629779;19.405940594059405
35;71.7564870259481;77.720207253886;60.36217303822937;67.95016987542468;60.36217303822937;17.02970297029703
36;72.2554890219561;77.1712158808933;62.57545271629779;69.1111111111111;62.57545271629779;18.217821782178216
37;72.65469061876247;79.26509186351706;60.7645875251509;68.79271070615034;60.7645875251509;15.643564356435643
38;73.25349301397206;78.69674185463658;63.17907444668008;70.08928571428572;63.17907444668008;16.831683168316832
39;72.95409181636727;79.8941798941799;60.7645875251509;69.02857142857142;60.7645875251509;15.049504950495049
40;72.95409181636727;78.68020304568529;62.37424547283702;69.58473625140293;62.37424547283702;16.633663366336634

Min;71.35728542914171;68.24877250409165;60.36217303822937;67.95016987542468
Max;76.94610778443113;79.8941798941799;83.90342052313883;76.35619242579325
Mean;73.16616766467065;76.59358073972955;66.37826961770624;70.96427313231236
Median;72.95409181636727;76.66240953597276;65.09054325955735;70.51158935496285
