Neighbors;Accuracy;Precision;Recall;F1;TPR;FPR
1;77.9783393501805;80.81534772182253;76.5909090909091;78.64644107351225;76.5909090909091;20.460358056265985
2;73.52587244283995;70.14652014652015;87.04545454545455;77.68762677484787;87.04545454545455;41.687979539641944
3;73.16486161251504;76.39902676399026;71.36363636363636;73.79553466509988;71.36363636363636;24.808184143222505
4;71.23947051744885;70.14028056112225;79.54545454545455;74.54739084132056;79.54545454545455;38.107416879795394
5;70.87845968712395;75.25510204081633;67.04545454545455;70.91346153846155;67.04545454545455;24.808184143222505
6;70.7581227436823;71.64835164835165;74.0909090909091;72.84916201117319;74.0909090909091;32.992327365728904
7;70.87845968712395;75.64766839378238;66.36363636363637;70.70217917675545;66.36363636363637;24.04092071611253
8;69.91576413959085;71.11111111111111;72.72727272727273;71.91011235955057;72.72727272727273;33.248081841432224
9;69.79542719614922;73.9240506329114;66.36363636363637;69.94011976047905;66.36363636363637;26.342710997442452
10;69.91576413959085;72.83653846153845;68.86363636363636;70.79439252336448;68.86363636363636;28.9002557544757
11;69.79542719614922;74.93403693931398;64.54545454545455;69.35286935286936;64.54545454545455;24.296675191815854
12;69.4344163658243;71.83098591549296;69.54545454545455;70.66974595842956;69.54545454545455;30.69053708439898
13;67.26835138387484;73.07692307692307;60.45454545454545;66.16915422885572;60.45454545454545;25.063938618925828
14;67.62936221419976;70.2127659574468;67.5;68.82966396292005;67.5;32.22506393861892
15;66.54632972322503;71.3157894736842;61.59090909090909;66.09756097560977;61.59090909090909;27.877237851662407
16;67.14801444043322;69.73995271867612;67.04545454545455;68.36616454229431;67.04545454545455;32.73657289002558
17;66.06498194945848;70.57291666666666;61.59090909090909;65.7766990291262;61.59090909090909;28.9002557544757
18;65.82430806257521;68.39622641509435;65.9090909090909;67.12962962962963;65.9090909090909;34.271099744245525
19;64.74127557160048;69.6;59.31818181818181;64.04907975460124;59.31818181818181;29.15601023017903
20;65.58363417569194;67.99065420560748;66.13636363636364;67.05069124423963;66.13636363636364;35.0383631713555
21;64.62093862815884;68.52791878172589;61.36363636363637;64.74820143884892;61.36363636363637;31.713554987212277
22;63.41756919374247;66.0377358490566;63.63636363636363;64.81481481481481;63.63636363636363;36.828644501278774
23;64.74127557160048;68.9922480620155;60.68181818181818;64.57073760580411;60.68181818181818;30.69053708439898
24;65.1022864019254;68.20388349514563;63.86363636363637;65.96244131455398;63.86363636363637;33.50383631713555
25;65.58363417569194;69.74358974358974;61.81818181818181;65.54216867469879;61.81818181818181;30.179028132992325
26;65.46329723225031;68.34532374100719;64.77272727272727;66.51108518086347;64.77272727272727;33.75959079283887
27;64.98194945848375;69.0537084398977;61.36363636363637;64.98194945848375;61.36363636363637;30.946291560102303
28;64.50060168471721;67.55447941888619;63.40909090909091;65.41617819460727;63.40909090909091;34.271099744245525
29;64.38026474127557;68.55670103092784;60.45454545454545;64.25120772946859;60.45454545454545;31.202046035805626
30;64.98194945848375;68.21515892420538;63.40909090909091;65.7243816254417;63.40909090909091;33.248081841432224
31;64.50060168471721;69.23076923076923;59.31818181818181;63.8922888616891;59.31818181818181;29.66751918158568
32;64.98194945848375;68.39506172839506;62.95454545454545;65.56213017751479;62.95454545454545;32.73657289002558
33;65.46329723225031;69.87012987012987;61.13636363636363;65.21212121212122;61.13636363636363;29.66751918158568
34;65.34296028880865;68.8118811881188;63.18181818181819;65.87677725118483;63.18181818181819;32.22506393861892
35;64.86161251504213;69.57671957671958;59.77272727272728;64.30317848410759;59.77272727272728;29.411764705882355
36;64.98194945848375;68.67167919799499;62.272727272727266;65.31585220500595;62.272727272727266;31.9693094629156
37;64.13959085439231;69.08602150537635;58.409090909090914;63.300492610837445;58.409090909090914;29.411764705882355
38;64.50060168471721;68.35443037974683;61.36363636363637;64.67065868263472;61.36363636363637;31.9693094629156
39;63.65824308062575;68.54838709677419;57.95454545454546;62.80788177339901;57.95454545454546;29.923273657289002
40;64.01925391095065;68.40731070496084;59.54545454545455;63.66950182260025;59.54545454545455;30.946291560102303

Min;63.41756919374247;66.0377358490566;57.95454545454546;62.80788177339901
Max;77.9783393501805;80.81534772182253;87.04545454545455;78.64644107351225
Mean;67.05776173285199;70.44443467040789;65.10795454545455;67.56029321304551
Median;65.52346570397113;69.58835978835978;63.40909090909091;65.9196092828694
