Program Name;#;Result;Status;Operator;Program Graph Node;Minimal?;Primitive Arc?;Source Primitive Arc?;Target Primitive Arc?;Equivalent?;Distance Begin;Distance Begin (min);Distance Begin (max);Distance Begin (avg);Distance End;Distance End (min);Distance End (max);Distance End (avg);Source Node;Target Node;Sources Nodes are primitive?;Targets Nodes are primitive?;Complexity;Type Statement
Calculation;0;Equivalent Active;Equivalent Active;u-CCDL;2;0;1;1;0;1;[1, 3];1;3;2.0;[3, 1];1;3;2.0;[1, 3];[3, 4];[0, 1];[1, 1];0.12380952380952381;While
Calculation;1;Dead Active;Dead Active;u-Ccsr;2;0;1;1;0;0;[1, 3];1;3;2.0;[3, 1];1;3;2.0;[1, 3];[3, 4];[0, 1];[1, 1];0.12380952380952381;While
Calculation;2;Dead Active;Dead Active;u-Ccsr;3;0;1;0;1;0;[2, 4];2;4;3.0;[2];2;2;2.0;[2];[2];[1];[1];0.0;Assignment
Calculation;3;Dead Active;Dead Active;u-Ccsr;3;0;1;0;1;0;[2, 4];2;4;3.0;[2];2;2;2.0;[2];[2];[1];[1];0.0;Assignment
Calculation;4;Dead Active;Dead Active;u-Ccsr;4;0;1;0;1;0;[2, 4];2;4;3.0;[0];0;0;0.0;[2];[];[1];[];1.0;Return
Calculation;5;Dead Active;Dead Active;u-CRCR;2;0;1;1;0;0;[1, 3];1;3;2.0;[3, 1];1;3;2.0;[1, 3];[3, 4];[0, 1];[1, 1];0.12380952380952381;While
Calculation;6;Dead Active;Dead Active;u-CRCR;2;0;1;1;0;0;[1, 3];1;3;2.0;[3, 1];1;3;2.0;[1, 3];[3, 4];[0, 1];[1, 1];0.12380952380952381;While
Calculation;7;Dead Active;Dead Active;u-CRCR;2;0;1;1;0;0;[1, 3];1;3;2.0;[3, 1];1;3;2.0;[1, 3];[3, 4];[0, 1];[1, 1];0.12380952380952381;While
Calculation;8;Dead Active;Dead Active;u-CRCR;2;0;1;1;0;0;[1, 3];1;3;2.0;[3, 1];1;3;2.0;[1, 3];[3, 4];[0, 1];[1, 1];0.12380952380952381;While
Calculation;9;Dead Active;Dead Active;u-CRCR;2;0;1;1;0;0;[1, 3];1;3;2.0;[3, 1];1;3;2.0;[1, 3];[3, 4];[0, 1];[1, 1];0.12380952380952381;While
Calculation;10;Dead Active;Dead Active;u-CRCR;3;0;1;0;1;0;[2, 4];2;4;3.0;[2];2;2;2.0;[2];[2];[1];[1];0.0;Assignment
Calculation;11;Dead Active;Dead Active;u-CRCR;3;0;1;0;1;0;[2, 4];2;4;3.0;[2];2;2;2.0;[2];[2];[1];[1];0.0;Assignment
Calculation;12;Dead Active;Dead Active;u-CRCR;3;0;1;0;1;0;[2, 4];2;4;3.0;[2];2;2;2.0;[2];[2];[1];[1];0.0;Assignment
Calculation;13;Dead Active;Dead Active;u-CRCR;3;0;1;0;1;0;[2, 4];2;4;3.0;[2];2;2;2.0;[2];[2];[1];[1];0.0;Assignment
Calculation;14;Dead Active;Dead Active;u-CRCR;3;0;1;0;1;0;[2, 4];2;4;3.0;[2];2;2;2.0;[2];[2];[1];[1];0.0;Assignment
Calculation;15;Dead Active;Dead Active;u-CRCR;3;0;1;0;1;0;[2, 4];2;4;3.0;[2];2;2;2.0;[2];[2];[1];[1];0.0;Assignment
Calculation;16;Dead Active;Dead Active;u-CRCR;3;0;1;0;1;0;[2, 4];2;4;3.0;[2];2;2;2.0;[2];[2];[1];[1];0.0;Assignment
Calculation;17;Dead Active;Dead Active;u-CRCR;3;0;1;0;1;0;[2, 4];2;4;3.0;[2];2;2;2.0;[2];[2];[1];[1];0.0;Assignment
Calculation;18;Dead Active;Dead Active;u-CRCR;3;0;1;0;1;0;[2, 4];2;4;3.0;[2];2;2;2.0;[2];[2];[1];[1];0.0;Assignment
Calculation;19;Dead Active;Dead Active;u-CRCR;3;0;1;0;1;0;[2, 4];2;4;3.0;[2];2;2;2.0;[2];[2];[1];[1];0.0;Assignment
Calculation;20;Dead Active;Dead Active;u-CRCR;4;0;1;0;1;0;[2, 4];2;4;3.0;[0];0;0;0.0;[2];[];[1];[];1.0;Return
Calculation;21;Dead Active;Dead Active;u-CRCR;4;0;1;0;1;0;[2, 4];2;4;3.0;[0];0;0;0.0;[2];[];[1];[];1.0;Return
Calculation;22;Dead Active;Dead Active;u-CRCR;4;0;1;0;1;0;[2, 4];2;4;3.0;[0];0;0;0.0;[2];[];[1];[];1.0;Return
Calculation;23;Dead Active;Dead Active;u-CRCR;4;0;1;0;1;0;[2, 4];2;4;3.0;[0];0;0;0.0;[2];[];[1];[];1.0;Return
Calculation;24;Dead Active;Dead Active;u-CRCR;4;0;1;0;1;0;[2, 4];2;4;3.0;[0];0;0;0.0;[2];[];[1];[];1.0;Return
Calculation;25;Dead Active;Dead Active;u-OAAA;3;0;1;0;1;0;[2, 4];2;4;3.0;[2];2;2;2.0;[2];[2];[1];[1];0.0;Assignment
Calculation;26;Dead Active;Dead Active;u-OAAA;3;0;1;0;1;0;[2, 4];2;4;3.0;[2];2;2;2.0;[2];[2];[1];[1];0.0;Assignment
Calculation;27;Dead Active;Dead Active;u-OAAA;3;0;1;0;1;0;[2, 4];2;4;3.0;[2];2;2;2.0;[2];[2];[1];[1];0.0;Assignment
Calculation;28;Dead Active;Dead Active;u-OAAA;3;0;1;0;1;0;[2, 4];2;4;3.0;[2];2;2;2.0;[2];[2];[1];[1];0.0;Assignment
Calculation;29;Dead Active;Dead Active;u-OAAA;3;0;1;0;1;0;[2, 4];2;4;3.0;[2];2;2;2.0;[2];[2];[1];[1];0.0;Assignment
Calculation;30;Dead Active;Dead Active;u-OAAA;3;0;1;0;1;0;[2, 4];2;4;3.0;[2];2;2;2.0;[2];[2];[1];[1];0.0;Assignment
Calculation;31;Dead Active;Dead Active;u-OAAA;3;0;1;0;1;0;[2, 4];2;4;3.0;[2];2;2;2.0;[2];[2];[1];[1];0.0;Assignment
Calculation;32;Dead Active;Dead Active;u-OAAA;3;0;1;0;1;0;[2, 4];2;4;3.0;[2];2;2;2.0;[2];[2];[1];[1];0.0;Assignment
Calculation;33;Dead Active;Dead Active;u-OABA;3;0;1;0;1;0;[2, 4];2;4;3.0;[2];2;2;2.0;[2];[2];[1];[1];0.0;Assignment
Calculation;34;Dead Active;Dead Active;u-OABA;3;0;1;0;1;0;[2, 4];2;4;3.0;[2];2;2;2.0;[2];[2];[1];[1];0.0;Assignment
Calculation;35;Dead Active;Dead Active;u-OABA;3;0;1;0;1;0;[2, 4];2;4;3.0;[2];2;2;2.0;[2];[2];[1];[1];0.0;Assignment
Calculation;36;Dead Active;Dead Active;u-OABA;3;0;1;0;1;0;[2, 4];2;4;3.0;[2];2;2;2.0;[2];[2];[1];[1];0.0;Assignment
Calculation;37;Dead Active;Dead Active;u-OABA;3;0;1;0;1;0;[2, 4];2;4;3.0;[2];2;2;2.0;[2];[2];[1];[1];0.0;Assignment
Calculation;38;Dead Active;Dead Active;u-OABA;3;0;1;0;1;0;[2, 4];2;4;3.0;[2];2;2;2.0;[2];[2];[1];[1];0.0;Assignment
Calculation;39;Dead Active;Dead Active;u-OAEA;3;0;1;0;1;0;[2, 4];2;4;3.0;[2];2;2;2.0;[2];[2];[1];[1];0.0;Assignment
Calculation;40;Dead Active;Dead Active;u-OAEA;3;0;1;0;1;0;[2, 4];2;4;3.0;[2];2;2;2.0;[2];[2];[1];[1];0.0;Assignment
Calculation;41;Dead Active;Dead Active;u-OASA;3;0;1;0;1;0;[2, 4];2;4;3.0;[2];2;2;2.0;[2];[2];[1];[1];0.0;Assignment
Calculation;42;Dead Active;Dead Active;u-OASA;3;0;1;0;1;0;[2, 4];2;4;3.0;[2];2;2;2.0;[2];[2];[1];[1];0.0;Assignment
Calculation;43;Dead Active;Dead Active;u-OASA;3;0;1;0;1;0;[2, 4];2;4;3.0;[2];2;2;2.0;[2];[2];[1];[1];0.0;Assignment
Calculation;44;Dead Active;Dead Active;u-OASA;3;0;1;0;1;0;[2, 4];2;4;3.0;[2];2;2;2.0;[2];[2];[1];[1];0.0;Assignment
Calculation;45;Dead Active;Dead Active;u-OCNG;2;0;1;1;0;0;[1, 3];1;3;2.0;[3, 1];1;3;2.0;[1, 3];[3, 4];[0, 1];[1, 1];0.12380952380952381;While
Calculation;46;Equivalent Active;Equivalent Active;u-OODL;2;0;1;1;0;1;[1, 3];1;3;2.0;[3, 1];1;3;2.0;[1, 3];[3, 4];[0, 1];[1, 1];0.12380952380952381;While
Calculation;47;Dead Active;Dead Active;u-OODL;2;0;1;1;0;0;[1, 3];1;3;2.0;[3, 1];1;3;2.0;[1, 3];[3, 4];[0, 1];[1, 1];0.12380952380952381;While
Calculation;48;Dead Active;Dead Active;u-OODL;3;0;1;0;1;0;[2, 4];2;4;3.0;[2];2;2;2.0;[2];[2];[1];[1];0.0;Assignment
Calculation;49;Dead Active;Dead Active;u-OODL;3;0;1;0;1;0;[2, 4];2;4;3.0;[2];2;2;2.0;[2];[2];[1];[1];0.0;Assignment
Calculation;50;Equivalent Active;Equivalent Active;u-ORAN;2;0;1;1;0;1;[1, 3];1;3;2.0;[3, 1];1;3;2.0;[1, 3];[3, 4];[0, 1];[1, 1];0.12380952380952381;While
Calculation;51;Equivalent Active;Equivalent Active;u-ORAN;2;0;1;1;0;1;[1, 3];1;3;2.0;[3, 1];1;3;2.0;[1, 3];[3, 4];[0, 1];[1, 1];0.12380952380952381;While
Calculation;52;Dead Active;Dead Active;u-ORAN;2;0;1;1;0;0;[1, 3];1;3;2.0;[3, 1];1;3;2.0;[1, 3];[3, 4];[0, 1];[1, 1];0.12380952380952381;While
Calculation;53;Dead Active;Dead Active;u-ORAN;2;0;1;1;0;0;[1, 3];1;3;2.0;[3, 1];1;3;2.0;[1, 3];[3, 4];[0, 1];[1, 1];0.12380952380952381;While
Calculation;54;Dead Active;Dead Active;u-ORAN;2;0;1;1;0;0;[1, 3];1;3;2.0;[3, 1];1;3;2.0;[1, 3];[3, 4];[0, 1];[1, 1];0.12380952380952381;While
Calculation;55;Equivalent Active;Equivalent Active;u-ORBN;2;0;1;1;0;1;[1, 3];1;3;2.0;[3, 1];1;3;2.0;[1, 3];[3, 4];[0, 1];[1, 1];0.12380952380952381;While
Calculation;56;Dead Active;Dead Active;u-ORBN;2;0;1;1;0;0;[1, 3];1;3;2.0;[3, 1];1;3;2.0;[1, 3];[3, 4];[0, 1];[1, 1];0.12380952380952381;While
Calculation;57;Equivalent Active;Equivalent Active;u-ORBN;2;0;1;1;0;1;[1, 3];1;3;2.0;[3, 1];1;3;2.0;[1, 3];[3, 4];[0, 1];[1, 1];0.12380952380952381;While
Calculation;58;Equivalent Active;Equivalent Active;u-ORLN;2;0;1;1;0;1;[1, 3];1;3;2.0;[3, 1];1;3;2.0;[1, 3];[3, 4];[0, 1];[1, 1];0.12380952380952381;While
Calculation;59;Dead Active;Dead Active;u-ORLN;2;0;1;1;0;0;[1, 3];1;3;2.0;[3, 1];1;3;2.0;[1, 3];[3, 4];[0, 1];[1, 1];0.12380952380952381;While
Calculation;60;Dead Active;Dead Active;u-ORRN;2;0;1;1;0;0;[1, 3];1;3;2.0;[3, 1];1;3;2.0;[1, 3];[3, 4];[0, 1];[1, 1];0.12380952380952381;While
Calculation;61;Dead Active;Dead Active;u-ORRN;2;0;1;1;0;0;[1, 3];1;3;2.0;[3, 1];1;3;2.0;[1, 3];[3, 4];[0, 1];[1, 1];0.12380952380952381;While
Calculation;62;Dead Active;Dead Active;u-ORRN;2;0;1;1;0;0;[1, 3];1;3;2.0;[3, 1];1;3;2.0;[1, 3];[3, 4];[0, 1];[1, 1];0.12380952380952381;While
Calculation;63;Dead Active;Dead Active;u-ORRN;2;0;1;1;0;0;[1, 3];1;3;2.0;[3, 1];1;3;2.0;[1, 3];[3, 4];[0, 1];[1, 1];0.12380952380952381;While
Calculation;64;Dead Active;Dead Active;u-ORRN;2;0;1;1;0;0;[1, 3];1;3;2.0;[3, 1];1;3;2.0;[1, 3];[3, 4];[0, 1];[1, 1];0.12380952380952381;While
Calculation;65;Equivalent Active;Equivalent Active;u-ORSN;2;0;1;1;0;1;[1, 3];1;3;2.0;[3, 1];1;3;2.0;[1, 3];[3, 4];[0, 1];[1, 1];0.12380952380952381;While
Calculation;66;Equivalent Active;Equivalent Active;u-ORSN;2;0;1;1;0;1;[1, 3];1;3;2.0;[3, 1];1;3;2.0;[1, 3];[3, 4];[0, 1];[1, 1];0.12380952380952381;While
Calculation;67;Dead Active;Dead Active;u-SMTC;1;0;0;0;0;0;[0];0;0;0.0;[4, 2];2;4;3.0;[];[2];[];[1];0.4666666666666667;Declaration
Calculation;68;Dead Active;Dead Active;u-SMTT;1;0;0;0;0;0;[0];0;0;0.0;[4, 2];2;4;3.0;[];[2];[];[1];0.4666666666666667;Declaration
Calculation;69;Dead Active;Dead Active;u-SMVB;3;0;1;0;1;0;[2, 4];2;4;3.0;[2];2;2;2.0;[2];[2];[1];[1];0.0;Declaration
Calculation;70;Dead Active;Dead Active;u-SRSR;3;0;1;0;1;0;[2, 4];2;4;3.0;[2];2;2;2.0;[2];[2];[1];[1];0.0;Assignment
Calculation;71;Dead Active;Dead Active;u-SRSR;3;0;1;0;1;0;[2, 4];2;4;3.0;[2];2;2;2.0;[2];[2];[1];[1];0.0;Assignment
Calculation;72;Dead Active;Dead Active;u-SRSR;3;0;1;0;1;0;[2, 4];2;4;3.0;[2];2;2;2.0;[2];[2];[1];[1];0.0;Block
Calculation;73;Dead Active;Dead Active;u-SRSR;1;0;0;0;0;0;[0];0;0;0.0;[4, 2];2;4;3.0;[];[2];[];[1];0.4666666666666667;Block
Calculation;74;Dead Active;Dead Active;u-SSDL;3;0;1;0;1;0;[2, 4];2;4;3.0;[2];2;2;2.0;[2];[2];[1];[1];0.0;Assignment
