Informação;Número;Total;Percentual
Mutantes minimais;13;166;7.83
Mutantes equivalentes;20;166;12.05
Mutantes nos arcos primitivos;158;166;95.18
Mutantes na origem dos arcos primitivos;134;166;80.72
Mutantes no destino dos arcos primitivos;24;166;14.46

Minimais em arcos primitivos;13;13;100.00
Minimais na origem dos arcos primitivos;9;13;69.23
Minimais no destino dos arcos primitivos;4;13;30.77
Minimais em primitivos ou com origem/destino em primitivos;13;13;100.00
Não Minimais em primitivos ou com origem/destino em primitivos;153;153;100.00
Minimais com nó origem em arcos primitivos;13;13;100.00
Minimais com nó destino em arcos primitivos;11;13;84.62
Equivalentes em arcos primitivos;20;20;100.00
Equivalentes na origem dos arcos primitivos;19;20;95.00
Equivalentes no destino dos arcos primitivos;1;20;5.00
Equivalentes em primitivos ou com origem/destino em primitivos;20;20;100.00
Não equivalentes em primitivos ou com origem/destino em primitivos;146;146;100.00
Equivalentes com nó origem em arcos primitivos;20;20;100.00
Equivalentes com nó destino em arcos primitivos;19;20;95.00
