Program,Functions,Line of Code,Mutants,Minimals,%,Equivalents,%,Test Cases,,MM_RF_F1,MM_RF_SampleSplit,MM_DT_F1,MM_DT_SampleSplit,MM_KNN_F1,MM_KNN_SampleSplit,MM_SVM_F1,MM_LDA_F1,MM_LR_F1,MM_GNB_F1,EM_RF_F1,EM_RF_SampleSplit,EM_DT_F1,EM_DT_SampleSplit,EM_KNN_F1,EM_KNN_SampleSplit,EM_SVM_F1,EM_LDA_F1,EM_LR_F1,EM_GNB_F1
cal,1,22,891,133,14.93,77,8.64,8,,82.58415338935362,5,80.49736137176168,15,70.85256923276945,1,87.00074136406172,82.0141931154167,86.40799742217986,73.56613837076735,89.37723550958844,15,83.93559880092388,35,68.25048480930833,11,84.11988304093568,89.83726567550096,88.95541549953316,86.4137672612905
Calculation,5,44,928,74,7.97,86,9.27,13,,69.95692568525385,5,69.23913668031314,15,67.33179101600155,1,63.8949938949939,65.3925878043525,64.34313725490195,62.22122762148338,75.5600543247602,15,69.16666666666667,35,63.78571428571429,11,52.589409128882814,75.46488770946975,71.54032706199888,70.00454038714909
checkIt,1,11,104,32,30.77,3,2.88,9,,68.71428571428572,5,83.95238095238096,15,50.66666666666666,1,71.9949494949495,71.33333333333333,76.97619047619047,72.4155844155844,0.0,15,0.0,35,66.66666666666666,3,66.66666666666666,0.0,66.66666666666666,55.55555555555555
CheckPalindrome,1,11,166,13,7.83,20,12.05,8,,54.666666666666664,5,80.0,15,12.000000000000002,1,76.33333333333333,61.66666666666666,61.33333333333334,53.33333333333334,52.666666666666664,15,50.0,35,85.33333333333333,11,73.33333333333334,55.00000000000001,86.33333333333333,50.66666666666666
countPositive,1,11,151,8,5.3,9,5.96,6,,45.83333333333333,5,0.0,15,70.83333333333333,8,79.16666666666666,58.33333333333333,87.5,79.16666666666666,29.629629629629626,15,0.0,35,66.66666666666666,9,70.37037037037037,40.74074074074074,66.66666666666666,59.25925925925925
date-plus,2,141,2412,320,13.27,170,7.05,49,,78.19470615055182,5,77.3460934447185,15,69.55356854372911,1,71.73918522148051,72.71957500188147,67.17895876046512,72.46453011360667,82.46318420751658,15,83.7435677497597,35,81.91664712136848,11,79.88760451532684,80.1348178824959,80.96872961546386,74.45104574997224
DigitReverser,1,19,496,7,1.41,43,8.67,5,,52.38095238095237,5,0.0,15,0.0,7,61.9047619047619,66.66666666666666,42.857142857142854,57.14285714285714,79.36724386724386,15,87.30375180375181,35,83.13675213675215,11,64.10173160173159,88.14213564213563,83.9004329004329,75.57720057720059
findLast,1,12,198,32,16.16,8,4.04,6,,70.73809523809523,5,76.80952380952381,15,49.095238095238095,1,72.52380952380952,53.21428571428572,61.76190476190475,55.00000000000001,41.666666666666664,15,0.0,35,12.5,8,8.333333333333332,62.5,66.66666666666666,58.33333333333333
findVal,1,9,190,9,4.74,10,5.26,7,,29.629629629629626,5,66.66666666666666,15,55.55555555555556,9,51.85185185185185,33.33333333333333,85.18518518518518,59.25925925925925,40.0,15,0.0,35,73.33333333333333,10,60.0,76.66666666666666,66.66666666666667,46.666666666666664
Heap,6,38,931,25,2.69,95,10.2,8,,68.14285714285714,5,73.16666666666667,15,53.66666666666667,1,43.047619047619044,80.07142857142856,47.16666666666666,64.57142857142857,80.48747984042102,15,80.50817590748942,35,72.04936734419167,11,63.3887517711047,80.59801782325002,83.25877192982458,75.5123586558369
