#;Result;Status;Operator;Program Graph Node;Minimal?;Primitive Arc?;Source Primitive Arc?;Target Primitive Arc?;Equivalent?;Distance Begin;Distance Begin (min);Distance Begin (max);Distance Begin (avg);Distance End;Distance End (min);Distance End (max);Distance End (avg);Source Node;Target Node;Sources Nodes are primitive?;Targets Nodes are primitive?;Complexity;Type Statement
0;Equivalent Active;Equivalent Active;u-CCDL;2;0;0;0;0;1;[1];1;1;1.0;[8, 7, 3];3;8;6.0;[1];[3];[1];[0];0.8571428571428571;For
1;Dead Active;Dead Active;u-CCDL;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];1.0;Function Call
2;Dead Active;Dead Active;u-Ccsr;1;0;1;1;0;0;[0];0;0;0.0;[9, 8, 4, 1];1;9;5.5;[];[2, 9];[];[0, 1];0.38311688311688313;If
3;Dead Active;Dead Active;u-Ccsr;1;0;1;1;0;0;[0];0;0;0.0;[9, 8, 4, 1];1;9;5.5;[];[2, 9];[];[0, 1];0.38311688311688313;If
4;Dead Active;Dead Active;u-Ccsr;2;0;0;0;0;0;[1];1;1;1.0;[8, 7, 3];3;8;6.0;[1];[3];[1];[0];0.8571428571428571;Assignment
5;Dead Active;Dead Active;u-Ccsr;2;0;0;0;0;0;[1];1;1;1.0;[8, 7, 3];3;8;6.0;[1];[3];[1];[0];0.8571428571428571;Assignment
6;Dead Active;Dead Active;u-Ccsr;2;0;0;0;0;0;[1];1;1;1.0;[8, 7, 3];3;8;6.0;[1];[3];[1];[0];0.8571428571428571;For
7;Dead Active;Dead Active;u-Ccsr;3;0;0;0;0;0;[2];2;2;2.0;[7, 6, 2];2;7;5.0;[2, 4];[5, 8];[0, 0];[1, 0];0.33116883116883117;For
8;Dead Active;Dead Active;u-Ccsr;3;0;0;0;0;0;[2];2;2;2.0;[7, 6, 2];2;7;5.0;[2, 4];[5, 8];[0, 0];[1, 0];0.33116883116883117;For
9;Dead Active;Dead Active;u-Ccsr;5;0;1;1;0;0;[3];3;3;3.0;[6, 5];5;6;5.5;[3];[6, 7];[0];[1, 1];0.45454545454545453;If
10;Dead Active;Dead Active;u-Ccsr;5;0;1;1;0;0;[3];3;3;3.0;[6, 5];5;6;5.5;[3];[6, 7];[0];[1, 1];0.45454545454545453;If
11;Dead Active;Dead Active;u-Ccsr;6;0;1;0;1;0;[4];4;4;4.0;[5];5;5;5.0;[5];[7];[1];[1];0.5;Assignment
12;Dead Active;Dead Active;u-Ccsr;6;0;1;0;1;0;[4];4;4;4.0;[5];5;5;5.0;[5];[7];[1];[1];0.5;Assignment
13;Dead Active;Dead Active;u-Ccsr;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];1.0;Assignment
14;Dead Active;Dead Active;u-Ccsr;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];1.0;Assignment
15;Dead Active;Dead Active;u-Ccsr;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];1.0;Assignment
16;Dead Active;Dead Active;u-Ccsr;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];1.0;Assignment
17;Dead Active;Dead Active;u-Ccsr;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];1.0;Function Call
18;Dead Active;Dead Active;u-Ccsr;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];1.0;Function Call
19;Dead Active;Dead Active;u-CRCR;1;0;1;1;0;0;[0];0;0;0.0;[9, 8, 4, 1];1;9;5.5;[];[2, 9];[];[0, 1];0.38311688311688313;If
20;Dead Active;Dead Active;u-CRCR;1;0;1;1;0;0;[0];0;0;0.0;[9, 8, 4, 1];1;9;5.5;[];[2, 9];[];[0, 1];0.38311688311688313;If
21;Dead Active;Dead Active;u-CRCR;1;0;1;1;0;0;[0];0;0;0.0;[9, 8, 4, 1];1;9;5.5;[];[2, 9];[];[0, 1];0.38311688311688313;If
22;Dead Active;Dead Active;u-CRCR;1;0;1;1;0;0;[0];0;0;0.0;[9, 8, 4, 1];1;9;5.5;[];[2, 9];[];[0, 1];0.38311688311688313;If
23;Dead Active;Dead Active;u-CRCR;1;0;1;1;0;0;[0];0;0;0.0;[9, 8, 4, 1];1;9;5.5;[];[2, 9];[];[0, 1];0.38311688311688313;If
24;Dead Active;Dead Active;u-CRCR;1;0;1;1;0;0;[0];0;0;0.0;[9, 8, 4, 1];1;9;5.5;[];[2, 9];[];[0, 1];0.38311688311688313;If
25;Dead Active;Dead Active;u-CRCR;1;0;1;1;0;0;[0];0;0;0.0;[9, 8, 4, 1];1;9;5.5;[];[2, 9];[];[0, 1];0.38311688311688313;If
26;Dead Active;Dead Active;u-CRCR;1;0;1;1;0;0;[0];0;0;0.0;[9, 8, 4, 1];1;9;5.5;[];[2, 9];[];[0, 1];0.38311688311688313;If
27;Dead Active;Dead Active;u-CRCR;1;0;1;1;0;0;[0];0;0;0.0;[9, 8, 4, 1];1;9;5.5;[];[2, 9];[];[0, 1];0.38311688311688313;If
28;Dead Active;Dead Active;u-CRCR;1;0;1;1;0;0;[0];0;0;0.0;[9, 8, 4, 1];1;9;5.5;[];[2, 9];[];[0, 1];0.38311688311688313;If
29;Dead Active;Dead Active;u-CRCR;2;0;0;0;0;0;[1];1;1;1.0;[8, 7, 3];3;8;6.0;[1];[3];[1];[0];0.8571428571428571;Assignment
30;Dead Active;Dead Active;u-CRCR;2;0;0;0;0;0;[1];1;1;1.0;[8, 7, 3];3;8;6.0;[1];[3];[1];[0];0.8571428571428571;Assignment
31;Dead Active;Dead Active;u-CRCR;2;0;0;0;0;0;[1];1;1;1.0;[8, 7, 3];3;8;6.0;[1];[3];[1];[0];0.8571428571428571;Assignment
32;Dead Active;Dead Active;u-CRCR;2;0;0;0;0;0;[1];1;1;1.0;[8, 7, 3];3;8;6.0;[1];[3];[1];[0];0.8571428571428571;Assignment
33;Dead Active;Dead Active;u-CRCR;2;0;0;0;0;0;[1];1;1;1.0;[8, 7, 3];3;8;6.0;[1];[3];[1];[0];0.8571428571428571;Assignment
34;Dead Active;Dead Active;u-CRCR;2;0;0;0;0;0;[1];1;1;1.0;[8, 7, 3];3;8;6.0;[1];[3];[1];[0];0.8571428571428571;Assignment
35;Dead Active;Dead Active;u-CRCR;2;0;0;0;0;0;[1];1;1;1.0;[8, 7, 3];3;8;6.0;[1];[3];[1];[0];0.8571428571428571;Assignment
36;Dead Active;Dead Active;u-CRCR;2;0;0;0;0;0;[1];1;1;1.0;[8, 7, 3];3;8;6.0;[1];[3];[1];[0];0.8571428571428571;Assignment
37;Dead Active;Dead Active;u-CRCR;2;0;0;0;0;0;[1];1;1;1.0;[8, 7, 3];3;8;6.0;[1];[3];[1];[0];0.8571428571428571;Assignment
38;Dead Active;Dead Active;u-CRCR;2;0;0;0;0;0;[1];1;1;1.0;[8, 7, 3];3;8;6.0;[1];[3];[1];[0];0.8571428571428571;Assignment
39;Dead Active;Dead Active;u-CRCR;2;0;0;0;0;0;[1];1;1;1.0;[8, 7, 3];3;8;6.0;[1];[3];[1];[0];0.8571428571428571;Assignment
40;Dead Active;Dead Active;u-CRCR;2;0;0;0;0;0;[1];1;1;1.0;[8, 7, 3];3;8;6.0;[1];[3];[1];[0];0.8571428571428571;Assignment
41;Dead Active;Dead Active;u-CRCR;2;0;0;0;0;0;[1];1;1;1.0;[8, 7, 3];3;8;6.0;[1];[3];[1];[0];0.8571428571428571;Assignment
42;Dead Active;Dead Active;u-CRCR;2;0;0;0;0;0;[1];1;1;1.0;[8, 7, 3];3;8;6.0;[1];[3];[1];[0];0.8571428571428571;Assignment
43;Equivalent Active;Equivalent Active;u-CRCR;2;0;0;0;0;1;[1];1;1;1.0;[8, 7, 3];3;8;6.0;[1];[3];[1];[0];0.8571428571428571;Assignment
44;Dead Active;Dead Active;u-CRCR;2;0;0;0;0;0;[1];1;1;1.0;[8, 7, 3];3;8;6.0;[1];[3];[1];[0];0.8571428571428571;Assignment
45;Dead Active;Dead Active;u-CRCR;2;0;0;0;0;0;[1];1;1;1.0;[8, 7, 3];3;8;6.0;[1];[3];[1];[0];0.8571428571428571;Assignment
46;Dead Active;Dead Active;u-CRCR;2;0;0;0;0;0;[1];1;1;1.0;[8, 7, 3];3;8;6.0;[1];[3];[1];[0];0.8571428571428571;For
47;Dead Active;Dead Active;u-CRCR;2;0;0;0;0;0;[1];1;1;1.0;[8, 7, 3];3;8;6.0;[1];[3];[1];[0];0.8571428571428571;For
48;Dead Active;Dead Active;u-CRCR;2;0;0;0;0;0;[1];1;1;1.0;[8, 7, 3];3;8;6.0;[1];[3];[1];[0];0.8571428571428571;For
49;Dead Active;Dead Active;u-CRCR;2;0;0;0;0;0;[1];1;1;1.0;[8, 7, 3];3;8;6.0;[1];[3];[1];[0];0.8571428571428571;For
50;Dead Active;Dead Active;u-CRCR;2;0;0;0;0;0;[1];1;1;1.0;[8, 7, 3];3;8;6.0;[1];[3];[1];[0];0.8571428571428571;For
51;Dead Active;Dead Active;u-CRCR;3;0;0;0;0;0;[2];2;2;2.0;[7, 6, 2];2;7;5.0;[2, 4];[5, 8];[0, 0];[1, 0];0.33116883116883117;For
52;Dead Active;Dead Active;u-CRCR;3;0;0;0;0;0;[2];2;2;2.0;[7, 6, 2];2;7;5.0;[2, 4];[5, 8];[0, 0];[1, 0];0.33116883116883117;For
53;Dead Active;Dead Active;u-CRCR;3;0;0;0;0;0;[2];2;2;2.0;[7, 6, 2];2;7;5.0;[2, 4];[5, 8];[0, 0];[1, 0];0.33116883116883117;For
54;Dead Active;Dead Active;u-CRCR;3;0;0;0;0;0;[2];2;2;2.0;[7, 6, 2];2;7;5.0;[2, 4];[5, 8];[0, 0];[1, 0];0.33116883116883117;For
55;Dead Active;Dead Active;u-CRCR;3;0;0;0;0;0;[2];2;2;2.0;[7, 6, 2];2;7;5.0;[2, 4];[5, 8];[0, 0];[1, 0];0.33116883116883117;For
56;Dead Active;Dead Active;u-CRCR;3;0;0;0;0;0;[2];2;2;2.0;[7, 6, 2];2;7;5.0;[2, 4];[5, 8];[0, 0];[1, 0];0.33116883116883117;For
57;Dead Active;Dead Active;u-CRCR;3;0;0;0;0;0;[2];2;2;2.0;[7, 6, 2];2;7;5.0;[2, 4];[5, 8];[0, 0];[1, 0];0.33116883116883117;For
58;Dead Active;Dead Active;u-CRCR;3;0;0;0;0;0;[2];2;2;2.0;[7, 6, 2];2;7;5.0;[2, 4];[5, 8];[0, 0];[1, 0];0.33116883116883117;For
59;Dead Active;Dead Active;u-CRCR;3;0;0;0;0;0;[2];2;2;2.0;[7, 6, 2];2;7;5.0;[2, 4];[5, 8];[0, 0];[1, 0];0.33116883116883117;For
60;Dead Active;Dead Active;u-CRCR;3;0;0;0;0;0;[2];2;2;2.0;[7, 6, 2];2;7;5.0;[2, 4];[5, 8];[0, 0];[1, 0];0.33116883116883117;For
61;Dead Active;Dead Active;u-CRCR;5;0;1;1;0;0;[3];3;3;3.0;[6, 5];5;6;5.5;[3];[6, 7];[0];[1, 1];0.45454545454545453;If
62;Dead Active;Dead Active;u-CRCR;5;0;1;1;0;0;[3];3;3;3.0;[6, 5];5;6;5.5;[3];[6, 7];[0];[1, 1];0.45454545454545453;If
63;Dead Active;Dead Active;u-CRCR;5;0;1;1;0;0;[3];3;3;3.0;[6, 5];5;6;5.5;[3];[6, 7];[0];[1, 1];0.45454545454545453;If
64;Dead Active;Dead Active;u-CRCR;5;0;1;1;0;0;[3];3;3;3.0;[6, 5];5;6;5.5;[3];[6, 7];[0];[1, 1];0.45454545454545453;If
65;Dead Active;Dead Active;u-CRCR;5;0;1;1;0;0;[3];3;3;3.0;[6, 5];5;6;5.5;[3];[6, 7];[0];[1, 1];0.45454545454545453;If
66;Dead Active;Dead Active;u-CRCR;5;0;1;1;0;0;[3];3;3;3.0;[6, 5];5;6;5.5;[3];[6, 7];[0];[1, 1];0.45454545454545453;If
67;Dead Active;Dead Active;u-CRCR;5;0;1;1;0;0;[3];3;3;3.0;[6, 5];5;6;5.5;[3];[6, 7];[0];[1, 1];0.45454545454545453;If
68;Dead Active;Dead Active;u-CRCR;5;0;1;1;0;0;[3];3;3;3.0;[6, 5];5;6;5.5;[3];[6, 7];[0];[1, 1];0.45454545454545453;If
69;Dead Active;Dead Active;u-CRCR;5;0;1;1;0;0;[3];3;3;3.0;[6, 5];5;6;5.5;[3];[6, 7];[0];[1, 1];0.45454545454545453;If
