#;Result;Status;Operator;Program Graph Node;Minimal?;Primitive Arc?;Source Primitive Arc?;Target Primitive Arc?;Equivalent?;Distance Begin;Distance Begin (min);Distance Begin (max);Distance Begin (avg);Distance End;Distance End (min);Distance End (max);Distance End (avg);Source Node;Target Node;Sources Nodes are primitive?;Targets Nodes are primitive?;Complexity
0;Equivalent;Active;u-CCDL;2;0;0;0;0;1;[1];1;1;1.0;[8, 7, 3];3;8;6.0;[1];[3];[1];[0];133
1;Dead;Active;u-CCDL;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];160
2;Dead;Active;u-Ccsr;1;0;1;1;0;0;[0];0;0;0.0;[9, 8, 4, 1];1;9;5.5;[];[2, 9];[];[0, 1];62
3;Dead;Active;u-Ccsr;1;0;1;1;0;0;[0];0;0;0.0;[9, 8, 4, 1];1;9;5.5;[];[2, 9];[];[0, 1];62
4;Dead;Active;u-Ccsr;2;0;0;0;0;0;[1];1;1;1.0;[8, 7, 3];3;8;6.0;[1];[3];[1];[0];133
5;Dead;Active;u-Ccsr;2;0;0;0;0;0;[1];1;1;1.0;[8, 7, 3];3;8;6.0;[1];[3];[1];[0];133
6;Dead;Active;u-Ccsr;2;0;0;0;0;0;[1];1;1;1.0;[8, 7, 3];3;8;6.0;[1];[3];[1];[0];133
7;Dead;Active;u-Ccsr;3;0;0;0;0;0;[2];2;2;2.0;[7, 6, 2];2;7;5.0;[2, 4];[5, 8];[0, 0];[1, 0];52
8;Dead;Active;u-Ccsr;3;0;0;0;0;0;[2];2;2;2.0;[7, 6, 2];2;7;5.0;[2, 4];[5, 8];[0, 0];[1, 0];52
9;Dead;Active;u-Ccsr;5;0;1;1;0;0;[3];3;3;3.0;[6, 5];5;6;5.5;[3];[6, 7];[0];[1, 1];75
10;Dead;Active;u-Ccsr;5;0;1;1;0;0;[3];3;3;3.0;[6, 5];5;6;5.5;[3];[6, 7];[0];[1, 1];75
11;Dead;Active;u-Ccsr;6;0;1;0;1;0;[4];4;4;4.0;[5];5;5;5.0;[5];[7];[1];[1];78
12;Dead;Active;u-Ccsr;6;0;1;0;1;0;[4];4;4;4.0;[5];5;5;5.0;[5];[7];[1];[1];78
13;Dead;Active;u-Ccsr;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];160
