Program Name;#;Result;Status;Operator;Program Graph Node;Minimal?;Primitive Arc?;Source Primitive Arc?;Target Primitive Arc?;Equivalent?;Distance Begin;Distance Begin (min);Distance Begin (max);Distance Begin (avg);Distance End;Distance End (min);Distance End (max);Distance End (avg);Source Node;Target Node;Sources Nodes are primitive?;Targets Nodes are primitive?;Complexity;Type Statement
UnixCal;2489;Dead Active;Dead Active;u-Cccr;3;0;1;1;0;0;[2, 5, 6];2;6;4.333333333333333;[8, 6, 7, 5];5;8;6.5;[2];[4, 5];[0];[1, 1];0.11921708185053381;If
UnixCal;2490;Dead Active;Dead Active;u-Cccr;3;0;1;1;0;0;[2, 5, 6];2;6;4.333333333333333;[8, 6, 7, 5];5;8;6.5;[2];[4, 5];[0];[1, 1];0.11921708185053381;If
UnixCal;2491;Dead Active;Dead Active;u-Cccr;4;0;1;0;1;0;[3, 6, 7];3;7;5.333333333333333;[7, 5];5;7;6.0;[3];[5];[1];[1];0.3914590747330961;Assignment
UnixCal;2492;Dead Active;Dead Active;u-Cccr;4;0;1;0;1;0;[3, 6, 7];3;7;5.333333333333333;[7, 5];5;7;6.0;[3];[5];[1];[1];0.3914590747330961;Assignment
UnixCal;2493;Dead Active;Dead Active;u-Cccr;4;0;1;0;1;0;[3, 6, 7];3;7;5.333333333333333;[7, 5];5;7;6.0;[3];[5];[1];[1];0.3914590747330961;Assignment
UnixCal;2494;Dead Active;Dead Active;u-Cccr;4;0;1;0;1;0;[3, 6, 7];3;7;5.333333333333333;[7, 5];5;7;6.0;[3];[5];[1];[1];0.3914590747330961;Assignment
UnixCal;2495;Dead Active;Dead Active;u-Cccr;6;0;0;0;0;0;[2, 5, 6];2;6;4.333333333333333;[4, 7, 5, 2];2;7;4.5;[2];[7];[0];[1];0.06227758007117438;Assignment
UnixCal;2496;Dead Active;Dead Active;u-Cccr;6;0;0;0;0;0;[2, 5, 6];2;6;4.333333333333333;[4, 7, 5, 2];2;7;4.5;[2];[7];[0];[1];0.06227758007117438;Assignment
UnixCal;2497;Dead Active;Dead Active;u-Cccr;8;0;1;1;0;0;[4, 7, 8, 7];4;8;6.5;[2, 5, 3];2;5;3.3333333333333335;[7];[9, 10];[1];[1, 1];0.06227758007117438;If
UnixCal;2498;Dead Active;Dead Active;u-Cccr;8;0;1;1;0;0;[4, 7, 8, 7];4;8;6.5;[2, 5, 3];2;5;3.3333333333333335;[7];[9, 10];[1];[1, 1];0.06227758007117438;If
UnixCal;2499;Dead Active;Dead Active;u-Cccr;11;0;1;0;1;0;[4, 7, 8, 7, 6, 9, 10, 9];4;10;7.5;[0];0;0;0.0;[7, 9];[];[1, 1];[];0.16725978647686832;Assignment
UnixCal;2500;Dead Active;Dead Active;u-Cccr;11;0;1;0;1;0;[4, 7, 8, 7, 6, 9, 10, 9];4;10;7.5;[0];0;0;0.0;[7, 9];[];[1, 1];[];0.16725978647686832;Assignment
UnixCal;2501;Dead Active;Dead Active;u-Cccr;11;0;1;0;1;0;[4, 7, 8, 7, 6, 9, 10, 9];4;10;7.5;[0];0;0;0.0;[7, 9];[];[1, 1];[];0.16725978647686832;Assignment
UnixCal;2502;Dead Active;Dead Active;u-Cccr;11;0;1;0;1;0;[4, 7, 8, 7, 6, 9, 10, 9];4;10;7.5;[0];0;0;0.0;[7, 9];[];[1, 1];[];0.16725978647686832;Assignment
UnixCal;2503;Dead Active;Dead Active;u-CCDL;3;0;1;1;0;0;[2, 5, 6];2;6;4.333333333333333;[8, 6, 7, 5];5;8;6.5;[2];[4, 5];[0];[1, 1];0.11921708185053381;If
