Informação;Número;Total;Percentual
Mutantes minimais;32;198;16.16
Mutantes equivalentes;8;198;4.04
Mutantes nos arcos primitivos;133;198;67.17
Mutantes na origem dos arcos primitivos;112;198;56.57
Mutantes no destino dos arcos primitivos;21;198;10.61

Minimais em arcos primitivos;12;32;37.50
Minimais na origem dos arcos primitivos;12;32;37.50
Minimais no destino dos arcos primitivos;0;32;0.00
Equivalentes em arcos primitivos;4;8;50.00
Equivalentes na origem dos arcos primitivos;2;8;25.00
Equivalentes no destino dos arcos primitivos;2;8;25.00
