Informação;Número;Total;Percentual
Mutantes minimais;9;190;4.74
Mutantes equivalentes;10;190;5.26
Mutantes nos arcos primitivos;100;190;52.63
Mutantes na origem dos arcos primitivos;70;190;36.84
Mutantes no destino dos arcos primitivos;30;190;15.79

Minimais em arcos primitivos;4;9;44.44
Minimais na origem dos arcos primitivos;3;9;33.33
Minimais no destino dos arcos primitivos;1;9;11.11
Minimais em primitivos ou com origem/destino em primitivos;8;9;88.89
Não Minimais em primitivos ou com origem/destino em primitivos;146;181;80.66
Minimais com nó origem em arcos primitivos;1;9;11.11
Minimais com nó destino em arcos primitivos;8;9;88.89
Equivalentes em arcos primitivos;3;10;30.00
Equivalentes na origem dos arcos primitivos;1;10;10.00
Equivalentes no destino dos arcos primitivos;2;10;20.00
Equivalentes em primitivos ou com origem/destino em primitivos;8;10;80.00
Não equivalentes em primitivos ou com origem/destino em primitivos;146;180;81.11
Equivalentes com nó origem em arcos primitivos;2;10;20.00
Equivalentes com nó destino em arcos primitivos;8;10;80.00
