Program Name;#;Result;Status;Operator;Program Graph Node;Minimal?;Primitive Arc?;Source Primitive Arc?;Target Primitive Arc?;Equivalent?;Distance Begin;Distance Begin (min);Distance Begin (max);Distance Begin (avg);Distance End;Distance End (min);Distance End (max);Distance End (avg);Source Node;Target Node;Sources Nodes are primitive?;Targets Nodes are primitive?;Complexity;Type Statement
jday-jdate;0;Dead Active;Dead Active;u-Cccr;1;1;1;1;0;0;[0];0;0;0.0;[2, 2];2;2;2.0;[];[2, 3];[];[1, 1];1732;If
jday-jdate;1;Dead Active;Dead Active;u-Cccr;1;0;1;1;0;0;[0];0;0;0.0;[2, 2];2;2;2.0;[];[2, 3];[];[1, 1];1732;If
jday-jdate;2;Dead Active;Dead Active;u-Cccr;1;0;1;1;0;0;[0];0;0;0.0;[2, 2];2;2;2.0;[];[2, 3];[];[1, 1];1732;If
jday-jdate;3;Dead Active;Dead Active;u-Cccr;1;0;1;1;0;0;[0];0;0;0.0;[2, 2];2;2;2.0;[];[2, 3];[];[1, 1];1732;If
jday-jdate;4;Dead Active;Dead Active;u-Cccr;1;1;1;1;0;0;[0];0;0;0.0;[2, 2];2;2;2.0;[];[2, 3];[];[1, 1];1732;If
jday-jdate;5;Dead Active;Dead Active;u-Cccr;1;0;1;1;0;0;[0];0;0;0.0;[2, 2];2;2;2.0;[];[2, 3];[];[1, 1];1732;If
jday-jdate;6;Dead Active;Dead Active;u-Cccr;1;0;1;1;0;0;[0];0;0;0.0;[2, 2];2;2;2.0;[];[2, 3];[];[1, 1];1732;If
jday-jdate;7;Equivalent Active;Equivalent Active;u-Cccr;1;0;1;1;0;1;[0];0;0;0.0;[2, 2];2;2;2.0;[];[2, 3];[];[1, 1];1732;If
jday-jdate;8;Dead Active;Dead Active;u-Cccr;1;0;1;1;0;0;[0];0;0;0.0;[2, 2];2;2;2.0;[];[2, 3];[];[1, 1];1732;If
jday-jdate;9;Dead Active;Dead Active;u-Cccr;1;0;1;1;0;0;[0];0;0;0.0;[2, 2];2;2;2.0;[];[2, 3];[];[1, 1];1732;If
jday-jdate;10;Dead Active;Dead Active;u-Cccr;2;0;1;0;1;0;[1];1;1;1.0;[1];1;1;1.0;[1];[4];[1];[0];32;If
jday-jdate;11;Dead Active;Dead Active;u-Cccr;2;0;1;0;1;0;[1];1;1;1.0;[1];1;1;1.0;[1];[4];[1];[0];32;If
jday-jdate;12;Dead Active;Dead Active;u-Cccr;2;0;1;0;1;0;[1];1;1;1.0;[1];1;1;1.0;[1];[4];[1];[0];32;If
jday-jdate;13;Dead Active;Dead Active;u-Cccr;2;0;1;0;1;0;[1];1;1;1.0;[1];1;1;1.0;[1];[4];[1];[0];32;If
jday-jdate;14;Dead Active;Dead Active;u-Cccr;2;0;1;0;1;0;[1];1;1;1.0;[1];1;1;1.0;[1];[4];[1];[0];32;If
jday-jdate;15;Dead Active;Dead Active;u-Cccr;2;0;1;0;1;0;[1];1;1;1.0;[1];1;1;1.0;[1];[4];[1];[0];32;If
jday-jdate;16;Dead Active;Dead Active;u-Cccr;2;0;1;0;1;0;[1];1;1;1.0;[1];1;1;1.0;[1];[4];[1];[0];32;If
jday-jdate;17;Dead Active;Dead Active;u-Cccr;2;0;1;0;1;0;[1];1;1;1.0;[1];1;1;1.0;[1];[4];[1];[0];32;If
jday-jdate;18;Dead Active;Dead Active;u-Cccr;2;0;1;0;1;0;[1];1;1;1.0;[1];1;1;1.0;[1];[4];[1];[0];32;If
jday-jdate;19;Dead Active;Dead Active;u-Cccr;2;0;1;0;1;0;[1];1;1;1.0;[1];1;1;1.0;[1];[4];[1];[0];32;If
jday-jdate;20;Dead Active;Dead Active;u-Cccr;3;0;1;0;1;0;[1];1;1;1.0;[1];1;1;1.0;[1];[4];[1];[0];43;Assignment
jday-jdate;21;Dead Active;Dead Active;u-Cccr;3;0;1;0;1;0;[1];1;1;1.0;[1];1;1;1.0;[1];[4];[1];[0];43;Assignment
jday-jdate;22;Dead Active;Dead Active;u-Cccr;3;0;1;0;1;0;[1];1;1;1.0;[1];1;1;1.0;[1];[4];[1];[0];43;Assignment
jday-jdate;23;Dead Active;Dead Active;u-Cccr;3;0;1;0;1;0;[1];1;1;1.0;[1];1;1;1.0;[1];[4];[1];[0];43;Assignment
jday-jdate;24;Dead Active;Dead Active;u-Cccr;3;0;1;0;1;0;[1];1;1;1.0;[1];1;1;1.0;[1];[4];[1];[0];43;Assignment
jday-jdate;25;Dead Active;Dead Active;u-Cccr;3;0;1;0;1;0;[1];1;1;1.0;[1];1;1;1.0;[1];[4];[1];[0];43;Assignment
jday-jdate;26;Dead Active;Dead Active;u-Cccr;3;0;1;0;1;0;[1];1;1;1.0;[1];1;1;1.0;[1];[4];[1];[0];43;Assignment
