Informação;Número;Total;Percentual
Mutantes minimais;54;629;8.59
Mutantes equivalentes;57;629;9.06
Mutantes nos arcos primitivos;524;629;83.31
Mutantes na origem dos arcos primitivos;286;629;45.47
Mutantes no destino dos arcos primitivos;238;629;37.84

Minimais em arcos primitivos;40;54;74.07
Minimais na origem dos arcos primitivos;13;54;24.07
Minimais no destino dos arcos primitivos;27;54;50.00
Minimais em primitivos ou com origem/destino em primitivos;54;54;100.00
Não Minimais em primitivos ou com origem/destino em primitivos;575;575;100.00
Minimais com nó origem em arcos primitivos;47;54;87.04
Minimais com nó destino em arcos primitivos;52;54;96.30
Equivalentes em arcos primitivos;47;57;82.46
Equivalentes na origem dos arcos primitivos;18;57;31.58
Equivalentes no destino dos arcos primitivos;29;57;50.88
Equivalentes em primitivos ou com origem/destino em primitivos;57;57;100.00
Não equivalentes em primitivos ou com origem/destino em primitivos;572;572;100.00
Equivalentes com nó origem em arcos primitivos;54;57;94.74
Equivalentes com nó destino em arcos primitivos;56;57;98.25
