Program Name;#;Result;Status;Operator;Program Graph Node;Minimal?;Primitive Arc?;Source Primitive Arc?;Target Primitive Arc?;Equivalent?;Distance Begin;Distance Begin (min);Distance Begin (max);Distance Begin (avg);Distance End;Distance End (min);Distance End (max);Distance End (avg);Source Node;Target Node;Sources Nodes are primitive?;Targets Nodes are primitive?;Complexity;Type Statement
testPad;0;Dead Active;Dead Active;u-Cccr;2;0;1;0;1;0;[1, 4, 7, 9];1;9;5.25;[25, 23, 20, 17, 23, 21, 18, 15, 20, 18, 15, 12, 9, 13, 11, 23, 21, 18, 15, 21, 19, 16, 13, 18, 16, 13, 10, 7, 20, 18, 15, 12, 18, 16, 13, 10, 15, 13, 10, 7, 4, 1];1;25;15.285714285714286;[1, 12];[3, 13];[1, 1];[1, 0];174;While
testPad;1;Dead Active;Dead Active;u-Cccr;2;0;1;0;1;0;[1, 4, 7, 9];1;9;5.25;[25, 23, 20, 17, 23, 21, 18, 15, 20, 18, 15, 12, 9, 13, 11, 23, 21, 18, 15, 21, 19, 16, 13, 18, 16, 13, 10, 7, 20, 18, 15, 12, 18, 16, 13, 10, 15, 13, 10, 7, 4, 1];1;25;15.285714285714286;[1, 12];[3, 13];[1, 1];[1, 0];174;While
testPad;2;Dead Active;Dead Active;u-Cccr;3;0;1;1;0;0;[2, 5, 8, 10];2;10;6.25;[24, 22, 19, 16, 22, 20, 17, 14, 19, 17, 14, 11, 8, 12, 10, 22, 20, 17, 14, 20, 18, 15, 12, 17, 15, 12, 9, 6, 19, 17, 14, 11, 17, 15, 12, 9, 14, 12, 9, 6, 3];3;24;14.634146341463415;[2];[4, 12];[1];[0, 1];89;If
testPad;3;Dead Active;Dead Active;u-Cccr;4;1;0;0;0;0;[3, 6, 9, 11];3;11;7.25;[23, 21, 18, 15, 21, 19, 16, 13, 18, 16, 13, 10, 7, 11, 9, 21, 19, 16, 13, 19, 17, 14, 11, 16, 14, 11, 8, 5];5;23;14.785714285714286;[3];[5];[1];[1];78;Assignment
testPad;4;Equivalent Active;Equivalent Active;u-Cccr;4;0;0;0;0;1;[3, 6, 9, 11];3;11;7.25;[23, 21, 18, 15, 21, 19, 16, 13, 18, 16, 13, 10, 7, 11, 9, 21, 19, 16, 13, 19, 17, 14, 11, 16, 14, 11, 8, 5];5;23;14.785714285714286;[3];[5];[1];[1];78;For
testPad;5;Dead Active;Dead Active;u-Cccr;8;0;1;0;1;0;[6, 9, 12, 14];6;14;10.25;[20, 18, 15, 12, 18, 16, 13, 10, 15, 13, 10, 7, 4];4;20;13.153846153846153;[7];[11];[1];[1];46;Assignment
testPad;6;Dead Active;Dead Active;u-Cccr;8;1;1;0;1;0;[6, 9, 12, 14];6;14;10.25;[20, 18, 15, 12, 18, 16, 13, 10, 15, 13, 10, 7, 4];4;20;13.153846153846153;[7];[11];[1];[1];46;Assignment
testPad;7;Dead Active;Dead Active;u-CCDL;2;0;1;0;1;0;[1, 4, 7, 9];1;9;5.25;[25, 23, 20, 17, 23, 21, 18, 15, 20, 18, 15, 12, 9, 13, 11, 23, 21, 18, 15, 21, 19, 16, 13, 18, 16, 13, 10, 7, 20, 18, 15, 12, 18, 16, 13, 10, 15, 13, 10, 7, 4, 1];1;25;15.285714285714286;[1, 12];[3, 13];[1, 1];[1, 0];174;While
testPad;8;Dead Active;Dead Active;u-CCDL;2;0;1;0;1;0;[1, 4, 7, 9];1;9;5.25;[25, 23, 20, 17, 23, 21, 18, 15, 20, 18, 15, 12, 9, 13, 11, 23, 21, 18, 15, 21, 19, 16, 13, 18, 16, 13, 10, 7, 20, 18, 15, 12, 18, 16, 13, 10, 15, 13, 10, 7, 4, 1];1;25;15.285714285714286;[1, 12];[3, 13];[1, 1];[1, 0];174;While
testPad;9;Dead Active;Dead Active;u-Ccsr;2;1;1;0;1;0;[1, 4, 7, 9];1;9;5.25;[25, 23, 20, 17, 23, 21, 18, 15, 20, 18, 15, 12, 9, 13, 11, 23, 21, 18, 15, 21, 19, 16, 13, 18, 16, 13, 10, 7, 20, 18, 15, 12, 18, 16, 13, 10, 15, 13, 10, 7, 4, 1];1;25;15.285714285714286;[1, 12];[3, 13];[1, 1];[1, 0];174;While
testPad;10;Dead Active;Dead Active;u-Ccsr;2;0;1;0;1;0;[1, 4, 7, 9];1;9;5.25;[25, 23, 20, 17, 23, 21, 18, 15, 20, 18, 15, 12, 9, 13, 11, 23, 21, 18, 15, 21, 19, 16, 13, 18, 16, 13, 10, 7, 20, 18, 15, 12, 18, 16, 13, 10, 15, 13, 10, 7, 4, 1];1;25;15.285714285714286;[1, 12];[3, 13];[1, 1];[1, 0];174;While
testPad;11;Dead Active;Dead Active;u-Ccsr;2;0;1;0;1;0;[1, 4, 7, 9];1;9;5.25;[25, 23, 20, 17, 23, 21, 18, 15, 20, 18, 15, 12, 9, 13, 11, 23, 21, 18, 15, 21, 19, 16, 13, 18, 16, 13, 10, 7, 20, 18, 15, 12, 18, 16, 13, 10, 15, 13, 10, 7, 4, 1];1;25;15.285714285714286;[1, 12];[3, 13];[1, 1];[1, 0];174;While
testPad;12;Dead Active;Dead Active;u-Ccsr;2;0;1;0;1;0;[1, 4, 7, 9];1;9;5.25;[25, 23, 20, 17, 23, 21, 18, 15, 20, 18, 15, 12, 9, 13, 11, 23, 21, 18, 15, 21, 19, 16, 13, 18, 16, 13, 10, 7, 20, 18, 15, 12, 18, 16, 13, 10, 15, 13, 10, 7, 4, 1];1;25;15.285714285714286;[1, 12];[3, 13];[1, 1];[1, 0];174;While
testPad;13;Equivalent Active;Equivalent Active;u-Ccsr;2;0;1;0;1;1;[1, 4, 7, 9];1;9;5.25;[25, 23, 20, 17, 23, 21, 18, 15, 20, 18, 15, 12, 9, 13, 11, 23, 21, 18, 15, 21, 19, 16, 13, 18, 16, 13, 10, 7, 20, 18, 15, 12, 18, 16, 13, 10, 15, 13, 10, 7, 4, 1];1;25;15.285714285714286;[1, 12];[3, 13];[1, 1];[1, 0];174;While
testPad;14;Dead Active;Dead Active;u-Ccsr;2;1;1;0;1;0;[1, 4, 7, 9];1;9;5.25;[25, 23, 20, 17, 23, 21, 18, 15, 20, 18, 15, 12, 9, 13, 11, 23, 21, 18, 15, 21, 19, 16, 13, 18, 16, 13, 10, 7, 20, 18, 15, 12, 18, 16, 13, 10, 15, 13, 10, 7, 4, 1];1;25;15.285714285714286;[1, 12];[3, 13];[1, 1];[1, 0];174;While
testPad;15;Dead Active;Dead Active;u-Ccsr;2;0;1;0;1;0;[1, 4, 7, 9];1;9;5.25;[25, 23, 20, 17, 23, 21, 18, 15, 20, 18, 15, 12, 9, 13, 11, 23, 21, 18, 15, 21, 19, 16, 13, 18, 16, 13, 10, 7, 20, 18, 15, 12, 18, 16, 13, 10, 15, 13, 10, 7, 4, 1];1;25;15.285714285714286;[1, 12];[3, 13];[1, 1];[1, 0];174;While
testPad;16;Dead Active;Dead Active;u-Ccsr;2;0;1;0;1;0;[1, 4, 7, 9];1;9;5.25;[25, 23, 20, 17, 23, 21, 18, 15, 20, 18, 15, 12, 9, 13, 11, 23, 21, 18, 15, 21, 19, 16, 13, 18, 16, 13, 10, 7, 20, 18, 15, 12, 18, 16, 13, 10, 15, 13, 10, 7, 4, 1];1;25;15.285714285714286;[1, 12];[3, 13];[1, 1];[1, 0];174;While
testPad;17;Dead Active;Dead Active;u-Ccsr;3;0;1;1;0;0;[2, 5, 8, 10];2;10;6.25;[24, 22, 19, 16, 22, 20, 17, 14, 19, 17, 14, 11, 8, 12, 10, 22, 20, 17, 14, 20, 18, 15, 12, 17, 15, 12, 9, 6, 19, 17, 14, 11, 17, 15, 12, 9, 14, 12, 9, 6, 3];3;24;14.634146341463415;[2];[4, 12];[1];[0, 1];89;If
testPad;18;Dead Active;Dead Active;u-Ccsr;3;0;1;1;0;0;[2, 5, 8, 10];2;10;6.25;[24, 22, 19, 16, 22, 20, 17, 14, 19, 17, 14, 11, 8, 12, 10, 22, 20, 17, 14, 20, 18, 15, 12, 17, 15, 12, 9, 6, 19, 17, 14, 11, 17, 15, 12, 9, 14, 12, 9, 6, 3];3;24;14.634146341463415;[2];[4, 12];[1];[0, 1];89;If
testPad;19;Dead Active;Dead Active;u-Ccsr;3;0;1;1;0;0;[2, 5, 8, 10];2;10;6.25;[24, 22, 19, 16, 22, 20, 17, 14, 19, 17, 14, 11, 8, 12, 10, 22, 20, 17, 14, 20, 18, 15, 12, 17, 15, 12, 9, 6, 19, 17, 14, 11, 17, 15, 12, 9, 14, 12, 9, 6, 3];3;24;14.634146341463415;[2];[4, 12];[1];[0, 1];89;If
testPad;20;Dead Active;Dead Active;u-Ccsr;3;0;1;1;0;0;[2, 5, 8, 10];2;10;6.25;[24, 22, 19, 16, 22, 20, 17, 14, 19, 17, 14, 11, 8, 12, 10, 22, 20, 17, 14, 20, 18, 15, 12, 17, 15, 12, 9, 6, 19, 17, 14, 11, 17, 15, 12, 9, 14, 12, 9, 6, 3];3;24;14.634146341463415;[2];[4, 12];[1];[0, 1];89;If
testPad;21;Dead Active;Dead Active;u-Ccsr;3;0;1;1;0;0;[2, 5, 8, 10];2;10;6.25;[24, 22, 19, 16, 22, 20, 17, 14, 19, 17, 14, 11, 8, 12, 10, 22, 20, 17, 14, 20, 18, 15, 12, 17, 15, 12, 9, 6, 19, 17, 14, 11, 17, 15, 12, 9, 14, 12, 9, 6, 3];3;24;14.634146341463415;[2];[4, 12];[1];[0, 1];89;If
testPad;22;Dead Active;Dead Active;u-Ccsr;3;0;1;1;0;0;[2, 5, 8, 10];2;10;6.25;[24, 22, 19, 16, 22, 20, 17, 14, 19, 17, 14, 11, 8, 12, 10, 22, 20, 17, 14, 20, 18, 15, 12, 17, 15, 12, 9, 6, 19, 17, 14, 11, 17, 15, 12, 9, 14, 12, 9, 6, 3];3;24;14.634146341463415;[2];[4, 12];[1];[0, 1];89;If
