#;Result;Status;Operator;Program Graph Node;Minimal?;Primitive Arc?;Source Primitive Arc?;Target Primitive Arc?;Equivalent?;Distance Begin;Distance Begin (min);Distance Begin (max);Distance Begin (avg);Distance End;Distance End (min);Distance End (max);Distance End (avg);Source Node;Target Node;Sources Nodes are primitive?;Targets Nodes are primitive?
0;Dead;Active;u-Cccr;2;0;0;0;0;0;[1];1;1;1.0;[3, 3];3;3;3.0;[1];[4];[0];[1]
1;Equivalent;Active;u-Cccr;2;0;0;0;0;1;[1];1;1;1.0;[3, 3];3;3;3.0;[1];[4];[0];[1]
2;Equivalent;Active;u-Cccr;2;0;0;0;0;1;[1];1;1;1.0;[3, 3];3;3;3.0;[1];[4];[0];[1]
3;Equivalent;Active;u-Cccr;2;0;0;0;0;1;[1];1;1;1.0;[3, 3];3;3;3.0;[1];[4];[0];[1]
4;Dead;Active;u-Cccr;3;0;0;0;0;0;[1];1;1;1.0;[3, 3];3;3;3.0;[1];[4];[0];[1]
5;Dead;Active;u-Cccr;3;0;0;0;0;0;[1];1;1;1.0;[3, 3];3;3;3.0;[1];[4];[0];[1]
6;Dead;Active;u-Cccr;3;0;0;0;0;0;[1];1;1;1.0;[3, 3];3;3;3.0;[1];[4];[0];[1]
7;Dead;Active;u-Cccr;3;0;0;0;0;0;[1];1;1;1.0;[3, 3];3;3;3.0;[1];[4];[0];[1]
8;Dead;Active;u-Cccr;4;0;1;1;0;0;[2, 2];2;2;2.0;[2, 2];2;2;2.0;[2, 3];[5, 6];[0, 0];[1, 1]
9;Dead;Active;u-Cccr;4;0;1;1;0;0;[2, 2];2;2;2.0;[2, 2];2;2;2.0;[2, 3];[5, 6];[0, 0];[1, 1]
10;Dead;Active;u-Cccr;4;0;1;1;0;0;[2, 2];2;2;2.0;[2, 2];2;2;2.0;[2, 3];[5, 6];[0, 0];[1, 1]
11;Dead;Active;u-Cccr;4;0;1;1;0;0;[2, 2];2;2;2.0;[2, 2];2;2;2.0;[2, 3];[5, 6];[0, 0];[1, 1]
12;Dead;Active;u-Cccr;5;0;1;0;1;0;[3, 3];3;3;3.0;[1];1;1;1.0;[4];[7];[1];[0]
13;Dead;Active;u-Cccr;5;0;1;0;1;0;[3, 3];3;3;3.0;[1];1;1;1.0;[4];[7];[1];[0]
14;Dead;Active;u-Cccr;5;0;1;0;1;0;[3, 3];3;3;3.0;[1];1;1;1.0;[4];[7];[1];[0]
15;Dead;Active;u-Cccr;5;0;1;0;1;0;[3, 3];3;3;3.0;[1];1;1;1.0;[4];[7];[1];[0]
16;Dead;Active;u-Cccr;6;0;1;0;1;0;[3, 3];3;3;3.0;[1];1;1;1.0;[4];[7];[1];[0]
17;Dead;Active;u-Cccr;6;0;1;0;1;0;[3, 3];3;3;3.0;[1];1;1;1.0;[4];[7];[1];[0]
18;Dead;Active;u-Cccr;6;0;1;0;1;0;[3, 3];3;3;3.0;[1];1;1;1.0;[4];[7];[1];[0]
19;Dead;Active;u-Cccr;6;0;1;0;1;0;[3, 3];3;3;3.0;[1];1;1;1.0;[4];[7];[1];[0]
